r_kib,latency_asc_ms,latency_desc_ms,latency_ms,direction_half_span_ms,l_over_r_ms_per_kib,logical_throughput_mib_s
192,0.034361234208750764,0.07715059315731294,0.05575591368303186,0.02139467947428109,0.00029039538376579094,3362.8719827985115
196,0.03598411590052935,0.036750254379043064,0.03636718513978621,0.00038306923925685715,0.0001855468629580929,5263.158236313398
200,0.035835068995257,0.03745431167482758,0.03664469033504229,0.0008096213397852901,0.00018322345167521146,5329.8990444252195
204,0.0368798081937416,0.03802821084520791,0.03745400951947475,0.0005742013257331556,0.00018359808587977818,5319.023318355631
208,0.03648357269505735,0.03767390606469817,0.03707873937987776,0.0005951666848204099,0.00017826317009556617,5478.206740497596
212,0.03772536937698837,0.03781860489722344,0.0377719871371059,4.6617760117533685e-05,0.00017816975064672595,5481.079119520816
216,0.03784780104735996,0.03858165812624873,0.038214729586804344,0.00036692853944438747,0.00017692004438335344,5519.79569869408
220,0.038328190330828814,0.03904623703543935,0.03868721368313408,0.0003590233523052683,0.0001758509712869731,5553.352892241563
224,0.038682664285404574,0.039189043856305075,0.03893585407085483,0.00025318978545025086,0.00017382077710203047,5618.215015957332
228,0.040410796426474986,0.03902770669603189,0.03971925156125344,0.0006915448652215495,0.00017420724368970807,5605.751398830576
232,0.03932239487051892,0.03882527654274787,0.03907383570663339,0.0002485591638855221,0.0001684217056320405,5798.317362570511
236,0.03981143561563606,0.03992827472402634,0.0398698551698312,5.8419554195138224e-05,0.00016894006427894576,5780.526390634886
238,0.04035131833836765,0.04081353784501726,0.040582428091692456,0.0002311097533248055,0.00017051440374660695,5727.155469230748
239,0.040825695297012375,0.04090235284906811,0.04086402407304024,3.8328776027867634e-05,0.00017097918022192568,5711.587216247335
240,0.0401642397936387,0.039875530267575635,0.04001988503060717,0.0001443547630315331,0.0001667495209608632,5856.463601051083
241,0.04153827556864458,0.04072128777971267,0.04112978167417863,0.0004084938944659555,0.0001706629944986665,5722.169020113089
242,0.040827495589411164,0.04079129978038862,0.04080939768489989,1.8097904511273077e-05,0.0001686338747309913,5791.022127421525
244,0.04086551706651867,0.040935559503189424,0.04090053828485404,3.502121833537722e-05,0.0001676251569051395,5825.87075848433
248,0.042043343204823794,0.04170017870705444,0.041871760955939114,0.00017158224888467674,0.00016883774579007707,5784.029486002499
252,0.042213018123184336,0.04287982874005065,0.04254642343161749,0.0003334053084331559,0.00016883501361752973,5784.123086057582
256,0.04338653702058301,0.043049752454242814,0.04321814473741291,0.00016839228317009833,0.00016882087788051917,5784.607403185936
260,0.043917410834933855,0.043960432598005576,0.043938921716469716,2.151088153586056e-05,0.00016899585275565276,5778.618138114842
264,0.04518200507954571,0.04535665015292738,0.045269327616236546,8.732253669083492e-05,0.00017147472581907782,5695.081274136962
268,0.04683479294080435,0.0466136431423463,0.046724218041575324,0.00011057489922902675,0.00017434409717005718,5601.35109735003
272,0.04674277038799446,0.04688039479087994,0.0468115825894372,6.881220144273892e-05,0.00017210140657881323,5674.3435130077605
276,0.04860957083962134,0.04916187921887612,0.04888572502924873,0.0002761541896273874,0.0001771221921349592,5513.496012153593
280,0.04822512250398788,0.04815998606506006,0.04819255428452397,3.256821946390903e-05,0.00017211626530187134,5673.853649376056
284,0.04917230722672209,0.04957237707828935,0.049372342152505716,0.00020003492578362855,0.0001738462751848793,5617.390990755832
288,0.05219216095734349,0.05200667903231793,0.05209941999483071,9.274096251277869e-05,0.00018090076387093998,5398.332649920201
