lo_exclusive_kib,hi_inclusive_kib,points,c2_ms_per_kib,mean_l_over_r_ms_per_kib,cv_l_over_r_pct
240,384,38,0.00017853649393472808,0.00017756437729877456,3.849621058252728
384,512,32,0.00018718215716314931,0.0001867381812639416,4.249101453342695
512,640,32,0.0001858665111921556,0.00018568982070939373,1.5756197327602721
640,768,32,0.00018429159235669587,0.00018448138348530982,1.873331672676742
