n,trial,spatial_mode,scenario,track,target_fraction,target_importance,row_budget_fraction,row_budget,top_row_budget_importance,row_budget_intrinsically_feasible,method,method_label,family,importance,rows,chunks,two_line_ms,lookup_ms,importance_fraction,importance_overshoot,coverage_met,row_budget_met,valid,runtime_median_ms,runtime_p95_ms,deadline_met,valid_and_deadline_met,fallback_used,fallback_reason,fallback_added_rows,error,deterministic,scalarized_calls,bracket_converged,trim_deletions,chosen_offset,candidate_count,paper_lookup_ms,paper_two_line_ms,supported_lookup_ms,supported_two_line_ms,lookup_saving_vs_paper_pct,two_line_saving_vs_paper_pct,supported_gain_recovery_pct
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.7851924422901524,True,paper,Paper,paper,0.5066897846693614,1650,19,0.611735708771252,0.5978554584090419,0.5066897846693614,0.0066897846693614,True,False,True,3.486758,3.63075425,False,False,False,,0,,True,0,False,0,-1,12003,0.5978554584090419,0.611735708771252,0.5809411950054179,0.570938878448231,0.0,0.0,0.0
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.7851924422901524,True,supported_full,Full supported,supported,0.5236294095644474,1733,13,0.570938878448231,0.5809411950054179,0.5236294095644474,0.0236294095644473,True,False,True,33.7528885,34.60971705,False,False,False,,0,,True,555,False,0,-1,0,0.5978554584090419,0.611735708771252,0.5809411950054179,0.570938878448231,2.8291559716849823,6.669028755075724,100.0
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.7851924422901524,True,td_2l_c4,TD-2L (4),td,0.6131858134013954,2170,16,0.7119649298402276,0.7254431660305761,0.6131858134013954,0.1131858134013954,True,False,True,0.340582,0.42249345,True,True,False,,0,,True,4,False,0,-1,0,0.5978554584090419,0.611735708771252,0.5809411950054179,0.570938878448231,-21.34089533297212,-16.38439928090818,-754.3202123374622
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.7851924422901524,True,td_2l_c8,TD-2L (8),td,0.5236294095644474,1733,13,0.570938878448231,0.5809411950054179,0.5236294095644474,0.0236294095644473,True,False,True,0.6366955000000001,0.6781335999999999,True,True,False,,0,,True,8,True,0,-1,0,0.5978554584090419,0.611735708771252,0.5809411950054179,0.570938878448231,2.8291559716849823,6.669028755075724,100.0
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.7851924422901524,True,td_2l_c16,TD-2L (16),td,0.5236294095644474,1733,13,0.570938878448231,0.5809411950054179,0.5236294095644474,0.0236294095644473,True,False,True,0.632182,0.65615815,True,True,False,,0,,True,8,True,0,-1,0,0.5978554584090419,0.611735708771252,0.5809411950054179,0.570938878448231,2.8291559716849823,6.669028755075724,100.0
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.7851924422901524,True,td_2l_c32,TD-2L (32),td,0.5236294095644474,1733,13,0.570938878448231,0.5809411950054179,0.5236294095644474,0.0236294095644473,True,False,True,0.6325275,0.6793163499999999,True,True,False,,0,,True,8,True,0,-1,0,0.5978554584090419,0.611735708771252,0.5809411950054179,0.570938878448231,2.8291559716849823,6.669028755075724,100.0
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.7851924422901524,True,td_2l_c8_trim64,TD-2L (8) + trim 64,trim,0.5039334638743942,1669,13,0.5524660172731334,0.5636548594046906,0.5039334638743942,0.0039334638743941,True,False,True,0.8514820000000001,0.88586645,True,True,False,,0,,True,8,True,64,-1,0,0.5978554584090419,0.611735708771252,0.5809411950054179,0.570938878448231,5.72054641691534,9.68877419583194,202.19975406687533
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.7851924422901524,True,td_2l_c16_trim256,TD-2L (16) + trim 256,trim,0.5001437263993622,1660,13,0.549937231577371,0.561651433931173,0.5001437263993622,0.0001437263993622,True,False,True,0.907677,0.94869215,True,True,False,,0,,True,8,True,73,-1,0,0.5978554584090419,0.611735708771252,0.5809411950054179,0.570938878448231,6.055648396054069,10.102152989893476,214.0443459696381
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.7851924422901524,True,tiles_half_s,Tiles (s/2),tiles,0.5134502501663291,1836,13,0.624753428352299,0.6301178456254948,0.5134502501663291,0.013450250166329,True,False,True,0.128635,0.1503272,True,True,False,,0,,True,0,False,0,0,0,0.5978554584090419,0.611735708771252,0.5809411950054179,0.570938878448231,-5.396352372914115,-2.127997335188203,-190.7407165572487
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.7851924422901524,True,tiles_s,Tiles (s),tiles,0.5028899401533657,1890,8,0.6148538992381529,0.6266697068603415,0.5028899401533657,0.0028899401533657,True,False,True,0.091211,0.1068894999999999,True,True,False,,0,,True,0,False,0,0,0,0.5978554584090419,0.611735708771252,0.5809411950054179,0.570938878448231,-4.819601133688312,-0.50972837161396,-170.3547341300478
