trial,target_cv,spatial_mode,coverage_target,target_importance,q,single_importance,single_rows,single_chunks,single_aff_ms,single_runtime_ms,top_importance,top_rows,top_chunks,top_aff_ms,top_runtime_ms,quant_importance,quant_rows,quant_chunks,quant_aff_ms,quant_runtime_ms,quant_build_ms,quant_one_query_ms,quant_amortized_ms,quant_full_mask
0,1.07,random,0.1,0.1,1024,0.1000783843252811,1355,1,1.5265708548519183,4.066478,0.10013224815415409,227,226,2.7401001076346585,0.099045,1.0,14336,1,16.045843008415762,0.067255,934.309204,934.3764590000001,66.80362671428571,True
0,1.07,random,0.3,0.3,1024,0.30006742448829726,4206,1,4.715419549853114,3.512914,0.30008083201233837,1175,1081,13.206197206165667,0.073838,1.0,14336,1,16.045843008415762,0.010029,934.309204,934.319233,66.74640071428571,True
0,1.07,random,0.5,0.5,1024,0.5000171307052963,7042,1,7.887490717521788,3.058976,0.5000965978102185,2773,2252,27.875600406383768,0.079859,1.0,14336,1,16.045843008415762,0.007904,934.309204,934.3171080000001,66.7442757142857,True
0,1.07,random,0.7,0.7,1024,0.7000188697632475,9932,1,11.119960983587537,2.509018,0.7000412884099844,5265,3327,42.488859197459774,0.084458,1.0,14336,1,16.045843008415762,0.006612,934.309204,934.315816,66.74298371428571,True
0,1.07,random,0.9,0.9,1024,0.9000326171397548,12808,1,14.336772224142935,2.000818,0.900009583849229,9534,3208,45.95463806440903,0.087784,1.0,14336,1,16.045843008415762,0.006933,934.309204,934.316137,66.74330471428571,True
0,1.07,random,0.95,0.95,1024,0.9501589410065658,13535,1,15.14992304885913,1.882588,0.9500206689266693,11258,2434,39.36824958565893,0.069911,1.0,14336,1,16.045843008415762,0.006873,934.309204,934.3160770000001,66.74324471428571,True
0,1.07,random,0.99,0.99,1024,0.9900388027495902,14167,1,15.856816200469355,1.780326,0.9900052137607668,13326,935,25.19098351846113,0.058178,1.0,14336,1,16.045843008415762,0.006933,934.309204,934.316137,66.74330471428571,True
0,1.07,random,0.1,0.1,2048,0.1000783843252811,1355,1,1.5265708548519183,4.066478,0.10013224815415409,227,226,2.7401001076346585,0.099045,0.1002075844988607,905,24,1.2762654086021987,0.576748,161.774643,162.351391,12.132079642857143,False
0,1.07,random,0.3,0.3,2048,0.30006742448829726,4206,1,4.715419549853114,3.512914,0.30008083201233837,1175,1081,13.206197206165667,0.073838,0.30030236726749515,3394,45,4.291235046076221,0.44441,161.774643,162.219053,11.999741642857142,False
0,1.07,random,0.5,0.5,2048,0.5000171307052963,7042,1,7.887490717521788,3.058976,0.5000965978102185,2773,2252,27.875600406383768,0.079859,0.5000252817639785,6281,42,7.4873471492321455,0.356646,161.774643,162.131289,11.911977642857142,False
