trial,target_cv,spatial_mode,budget_fraction,budget_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,top_fixed_importance,top_fixed_rows,top_fixed_chunks,top_fixed_aff_ms,top_fixed_runtime_ms,top_fixed_importance_gain_pct
0,1.07,random,0.125,1792,0.20630369884966726,1792,107,3.1814500474414293,5.661068,0.3883843022510876,1792,1576,19.341751308457706,0.063117,88.25852586099381
0,1.07,random,0.25,3584,0.37060750403033027,3584,202,6.2308894651128135,9.507945,0.5757216982023169,3584,2727,34.00812614589301,0.074619,55.34539693378691
0,1.07,random,0.375,5376,0.5126509422446619,5376,284,9.137317367199984,15.774383,0.7070598265297414,5376,3362,42.9980439032164,0.105407,37.92227191348809
0,1.07,random,0.5,7168,0.6402257191145712,7168,357,11.94473729695962,57.215503,0.8050493950484325,7168,3613,47.76362150789836,0.091541,25.744619594759754
0,1.07,random,0.625,8960,0.7515296862816047,8960,394,14.356125337409122,47.598885,0.8799229807983016,8960,3395,47.36978366573442,0.090139,17.084261188930185
0,1.07,random,0.75,10752,0.8499899437331622,10752,390,16.316477059477638,95.708604,0.9369174791336999,10752,2694,41.66251797532618,0.080039,10.226889863984901
0,1.07,random,0.875,12544,0.9331258705307767,12544,286,17.176740200129117,134.505884,0.9775040432854307,12544,1574,31.34588112878056,0.097682,4.755861364063452
0,1.07,local,0.125,1792,0.3638924130806288,1792,82,2.9064279020871697,4.867715,0.3883843022510876,1792,368,6.052681244939896,0.041788,6.730530313373717
0,1.07,local,0.25,3584,0.5485160212950757,3584,135,5.493830115563398,7.505905,0.5757216982023169,3584,621,10.8402606212502,0.052037,4.959869147123008
0,1.07,local,0.375,5376,0.6816362928289575,5376,181,8.004226128340434,9.77269,0.7070598265297414,5376,713,13.856697381479073,0.050544,3.7297799381059926
0,1.07,local,0.5,7168,0.7838732368251037,7168,209,10.316606196462404,13.10206,0.8050493950484324,7168,732,16.07006947727351,0.05374,2.7014773854377117
0,1.07,local,0.625,8960,0.8632635997900318,8960,201,12.23295437527424,15.82114,0.8799229807983016,8960,692,17.634389310031892,0.054452,1.9298139076316723
0,1.07,local,0.75,10752,0.92488776427324,10752,179,13.99529015268769,19.076293,0.9369174791336999,10752,596,18.582659537196736,0.052969,1.300667532337041
0,1.07,local,0.875,12544,0.9716814851002467,12544,125,15.405597584047689,22.874019,0.9775040432854307,12544,375,18.155819037590284,0.049924,0.5992249800440996
0,1.07,hot-cold,0.125,1792,0.2990859808551472,1792,73,2.8074199297596363,4.400031,0.3883843022510876,1792,1209,15.30442621465718,0.047479,29.857073588209815
0,1.07,hot-cold,0.25,3584,0.4995119157645055,3584,111,5.229808856023309,6.864125,0.5757216982023169,3584,1693,22.63321021404084,0.055233,15.256849743248257
0,1.07,hot-cold,0.375,5376,0.6477088487681301,5376,132,7.465182723446086,9.958185,0.7070598265297414,5376,1916,27.090763015926033,0.061676,9.163218608868839
0,1.07,hot-cold,0.5,7168,0.7571911425170257,7168,153,9.700556590868864,12.741386,0.8050493950484325,7168,1928,29.227128911021275,0.062196,6.320498199743629
0,1.07,hot-cold,0.625,8960,0.8425473507128328,8960,159,11.770917171079084,14.914757,0.8799229807983016,8960,1943,31.39649746355903,0.063449,4.436027251625352
0,1.07,hot-cold,0.75,10752,0.9081713624162338,10752,156,13.742269778961772,17.304472,0.9369174791336999,10752,1718,30.925653420695895,0.059872,3.1652745183448294
0,1.07,hot-cold,0.875,12544,0.9603501830185079,12544,156,15.74662504428697,22.54303,0.9775040432854308,12544,1191,27.132541861953307,0.05863,1.7862088819524224
0,1.25,random,0.125,1792,0.2257973857851902,1792,114,3.2584562481406216,3.383141,0.43175771799363516,1792,1567,19.242743336130175,0.051075,91.21466641087818
0,1.25,random,0.25,3584,0.3950446811944134,3584,215,6.373900980697028,5.411801,0.6217656188016212,3584,2671,33.39207654029947,0.076502,57.39121380440295
0,1.25,random,0.375,5376,0.5397792314414587,5376,301,9.324332426040879,7.981072,0.7478810708905022,5376,3321,42.54700758483541,0.09096,38.55313938132001
0,1.25,random,0.5,7168,0.666031385656382,7168,372,12.109750584172176,12.193793,0.837638029803221,7168,3584,47.444595819287414,0.082885,25.76554916818501
0,1.25,random,0.625,8960,0.7736181959579974,8960,406,14.488135967179167,16.397086,0.9031928648214624,8960,3366,47.050757977123475,0.079208,16.749175438280428
0,1.25,random,0.75,10752,0.8660933875261303,10752,388,16.2944752878493,19.270356,0.9510508311291684,10752,2694,41.66251797532618,0.068848,9.809270550570393
