strategy,strategy_label,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,component_total_ms,order
paper,Paper fixed R,0.0318804657845585,0.34752172688282146,0.6137826186912148,0.017688446899502108,0.06983005459691692,1.0807033128550136,0
cell1_x2,Cell-1 X² fixed R,0.0349302856675373,0.10539197309625674,0.6262812601282259,0.01754502773864817,0.07669278838095979,0.860841335011628,1
importance_bound,Cell-1 global I-bound,0.0349302856675373,0.10049483637604228,0.45336794355826737,0.017171063988798512,0.056978697633185256,0.6629428272238307,2
error_oracle,Cell-1 global error-oracle,0.0349302856675373,0.1010908199265489,0.42434167138804957,0.0173115052987168,0.05465992120038566,0.6323342034812383,3
