objective,objective_label,paper_target_r,resulting_r,actual_error,global_cell1_ms,calibration_predicted_ms,paper_same_error_ms,fixed_cell1_same_error_ms,gain_vs_paper_pct,gain_vs_fixed_cell1_pct,paper_interpolation_feasible,cell1_interpolation_feasible,workloads,total_workloads,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms
error_oracle,Cell-1 global error-oracle,0.9,0.8843698481893087,0.1452068106355096,1.0153715849383451,0.992264917891439,1.41095940894511,1.1014487329929206,28.036796912713616,7.814902816282843,True,True,9,9,0.0349302856675373,0.1026862645502645,0.7685395423280423,0.018373248635461,0.0908422437570397
error_oracle,Cell-1 global error-oracle,0.85,0.8004943569749137,0.1869458871740828,0.90637772233674,0.8779044921260971,1.3493123433615815,1.0729518842645902,32.826693033975026,15.524849191352276,True,True,9,9,0.0349302856675373,0.1016176507936507,0.6726633941798943,0.0181858200609446,0.0789805716347126
error_oracle,Cell-1 global error-oracle,0.8,0.7550039070693734,0.2166878321360816,0.8347192806282179,0.8001954971817833,1.2810241649760299,1.0385216924817398,34.83969284499509,19.624280679828487,True,True,9,9,0.0349302856675373,0.1018568306878306,0.6057860476190476,0.0182814814357293,0.0738646352180728
error_oracle,Cell-1 global error-oracle,0.75,0.7269612551626178,0.235261704743145,0.8001416218336735,0.7661308649204879,1.2398766049045806,1.0048010903986542,35.466027936283915,20.36815749112913,True,True,9,9,0.0349302856675373,0.101708619047619,0.5748181878306879,0.018077460265467,0.0706070690223621
error_oracle,Cell-1 global error-oracle,0.7,0.6806690846942842,0.2718113186084246,0.7288181297786788,0.6929350791664568,1.1810924741941795,0.9443527382168686,38.292881742733364,22.823527662466812,True,True,9,9,0.0349302856675373,0.1012130211640211,0.5110611084656085,0.0177589840743512,0.0638547304071603
error_oracle,Cell-1 global error-oracle,0.65,0.6454874408271082,0.2994638162581299,0.6594221587761145,0.6243143544274824,1.1496028464858428,0.9092800975664251,42.63913308914765,27.47865475765105,True,True,9,9,0.0349302856675373,0.1005198148148148,0.4480084603174603,0.017635216882265,0.0583283810940368
error_oracle,Cell-1 global error-oracle,0.6,0.585176181966008,0.3484293512812761,0.5827076613685391,0.5460895660323232,1.0628340513728909,0.854741601306822,45.17416330274324,31.826453693416557,True,True,9,9,0.0349302856675373,0.1011269788359788,0.3780705026455026,0.0174220528493009,0.0511578413702192
error_oracle,Cell-1 global error-oracle,0.55,0.5515828978080798,0.3723623399676942,0.5219372010992472,0.496777894197452,1.0082443346645986,0.8208008417879784,48.23306383636916,36.41122492488024,True,True,9,9,0.0349302856675373,0.0995031481481481,0.3258192804232804,0.0166990898953622,0.0449853969649189
error_oracle,Cell-1 global error-oracle,0.5,0.5087538760603257,0.4083971702666195,0.4758673995530454,0.4493158464642708,0.9449342491645958,0.7638417806189843,49.64015750579962,37.70078940072863,True,True,9,9,0.0349302856675373,0.1002342539682539,0.2841661402116402,0.0165954708619407,0.039941248843673
error_oracle,Cell-1 global error-oracle,0.45,0.4651257232524854,0.4336740012088465,0.451464862441816,0.4234755713901973,0.9047805209943371,0.7165810686910816,50.10227873322644,36.99737794267034,True,True,9,9,0.0349302856675373,0.1005423756613756,0.262509365079365,0.0165925925430008,0.0368902434905369
error_oracle,Cell-1 global error-oracle,0.4,0.4275407630531279,0.4605439623236341,0.4362583995165521,0.4081903993916205,0.8616386893434923,0.6802996229403365,49.368754570555545,35.87260894971674,True,True,9,9,0.0349302856675373,0.1011795873015873,0.248133626984127,0.01658988355723,0.0354250160060704
error_oracle,Cell-1 global error-oracle,0.35,0.3759459324125383,0.5032198953703441,0.4089925185393707,0.3876352538003413,0.8094742511182665,0.6345227453988449,49.474301625486085,35.5432848538332,True,True,9,9,0.0349302856675373,0.1011004656084656,0.2235127936507936,0.0164524020735548,0.0329965715390191
error_oracle,Cell-1 global error-oracle,0.3,0.3362825844344582,0.5392904571065354,0.3926288703923014,0.3718782220658681,0.7605991998674337,0.5928325040575766,48.3790055970696,33.77069109655823,True,True,9,9,0.0349302856675373,0.1005362592592592,0.2092385158730159,0.0164452909822107,0.031478518610278
error_oracle,Cell-1 global error-oracle,0.25,0.3005778207581543,0.5737758934911754,0.3806956455184593,0.3620552988253601,0.7108533123703489,0.5483615484936916,46.445259676848785,30.57579500893125,True,True,9,9,0.0349302856675373,0.0992446931216931,0.1999249417989418,0.016285290981017,0.0303104339492698
error_oracle,Cell-1 global error-oracle,0.2,0.2603753335132564,0.6205153471479813,0.3731402037175297,0.3550930580917498,0.6739760681367751,0.48805799045014325,44.63598614872398,23.545928758716382,True,True,9,9,0.0349302856675373,0.0987735185185185,0.1936543888888889,0.0162067301226434,0.0295752805199414
error_oracle,Cell-1 global error-oracle,0.15,0.2246650337683584,0.6597891007525423,0.3695305000117279,0.350511036946233,0.6308269899292356,0.45189791598438883,41.42126035964618,18.226996199625404,True,True,9,9,0.0349302856675373,0.0987117513227513,0.1904037645502645,0.0162153650449696,0.0292693334262048
error_oracle,Cell-1 global error-oracle,0.1,0.1722776595478369,0.7076925291487622,0.3664912328128142,0.3458753014926837,0.60373367377421,0.39953068132473435,39.295876852170075,8.269564780950082,True,True,9,9,0.0349302856675373,0.0990286349206349,0.1870059629629629,0.0163613121375125,0.0291650371241663
importance_bound,Cell-1 global importance-bound,0.9,0.9163688597282346,0.1494605549039545,1.064953783504894,1.0184940292744775,1.4099852811953288,1.0994801660392732,24.470574430247325,3.140246054529197,True,True,9,9,0.0349302856675373,0.1029990476190476,0.8110300370370369,0.0185303703127871,0.0974640428684848
importance_bound,Cell-1 global importance-bound,0.85,0.8750976594286038,0.1786791463086884,0.9948999289666148,0.950420971359675,1.3630068801767998,1.0816821570385895,27.006976748527983,8.022895404835513,True,True,9,9,0.0349302856675373,0.102525417989418,0.7523892407407408,0.018207492030881,0.0868474925380377
importance_bound,Cell-1 global importance-bound,0.8,0.8346221488204864,0.2063124456600577,0.9132421140506672,0.8722769630729572,1.3064675765585236,1.052499405950683,30.098371330705714,13.2311040854441,True,True,9,9,0.0349302856675373,0.1023015555555555,0.6805915211640212,0.0178471957407299,0.0775715559228229
importance_bound,Cell-1 global importance-bound,0.75,0.793625895645838,0.2342451711175421,0.8471581826773392,0.7987147935257838,1.2419755664264387,1.0066465927673953,31.78946465791718,15.84353548066982,True,True,9,9,0.0349302856675373,0.1023128306878306,0.6207623888888888,0.0176748359654709,0.0714778414676113
importance_bound,Cell-1 global importance-bound,0.7,0.7470750256633419,0.2663068459812729,0.7856084234111758,0.7410358438934358,1.1864112782045222,0.9529283716333994,33.782792034808445,17.55850210813045,True,True,9,9,0.0349302856675373,0.1008055502645502,0.5652889682539682,0.0174012274811507,0.067182391743969
importance_bound,Cell-1 global importance-bound,0.65,0.7005330176287353,0.2999405365057841,0.7011074444026922,0.6681568545643258,1.1487311143532692,0.9087319123552619,38.96679252068377,22.847713954982183,True,True,9,9,0.0349302856675373,0.0996610264550264,0.4887410634920635,0.0171856930844051,0.0605893757036596
importance_bound,Cell-1 global importance-bound,0.6,0.6499769600656583,0.3355845442243788,0.6271315502517567,0.5952934682892927,1.0849179275846463,0.8696277078372231,42.195484625464694,27.88505419043718,True,True,9,9,0.0349302856675373,0.0987084391534391,0.4208140529100529,0.0171999153114421,0.055478857209285
importance_bound,Cell-1 global importance-bound,0.55,0.6042309821863686,0.3725548042255459,0.5468695661946645,0.517968095436609,1.0077720811586017,0.8205278970597913,45.734796942782246,33.35149625573126,True,True,9,9,0.0349302856675373,0.1000870529100529,0.3481698571428571,0.0169676190301302,0.0467147514440867
importance_bound,Cell-1 global importance-bound,0.5,0.5574685552716567,0.4048203205192097,0.4932025768253428,0.4681963068108879,0.9505716988517294,0.7695683838027206,48.115162967599275,35.91179325893726,True,True,9,9,0.0349302856675373,0.0996449365079365,0.3010165185185185,0.0166269629139196,0.0409838732174306
importance_bound,Cell-1 global importance-bound,0.45,0.5069145524994619,0.4417893976322991,0.4604599312930668,0.435982894082988,0.8918613194312411,0.701027862471175,48.37090461701918,34.3164578837264,True,True,9,9,0.0349302856675373,0.0996398148148148,0.2712267195767195,0.0164799999997571,0.0381831112342378
importance_bound,Cell-1 global importance-bound,0.4,0.4534720036049041,0.4804079510227201,0.4348508518140195,0.4111962538237319,0.8339399220640769,0.658979369221971,47.855853844036595,34.011461947977295,True,True,9,9,0.0349302856675373,0.0998172857142857,0.2476217566137565,0.0165697354330587,0.0359117883853811
importance_bound,Cell-1 global importance-bound,0.35,0.4042534012334,0.5135457632279704,0.4117663677347473,0.3900870104913168,0.7974157879981258,0.6234524429461759,48.36240090399175,33.953844853199804,True,True,9,9,0.0349302856675373,0.0994524285714285,0.2274540026455026,0.0164630687672388,0.0334665820830397
