trial,target_cv,spatial_mode,coverage_target,target_importance,cover_importance,cover_rows,cover_chunks,cover_aff_ms,cover_runtime_ms,cover_build_ms,cover_lookup_ms,cover_runs
0,1.07,random,0.1,0.1,0.10024446946624604,430,1,0.11620996346185537,8.546038,12191.426453,0.14289681163063517,506:430
0,1.07,random,0.3,0.3,0.30003066598683237,1333,2,0.34814991233616427,8.597364,12191.426453,0.442980116054969,519:205;1401:1128
0,1.07,random,0.5,0.5,0.5001942263999494,2331,1,0.5813319555740628,8.393994,12191.426453,0.7746336463046757,207:2331
0,1.07,random,0.7,0.7,0.700150892559528,3306,2,0.8308883081475189,7.884191,12191.426453,1.0986438587229763,206:2332;3189:974
0,1.07,random,0.9,0.9,0.9000092680963597,4355,1,1.07654863733898,6.176448,12191.426453,1.4472456154684097,462:4355
0,1.07,random,0.95,0.95,0.9501245052491133,4599,1,1.1362486720972014,6.2203,12191.426453,1.5283312481146305,218:4599
0,1.07,random,0.99,0.99,0.9901106551567952,4801,1,1.1856724713642535,5.892938,12191.426453,1.5954595177643707,22:4801
0,1.07,local,0.1,0.1,0.10019216831814248,112,2,0.0494050662714587,8.591984,12837.01277,0.04892447975090473,924:82;2833:30
0,1.07,local,0.3,0.3,0.30011121780874717,665,4,0.20671060520019435,8.599398,12837.01277,0.2227142535167031,499:174;919:93;2780:197;3397:201
0,1.07,local,0.5,0.5,0.5001211956475726,1244,9,0.4033802806850221,7.912274,12837.01277,0.43923001088221997,412:261;911:100;1803:56;2430:26;2780:197;3178:30;3397:199;3895:228;4431:147
0,1.07,local,0.7,0.7,0.7000193681431155,2277,8,0.645125853498895,7.655874,12837.01277,0.766346245752983,71:602;797:379;1775:183;2430:26;2780:197;3163:435;3895:228;4431:227
0,1.07,local,0.9,0.9,0.9000867729064846,3733,5,0.9683660264169174,6.250777,12837.01277,1.2486433472770537,67:1467;1755:441;2426:35;2778:820;3894:970
0,1.07,local,0.95,0.95,0.9500652086381539,4177,4,1.0659996300808217,6.052046,12837.01277,1.3880929818166585,63:2154;2417:226;2771:827;3894:970
0,1.07,local,0.99,0.99,0.9900095236802634,4667,2,1.163887272516122,5.31107,12837.01277,1.5509288834422659,63:2579;2776:2088
0,1.07,hot-cold,0.1,0.09999999999999999,0.100171407650066,194,1,0.05846730689242826,11.599397,13800.334719,0.06446972431707726,2:194
0,1.07,hot-cold,0.3,0.29999999999999993,0.30022910113926515,652,1,0.17052720820089276,8.366273,13800.334719,0.21667144461203286,15:652
0,1.07,hot-cold,0.5,0.49999999999999994,0.5002806060115504,1278,1,0.3236920514740342,8.163563,13800.334719,0.42470261689291106,0:1278
0,1.07,hot-cold,0.7,0.6999999999999998,0.7000297160244698,2148,1,0.5365569295053969,13.079714,13800.334719,0.71381942182001,0:2148
0,1.07,hot-cold,0.9,0.8999999999999999,0.9000840724320301,3526,1,0.8737153225251875,6.190484,13800.334719,1.1717538553712084,0:3526
0,1.07,hot-cold,0.95,0.9499999999999998,0.95005194592981,4081,1,1.009508434372781,5.946057,13800.334719,1.3561904378247025,0:4081
0,1.07,hot-cold,0.99,0.9899999999999999,0.9900146777050708,4684,1,1.157045815353139,5.379718,13800.334719,1.5565782922741749,0:4684
0,1.25,random,0.1,0.1,0.10010089510869746,432,1,0.11669930800905391,8.660803,15285.44869,0.1435614479638009,1504:432
0,1.25,random,0.3,0.3,0.30010330484534176,1321,2,0.3452138450529731,8.630466,15285.44869,0.4389922980559745,1507:686;3900:635
0,1.25,random,0.5,0.5,0.5001989552833187,2245,3,0.5822919116728665,8.211062,15285.44869,0.7460542839785487,242:407;1487:1199;3901:639
0,1.25,random,0.7,0.7,0.700110224983692,3271,2,0.8223247785715446,7.988295,15285.44869,1.0870127228925759,260:2426;3900:845
