n,trial,spatial_mode,cv,paper_budget_fraction,paper_importance_fraction,paper_latency_ms,supported_importance_fraction,supported_latency_ms,supported_saving_pct,supported_strict_win
256,0,random,3.3,0.05,0.2876837675242137,0.027581481496467893,0.40472372725350325,0.022469126015000306,18.535463666526685,True
256,0,random,3.3,0.1,0.3318096489186709,0.030292445021603973,0.40472372725350325,0.022469126015000306,25.82597410352393,True
256,0,random,3.3,0.15,0.369471771263225,0.03271783549704399,0.40472372725350325,0.022469126015000306,31.324533931866128,True
256,0,random,3.3,0.2,0.4150419214132206,0.03469514049026021,0.5220050116964415,0.031232378568139964,9.980538695591468,True
256,0,random,3.3,0.25,0.4466838514794804,0.03682664568780897,0.5220050116964415,0.031232378568139964,15.190813649153279,True
256,0,random,3.3,0.3,0.4724764472781543,0.0391034585499318,0.5220050116964415,0.031232378568139964,20.128858862295097,True
256,0,random,3.3,0.35,0.5346737888126818,0.04389060864783764,0.5351764029621142,0.03221768901569187,26.59548361656374,True
256,0,random,3.3,0.39999999999999997,0.5698918875430256,0.0471454744760446,0.6659255622850674,0.04458062689243029,5.440283743283891,True
256,0,random,3.3,0.44999999999999996,0.615892281020511,0.05075375220486243,0.6659255622850674,0.04458062689243029,12.16289445461085,True
256,0,random,3.3,0.49999999999999994,0.6618433827622474,0.06634602862762666,0.6659255622850674,0.04458062689243029,32.80588482146647,True
256,0,random,3.3,0.5499999999999999,0.693847916444226,0.06847598029356358,0.695125059003074,0.047364904862579285,30.82989880609075,True
256,0,random,3.3,0.6,0.727463057362667,0.0707610274279235,0.7369146561999255,0.051509315820345215,27.206659240763422,True
256,0,random,3.3,0.65,0.7590105212809879,0.05999891639620351,0.8402841807157012,0.0631404516507457,-5.235986653153901,False
256,0,random,3.3,0.7,0.7835591983273434,0.07522606915571499,0.8402841807157012,0.0631404516507457,16.065730458350213,True
256,0,random,3.3,0.75,0.8509289109402685,0.07970557823943916,0.8998003492521943,0.07045145131556885,11.610388040935483,True
256,0,random,3.3,0.7999999999999999,0.8805598407707143,0.07031774518443915,0.8998003492521943,0.07045145131556885,-0.19014564642110265,False
256,0,random,3.3,0.85,0.9041822628283764,0.07178072398190045,0.931312652526531,0.07442414359666943,-3.682631587047691,False
256,0,random,3.3,0.9,0.9466532159868954,0.08737300040466468,0.9691708350631522,0.07942404181330635,9.097728765800683,True
256,0,random,3.3,0.95,0.9707639384638654,0.08950295207060162,0.9884851424591976,0.08256213384694398,7.754848374367118,True
256,0,local,3.3,0.05,0.24775313494990386,0.015592276422764229,0.7453336484139848,0.045567318592478055,-192.24288588131503,False
256,0,local,3.3,0.1,0.3549664417706818,0.031184552845528457,0.7453336484139848,0.045567318592478055,-46.121442940657516,False
256,0,local,3.3,0.15,0.4338142013804349,0.03331450451146539,0.7453336484139848,0.045567318592478055,-36.77921752309352,False
256,0,local,3.3,0.2,0.4886425977460753,0.03559955164582531,0.7453336484139848,0.045567318592478055,-27.999697990077486,False
256,0,local,3.3,0.25,0.5317722750612442,0.03736119534168315,0.7453336484139848,0.045567318592478055,-21.96429524201946,False
256,0,local,3.3,0.3,0.6203121106620711,0.052418922110573196,0.7453336484139848,0.045567318592478055,13.070859228357035,True
256,0,local,3.3,0.35,0.6517172332680048,0.04399606227223959,0.7453336484139848,0.045567318592478055,-3.571356705779305,False
256,0,local,3.3,0.39999999999999997,0.7040198941982493,0.047659580342794355,0.7453336484139848,0.045567318592478055,4.390012952836731,True
256,0,local,3.3,0.44999999999999996,0.777960401337163,0.06273775089880883,0.8245394163675179,0.051595957169423314,17.759313283889266,True
256,0,local,3.3,0.49999999999999994,0.8349587408221433,0.06634602862762666,0.8822277738904912,0.057568741179372544,13.229559673447023,True
256,0,local,3.3,0.5499999999999999,0.8754341146859206,0.05808313559316214,0.8822277738904912,0.057568741179372544,0.8856175007365685,True
256,0,local,3.3,0.6,0.8963202314489992,0.07367541201592637,0.9138942820828039,0.061535016036472115,16.478219323469645,True
256,0,local,3.3,0.65,0.9114074861223038,0.0758053636818633,0.9138942820828039,0.061535016036472115,18.824984080652087,True
256,0,local,3.3,0.7,0.9190454501752141,0.07809041081622323,0.9339792566950568,0.06446972431707718,17.44220110610093,True
256,0,local,3.3,0.75,0.9315964023528938,0.08111904053273716,0.9339792566950568,0.06446972431707718,20.524547758846868,True
256,0,local,3.3,0.7999999999999999,0.9542139698697328,0.07089464501987328,0.9742634223635799,0.07433808199019325,-4.85711857271407,False
256,0,local,3.3,0.85,0.9564014839165159,0.09884126862143833,0.9742634223635799,0.07433808199019325,24.79044125292664,True
