trial,target_cv,spatial_mode,budget_fraction,q,two_line_ms,gap_to_max_q_pct
0,1.07,random,0.125,1024,0.26821588052788786,13.066318174332325
0,1.07,random,0.125,4096,0.23721996511316193,0.0
0,1.07,random,0.125,16384,0.23721996511316193,0.0
0,1.07,random,0.125,65536,0.23721996511316193,0.0
0,1.07,random,0.125,131072,0.23721996511316193,0.0
0,1.07,random,0.25,1024,0.6011334229726016,47.713897031508566
0,1.07,random,0.25,4096,0.45315330590553116,11.351387578840688
0,1.07,random,0.25,16384,0.4069579335818181,2.220446049250313e-14
0,1.07,random,0.25,65536,0.4069579335818181,2.220446049250313e-14
0,1.07,random,0.25,131072,0.4069579335818181,2.220446049250313e-14
0,1.07,random,0.375,1024,0.6687965409993375,9.829431827988987
0,1.07,random,0.375,4096,0.6089410915343559,0.0
0,1.07,random,0.375,16384,0.6089410915343559,0.0
0,1.07,random,0.375,65536,0.6089410915343559,0.0
0,1.07,random,0.375,131072,0.6089410915343559,0.0
0,1.07,random,0.5,1024,0.8677545768664995,7.432190770588454
0,1.07,random,0.5,4096,0.8077230582772995,2.220446049250313e-14
0,1.07,random,0.5,16384,0.8077230582772995,2.220446049250313e-14
0,1.07,random,0.5,65536,0.8077230582772995,2.220446049250313e-14
0,1.07,random,0.5,131072,0.8077230582772995,2.220446049250313e-14
0,1.07,random,0.625,1024,1.0197777500882306,2.9897862792686913
0,1.07,random,0.625,4096,0.9947281467859354,0.4599671198874944
0,1.07,random,0.625,16384,0.9901736734582454,2.220446049250313e-14
0,1.07,random,0.625,65536,0.9901736734582454,2.220446049250313e-14
0,1.07,random,0.625,131072,0.9901736734582454,2.220446049250313e-14
0,1.07,random,0.75,1024,1.1815605090121544,0.4081281124655556
0,1.07,random,0.75,4096,1.1809098699653415,0.35283729302038047
0,1.07,random,0.75,16384,1.1767578294943484,0.0
0,1.07,random,0.75,65536,1.1767578294943484,0.0
0,1.07,random,0.75,131072,1.1767578294943484,0.0
0,1.07,random,0.875,1024,1.3699741505145389,0.40532502898078526
0,1.07,random,0.875,4096,1.3644437186166296,2.220446049250313e-14
0,1.07,random,0.875,16384,1.3644437186166296,2.220446049250313e-14
0,1.07,random,0.875,65536,1.3644437186166296,2.220446049250313e-14
0,1.07,random,0.875,131072,1.3644437186166296,2.220446049250313e-14
0,1.07,local,0.125,1024,0.23808306459091774,2.220446049250313e-14
0,1.07,local,0.125,4096,0.23808306459091774,2.220446049250313e-14
0,1.07,local,0.125,16384,0.23808306459091774,2.220446049250313e-14
0,1.07,local,0.125,65536,0.23808306459091774,2.220446049250313e-14
0,1.07,local,0.125,131072,0.23808306459091774,2.220446049250313e-14
0,1.07,local,0.25,1024,0.4575625932140045,0.5705627190015328
0,1.07,local,0.25,4096,0.4549667227103561,0.0
0,1.07,local,0.25,16384,0.4549667227103561,0.0
0,1.07,local,0.25,65536,0.4549667227103561,0.0
0,1.07,local,0.25,131072,0.4549667227103561,0.0
0,1.07,local,0.375,1024,0.6347547625328602,0.0
0,1.07,local,0.375,4096,0.6347547625328602,0.0
0,1.07,local,0.375,16384,0.6347547625328602,0.0
0,1.07,local,0.375,65536,0.6347547625328602,0.0
0,1.07,local,0.375,131072,0.6347547625328602,0.0
0,1.07,local,0.5,1024,0.8309507353163229,0.029270700972694463
0,1.07,local,0.5,4096,0.8307075813842185,2.220446049250313e-14
0,1.07,local,0.5,16384,0.8307075813842185,2.220446049250313e-14
0,1.07,local,0.5,65536,0.8307075813842185,2.220446049250313e-14
0,1.07,local,0.5,131072,0.8307075813842185,2.220446049250313e-14
0,1.07,local,0.625,1024,0.9794527540255383,0.0
