n,trial,spatial_mode,budget_index,row_budget_fraction,row_budget,method,method_label,importance,two_line_ms,two_line_efficiency,exact_importance,exact_two_line_ms,exact_efficiency,optimality_ratio,optimality_gap_pct,row_match,fallback_used,error
18,0,random,0,0.25,4,top_r,Top-R,0.999031922314316,0.05988431919129963,16.682696502283385,0.7968236450437534,0.026642468538838122,29.908026123111746,0.5577999843122932,44.220001568770684,True,False,
18,0,random,0,0.25,4,rho2_mu4,Exp24 rho2/mu4,0.796796798787745,0.026642468538838122,29.907018474140735,0.7968236450437534,0.026642468538838122,29.908026123111746,0.9999663084094261,0.0033691590573869945,True,False,
18,0,random,0,0.25,4,rho2_mu8,Exp24 rho2/mu8,0.796796798787745,0.026642468538838122,29.907018474140735,0.7968236450437534,0.026642468538838122,29.908026123111746,0.9999663084094261,0.0033691590573869945,True,False,
18,0,random,0,0.25,4,rho2_mu16,Exp24 rho2/mu16,0.796796798787745,0.026642468538838122,29.907018474140735,0.7968236450437534,0.026642468538838122,29.908026123111746,0.9999663084094261,0.0033691590573869945,True,False,
18,0,random,0,0.25,4,rho3_mu8,Exp24 rho3/mu8,0.796796798787745,0.026642468538838122,29.907018474140735,0.7968236450437534,0.026642468538838122,29.908026123111746,0.9999663084094261,0.0033691590573869945,True,False,
18,0,random,0,0.25,4,rho3_mu16,Exp24 rho3/mu16,0.796796798787745,0.026642468538838122,29.907018474140735,0.7968236450437534,0.026642468538838122,29.908026123111746,0.9999663084094261,0.0033691590573869945,True,False,
18,0,random,0,0.25,4,rho4_mu16,Exp24 rho4/mu16,0.796796798787745,0.026642468538838122,29.907018474140735,0.7968236450437534,0.026642468538838122,29.908026123111746,0.9999663084094261,0.0033691590573869945,True,False,
18,0,random,0,0.25,4,rho4_mu32,Exp24 rho4/mu32,0.796796798787745,0.026642468538838122,29.907018474140735,0.7968236450437534,0.026642468538838122,29.908026123111746,0.9999663084094261,0.0033691590573869945,True,False,
18,0,random,1,0.5,9,top_r,Top-R,1.0000000051272195,0.09041725064380882,11.059836458273164,0.9990624223828766,0.05717539999134732,17.473641155708055,0.6329440074749552,36.705599252504484,True,False,
18,0,random,1,0.5,9,rho2_mu4,Exp24 rho2/mu4,0.8032921447580386,0.04684601137052594,17.14750351752348,0.9990624223828766,0.05717539999134732,17.473641155708055,0.9813354506208319,1.866454937916806,True,False,
