track,shape,n,d,row_size_kib,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean
cuda,896x896,896,896,1.75,rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.32586175,0.5662962124999997,0.8643114499999999,0.9824764583486534,1.6129290635391258,0.6458333333333334,2.3783000145251223,0.6770833333333334,-3.6630070832557258,0.125,4.16710303155553,3.953283634949245,0.78125,0.09375,0.006441726452579746,0.09782275000000004,0.010416666666666666,8.0,486.625,0.0,0.0,0.0
cuda,896x896,896,896,1.75,rho2_mu8,Exp24 rho2/mu8,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3966437499999999,0.6197955499999999,0.8787083499999999,3.682338904191999,4.372917194584714,0.8020833333333334,5.560515369664407,0.8229166666666666,-2.2303961482693277,0.3020833333333333,5.360786179658084,5.26961840369693,0.84375,0.2708333333333333,0.008586644268576847,0.1626995,0.010416666666666666,16.0,173.85416666666666,0.0,0.0,0.0
cuda,896x896,896,896,1.75,rho2_mu16,Exp24 rho2/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.57164625,0.8322306875,1.2706235,5.60064707091625,4.965590939939613,0.9166666666666666,7.801073876478822,0.9583333333333334,-1.7389214032622526,0.3020833333333333,6.757884971858295,6.350086521593878,0.9479166666666666,0.2604166666666667,0.010347226280627503,0.34411099999999994,0.010416666666666666,32.0,54.729166666666664,0.0,0.0,0.0
cuda,896x896,896,896,1.75,rho3_mu8,Exp24 rho3/mu8,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.559896,0.8460048124999999,1.4618155,4.3754451461546795,4.70368515070223,0.8229166666666666,6.296317521021119,0.8645833333333334,-2.351444802534152,0.2916666666666667,6.167805197409218,5.7023415309284236,0.8854166666666666,0.2604166666666667,0.009291750269746931,0.323382,0.0,24.0,288.25,0.0,0.0,0.0
cuda,896x896,896,896,1.75,rho3_mu16,Exp24 rho3/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.831832,1.1885123000000002,1.90654805,5.9530893841428805,5.355350699122519,0.9479166666666666,8.168146850946393,0.9791666666666666,-2.451156634797197,0.23958333333333334,7.764207844046703,6.8937156523499965,0.9791666666666666,0.21875,0.011233049428004483,0.60261125,0.0,48.0,106.94791666666667,0.0,0.0,0.0
cuda,896x896,896,896,1.75,rho4_mu16,Exp24 rho4/mu16,96,96,1.0,1.0,0.9791666666666666,0.9791666666666666,1.0,0.0,0.0,1.0330979999999998,1.6026986124999996,2.2215286,5.982694337656951,5.477858273199255,0.9479166666666666,8.203779873448172,0.9791666666666666,-2.425307183951102,0.23958333333333334,7.764336843009776,6.893785056594592,0.9791666666666666,0.21875,0.011233162519601136,0.80424525,0.0,64.0,159.25,0.0,0.0,0.0
cuda,896x896,896,896,1.75,rho4_mu32,Exp24 rho4/mu32,96,96,1.0,1.0,0.84375,0.84375,1.0,0.0,0.0,1.62809,2.3414098875000002,3.5085485,5.982694337656951,5.477858273199255,0.9479166666666666,8.203779873448172,0.9791666666666666,-2.425307183951102,0.23958333333333334,7.764336843009776,6.893785056594592,0.9791666666666666,0.21875,0.011233162519601136,1.40699225,0.0,128.0,158.54166666666666,0.0,0.0,0.0
host,896x128,896,128,0.25,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14604024999999998,0.2194836874999998,0.2885401999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,896x128,896,128,0.25,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01028675,0.0159329874999999,0.0211539999999999,-97.61830881181261,-97.82333231382279,0.0,-97.81140254262918,0.0,43.0843872276596,1.0,-6219.856772699585,-5581.998868974086,0.0,0.0,-1.8247115123152138,-0.13579125000000006,0.0,0.0,0.0,0.0,0.0,0.0
host,896x128,896,128,0.25,rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25953499999999996,0.3891682124999999,0.5675030499999999,16.537319797855773,28.11074272779829,0.65625,16.690790606343036,0.65625,-5.361848646484133,0.07291666666666667,16.759248126698395,20.384193898840962,1.0,0.07291666666666667,0.00666343260712928,0.11349975000000001,0.0,8.0,741.46875,0.0,0.0,0.0
host,896x128,896,128,0.25,rho2_mu8,Exp24 rho2/mu8,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.29770399999999997,0.4130971125,0.939544749999999,16.982810294341643,28.11074272779829,0.6875,17.091978372743572,0.6875,-4.15057581322045,0.125,15.63848730997323,19.73450624451687,0.9791666666666666,0.10416666666666667,0.00645105482453182,0.15477925,0.0,16.0,483.3020833333333,0.0,0.0,0.0
host,896x128,896,128,0.25,rho2_mu16,Exp24 rho2/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.409886,0.5909999499999998,0.8436548999999999,13.264943407359858,28.362078934745647,0.6770833333333334,13.947844352727055,0.6770833333333334,-2.029739680061543,0.21875,5.404744817604694,13.802164521283567,0.8645833333333334,0.09375,0.004511818989580608,0.26599474999999995,0.0,32.0,205.5625,0.0,0.0,0.0
host,896x128,896,128,0.25,rho3_mu8,Exp24 rho3/mu8,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.44754399999999994,0.6762922499999999,0.81003545,17.49049286516363,28.11074272779829,0.6875,17.64396367365089,0.6875,-4.408675579176278,0.10416666666666667,16.759248126698395,20.384193898840962,1.0,0.10416666666666667,0.00666343260712928,0.30903,0.0,24.0,906.8333333333334,0.0,0.0,0.0
host,896x128,896,128,0.25,rho3_mu16,Exp24 rho3/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7060295,1.0260012874999995,1.3812155,17.376098468741336,28.362078934745647,0.6770833333333334,17.530250885048336,0.6770833333333334,-4.570771274494465,0.09375,16.759248126698395,20.384193898840962,1.0,0.09375,0.00666343260712928,0.5638657499999999,0.0,48.0,609.1458333333334,0.0,0.0,0.0
host,896x128,896,128,0.25,rho4_mu16,Exp24 rho4/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.914474,1.2537286624999995,1.8470853,17.376098468741336,28.362078934745647,0.6770833333333334,17.530250885048336,0.6770833333333334,-4.570771274494465,0.09375,16.759248126698395,20.384193898840962,1.0,0.09375,0.00666343260712928,0.7690395,0.0,64.0,1013.5208333333334,0.0,0.0,0.0
