shape,n,d,start_kib,jump_kib,shape_index,row_size_kib,activation_trace_count,a_ms,c1_ms_per_row,c2_ms_per_row,d_ms_per_excess_row,saturation_kib,saturation_rows,short_max_rows,r_squared,mape_pct
896x896,896,896,8.0,8.0,0,1.75,32,0.011080616884153835,0.00024315393210444196,0.00032531952340643014,8.216559130198818e-05,236.0,134.85714285714286,134,0.9876264166468851,4.107508659415217
896x128,896,128,8.0,8.0,1,0.25,32,0.011080616884153831,3.473627601492029e-05,4.647421762949003e-05,1.1737941614569736e-05,236.0,944.0,944,0.9876264166468851,4.1075086594152195
896x4864,896,4864,8.0,8.0,2,9.5,32,0.011080616884153838,0.001319978488566971,0.0017660202699206213,0.0004460417813536503,236.0,24.842105263157894,24,0.9876264166468851,4.107508659415217
4864x896,4864,896,12.0,16.0,3,1.75,32,0.011080616884153835,0.00024315393210444196,0.00032531952340643014,8.216559130198818e-05,236.0,134.85714285714286,134,0.9876264166468851,4.107508659415217
