method,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,order
paper,0.03189485727085003,0.4254774743984639,0.9707385613154561,0.016845562797462098,0.11335052989708322,0
cell1_abs,0.03189485727085003,0.11917752598181666,1.0207655813513066,0.017027786699228477,0.12879764037974695,1
cell1_x2,0.04010361932691124,0.11914061186695185,0.9909077900991539,0.01707964290260948,0.1270075404849671,2
wcell1,0.042738286039185856,0.11936364265523242,0.9988899016530988,0.017079937863720078,0.12661971911008157,3
