error_ceiling,method,method_label,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,selector_total_ms,io_median_ms,upload_median_ms,selected_fraction,chunks,row_match_rate
0.5,paper,Paper |x|,1.0815714352447958,1.0496765779739456,0.03189485727085003,0.3710931087785117,0.5826818191226706,0.01576305616652032,0.08013859390624307,0.4029879660493618,0.15009014591554473,0.3876534598887482,0.3568697729912785,21.691792915119937,0.2857142857142857
0.5,cell1_abs,Cell-1 |x|,0.9514765803987724,0.9195817231279223,0.03189485727085003,0.11332518314711666,0.702711661742766,0.015209749961772068,0.08833512827626767,0.1452200404179667,0.17850965858406867,0.4772128349347725,0.45090826929056144,11.751771740411698,1.0
0.5,cell1_x2,Cell-1 X²,0.9098035017939201,0.8696998824670088,0.04010361932691124,0.11291995576309562,0.6483716793886071,0.015596583064182297,0.09281166425112365,0.15302357509000689,0.16024919681898603,0.4435202842263795,0.4184879682224489,12.240860895547666,1.0
0.5,wcell1,WCell-1 X²·W²,0.9261555124756209,0.8834172264364349,0.042738286039185856,0.11400351610738027,0.6618681470826363,0.015737172497281418,0.09180839074913692,0.15674180214656613,0.16629917844277553,0.4499222338780911,0.4270887101698361,12.206349206349206,1.0
0.45,paper,Paper |x|,1.1964883272283537,1.1645934699575036,0.03189485727085003,0.37522884717701044,0.6866964093691822,0.015707304086226167,0.08696090932508474,0.4071237044478605,0.1781079276717808,0.4613959574536052,0.43017655610234407,25.166515477216638,0.5531245018759076
0.45,cell1_abs,Cell-1 |x|,1.0194849425906864,0.9875900853198364,0.03189485727085003,0.11538244603016212,0.7680572019613836,0.01670081386883224,0.08744962345945824,0.14727730330101216,0.19884133816659474,0.5193098303511892,0.4957214232710936,12.094282591259342,1.0
0.45,cell1_x2,Cell-1 X²,0.992838554753097,0.9527349354261857,0.04010361932691124,0.11517093620380685,0.7337901018397044,0.01604907186352224,0.0877248255191522,0.1552745555307181,0.1874124755054243,0.4992761581833977,0.4805523979274283,12.284155439566142,1.0
0.45,wcell1,WCell-1 X²·W²,1.0031894574636258,0.9604511714244398,0.042738286039185856,0.11662794587993058,0.7400287057226458,0.01608766067559979,0.0877068591462635,0.15936623191911645,0.18991765543453404,0.5028077169951481,0.48244831003092736,12.401735137271508,1.0
0.42,paper,Paper |x|,1.2702764084336247,1.2383815511627747,0.03189485727085003,0.38521920148291083,0.7496544910768337,0.016079775645301296,0.08742808295772869,0.4171140587537609,0.19350617191663394,0.5077738077558762,0.4768233564499124,27.37086956445405,0.8707615282434721
0.42,cell1_abs,Cell-1 |x|,1.0857074934879702,1.0538126362171203,0.03189485727085003,0.11603012766751802,0.8244322540897893,0.01626161593543738,0.09708863852437548,0.1479249849383681,0.2154267642509919,0.5594431967184312,0.5356892552808276,12.081521444317094,1.0
0.42,cell1_x2,Cell-1 X²,1.0515194878439134,1.011415868517002,0.04010361932691124,0.11552034223758673,0.7871786601228572,0.01645685204013253,0.09226001411642545,0.15562396156449795,0.20674225070525923,0.5327825484148926,0.5173703411766745,12.183499670311042,1.0
0.42,wcell1,WCell-1 X²·W²,1.063406085521252,1.020667799482066,0.042738286039185856,0.11699664904111579,0.7954596734318853,0.016155587662390777,0.09205588934667396,0.15973493508030165,0.2071731347083353,0.5401350300595644,0.5174813740467971,12.374324838886043,1.0
0.4,paper,Paper |x|,1.318037976294703,1.2861431190238528,0.03189485727085003,0.3901519228083501,0.7916279900482025,0.016338378566225147,0.08802482760107491,0.42204678007920016,0.2065605229326675,0.5349529333193401,0.5037069548717003,28.752468452572824,0.9783876088639587
0.4,cell1_abs,Cell-1 |x|,1.146576556372298,1.114681699101448,0.03189485727085003,0.11743835978924005,0.8695795330602796,0.016321968973362785,0.1113418372785655,0.14933321706009012,0.23156250964679617,0.58818004581593,0.5640405467722529,11.946854069922363,1.0
0.4,cell1_x2,Cell-1 X²,1.1128032877458067,1.0726996684188954,0.04010361932691124,0.11618143202587353,0.8394001183305745,0.016511003777660686,0.10060711428478669,0.15628505135278475,0.2292319023349027,0.5604573941074721,0.5465670074683795,12.118413474558473,1.0
0.4,wcell1,WCell-1 X²·W²,1.1251959378399032,1.0824576518007174,0.042738286039185856,0.11712647133969506,0.849353672802936,0.015876266109148215,0.10010124154893775,0.15986475737888095,0.22579587205748897,0.5738780281241223,0.5466401311708463,12.151461910814598,1.0
0.35,paper,Paper |x|,1.4845112444853386,1.4526163872144886,0.03189485727085003,0.41587745431343204,0.9093118149134826,0.0166614590960295,0.11076565889154422,0.4477723115842821,0.25153606000623974,0.6037216991075395,0.5750292866607619,32.00852832686441,0.48711194656665746
0.35,cell1_abs,Cell-1 |x|,1.2883566786234601,1.25646182135261,0.03189485727085003,0.11911344310483254,0.9777290730641219,0.016937513661966774,0.1426817915216886,0.1510083003756826,0.26980539806495674,0.6551992752505997,0.6322797041522912,11.312384693529644,1.0
0.35,cell1_x2,Cell-1 X²,1.269492210262329,1.2293885909354179,0.04010361932691124,0.12009932739029996,0.9514759766948484,0.017185070549962045,0.1406282163003073,0.16020294671721122,0.26088441228685677,0.6387738425976532,0.6173208998032669,11.38293433809692,1.0
0.35,wcell1,WCell-1 X²·W²,1.2700784855398983,1.2273401995007125,0.042738286039185856,0.12151596268524542,0.9488144576071236,0.016938374121763466,0.14007140508658,0.16425424872443128,0.25792356174663966,0.6381445327484709,0.6157112101691903,11.695669877718595,1.0
