n,trial,spatial_mode,scenario,track,target_fraction,target_importance,row_budget_fraction,row_budget,top_row_budget_importance,row_budget_intrinsically_feasible,method,method_label,family,repetition,runtime_ms,deadline_met,valid,error
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,10,1.553183,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,11,1.621691,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,12,1.271006,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,13,1.409345,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,14,1.112168,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,15,1.083365,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,16,1.068567,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,17,1.062095,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,18,1.079308,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,19,1.065452,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,20,1.158165,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,21,1.223196,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,22,1.130754,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,23,1.066684,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,24,1.050444,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,25,1.071933,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,26,1.053089,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,27,1.03749,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,28,1.02763,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,29,1.050584,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,0,0.694037,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,1,0.632072,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,2,0.616312,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,3,0.594662,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,4,0.58341,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,5,0.585294,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,6,0.557712,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,7,0.569474,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,8,0.555368,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,9,0.596335,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,10,0.587488,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,11,0.61549,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,12,0.642782,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,13,0.602075,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,14,0.59386,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,15,0.5833,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,lambda_bank4,Lambda bank (4),lambda_bank,16,0.577089,True,True,
