trial,target_cv,spatial_mode,coverage_target,target_importance,cover_importance,cover_rows,cover_chunks,cover_aff_ms,cover_runtime_ms,cover_build_ms
0,1.07,random,0.1,0.1,0.10024446946624604,430,1,0.11620996346185537,8.546038,12191.426453
0,1.07,random,0.3,0.3,0.30003066598683237,1333,2,0.34814991233616427,8.597364,12191.426453
0,1.07,random,0.5,0.5,0.5001942263999494,2331,1,0.5813319555740628,8.393994,12191.426453
0,1.07,random,0.7,0.7,0.700150892559528,3306,2,0.8308883081475189,7.884191,12191.426453
0,1.07,random,0.9,0.9,0.9000092680963597,4355,1,1.07654863733898,6.176448,12191.426453
0,1.07,random,0.95,0.95,0.9501245052491133,4599,1,1.1362486720972014,6.2203,12191.426453
0,1.07,random,0.99,0.99,0.9901106551567952,4801,1,1.1856724713642535,5.892938,12191.426453
0,1.07,local,0.1,0.1,0.10019216831814248,112,2,0.0494050662714587,8.591984,12837.01277
0,1.07,local,0.3,0.3,0.30011121780874717,665,4,0.20671060520019435,8.599398,12837.01277
0,1.07,local,0.5,0.5,0.5001211956475726,1244,9,0.4033802806850221,7.912274,12837.01277
0,1.07,local,0.7,0.7,0.7000193681431155,2277,8,0.645125853498895,7.655874,12837.01277
0,1.07,local,0.9,0.9,0.9000867729064846,3733,5,0.9683660264169174,6.250777,12837.01277
0,1.07,local,0.95,0.95,0.9500652086381539,4177,4,1.0659996300808217,6.052046,12837.01277
0,1.07,local,0.99,0.99,0.9900095236802634,4667,2,1.163887272516122,5.31107,12837.01277
0,1.07,hot-cold,0.1,0.09999999999999999,0.100171407650066,194,1,0.05846730689242826,11.599397,13800.334719
0,1.07,hot-cold,0.3,0.29999999999999993,0.30022910113926515,652,1,0.17052720820089276,8.366273,13800.334719
0,1.07,hot-cold,0.5,0.49999999999999994,0.5002806060115504,1278,1,0.3236920514740342,8.163563,13800.334719
0,1.07,hot-cold,0.7,0.6999999999999998,0.7000297160244698,2148,1,0.5365569295053969,13.079714,13800.334719
0,1.07,hot-cold,0.9,0.8999999999999999,0.9000840724320301,3526,1,0.8737153225251875,6.190484,13800.334719
0,1.07,hot-cold,0.95,0.9499999999999998,0.95005194592981,4081,1,1.009508434372781,5.946057,13800.334719
0,1.07,hot-cold,0.99,0.9899999999999999,0.9900146777050708,4684,1,1.157045815353139,5.379718,13800.334719
0,1.25,random,0.1,0.1,0.10010089510869746,432,1,0.11669930800905391,8.660803,15285.44869
0,1.25,random,0.3,0.3,0.30010330484534176,1321,2,0.3452138450529731,8.630466,15285.44869
0,1.25,random,0.5,0.5,0.5001989552833187,2245,3,0.5822919116728665,8.211062,15285.44869
0,1.25,random,0.7,0.7,0.700110224983692,3271,2,0.8223247785715446,7.988295,15285.44869
0,1.25,random,0.9,0.9,0.9001261230834413,4281,2,1.0694437749068046,6.573711,15285.44869
0,1.25,random,0.95,0.95,0.9502440490150691,4595,1,1.1352699830028044,6.096779,15285.44869
0,1.25,random,0.99,0.99,0.9902808024359363,4813,1,1.1886085386474445,5.931129,15285.44869
0,1.25,local,0.1,0.1,0.10003352347769638,134,1,0.04378697047647221,13.758925,14863.807871
0,1.25,local,0.3,0.3,0.3002213119507254,439,5,0.1624155571809303,9.725955,14863.807871
0,1.25,local,0.5,0.5,0.5002196729693776,1207,6,0.3613247491193381,9.788411,14863.807871
0,1.25,local,0.7,0.7,0.7001366175555249,2108,9,0.6147771250747891,11.036424,14863.807871
0,1.25,local,0.9,0.9,0.9001045437363776,3530,8,0.9517002123187771,6.241329,14863.807871
0,1.25,local,0.95,0.95,0.9500378448721108,4116,4,1.0510746213912663,7.369669,14863.807871
0,1.25,local,0.99,0.99,0.990005564277676,4696,1,1.1599818826363304,11.400265,14863.807871
0,1.25,hot-cold,0.1,0.1,0.10027184228680937,178,1,0.05455255051483998,8.60069,13803.248969
0,1.25,hot-cold,0.3,0.3,0.3002018587650953,586,1,0.1543788381433411,9.757543,13803.248969
0,1.25,hot-cold,0.5,0.5,0.5000197824856708,1137,1,0.28919326089653746,8.270093,13803.248969
0,1.25,hot-cold,0.7,0.7,0.7002124310571434,1908,1,0.47783558384157265,15.904786,13803.248969
0,1.25,hot-cold,0.9,0.9,0.9000144688925651,3328,1,0.8252702123525325,9.917333,13803.248969
0,1.25,hot-cold,0.95,0.95,0.9500331073925996,3916,1,0.9691375092289017,5.879142,13803.248969
0,1.25,hot-cold,0.99,0.99,0.9900184083627347,4624,1,1.142365478937183,5.459397,13803.248969
0,1.44,random,0.1,0.09999999999999999,0.1004436948366115,405,1,0.11009315662187369,16.743374,14404.910571
0,1.44,random,0.3,0.29999999999999993,0.30010587016792023,1249,2,0.32759744135382585,12.115512,14404.910571
0,1.44,random,0.5,0.49999999999999994,0.5001804998920145,2192,2,0.558323395357935,10.169994,14404.910571
0,1.44,random,0.7,0.6999999999999998,0.7001367420136372,3191,2,0.8027509966836032,7.853273,14404.910571
0,1.44,random,0.9,0.8999999999999999,0.9003968242093221,4293,1,1.0613789563758256,13.282494,14404.910571
0,1.44,random,0.95,0.9499999999999998,0.9501066120098776,4531,2,1.1306118433066217,12.677593,14404.910571
0,1.44,random,0.99,0.9899999999999999,0.9900762374580672,4796,1,1.184449109996257,6.111186,14404.910571
0,1.44,local,0.1,0.1,0.10056149633321389,75,1,0.02935130633411543,12.093501,14032.962909
0,1.44,local,0.3,0.3,0.30019030107419303,457,5,0.16681965810571708,8.255746,14032.962909
0,1.44,local,0.5,0.5,0.5002151437180623,1042,9,0.3539564814179701,8.390037,14032.962909
0,1.44,local,0.7,0.7,0.7001659028997568,1991,10,0.5971513548778452,16.100093,14032.962909
0,1.44,local,0.9,0.9,0.900025902613669,3557,6,0.9363045920776166,6.444028,14032.962909
0,1.44,local,0.95,0.95,0.9500717337793223,3999,7,1.0554506228226632,9.890582,14032.962909
0,1.44,local,0.99,0.99,0.990000667152598,4618,3,1.1628992169239283,6.485295,14032.962909
0,1.44,hot-cold,0.1,0.09999999999999999,0.10007113942921662,147,1,0.04696771003326269,8.693815,12993.164451
0,1.44,hot-cold,0.3,0.29999999999999993,0.30026177726121706,562,1,0.1485067035769587,8.395186,12993.164451
0,1.44,hot-cold,0.5,0.49999999999999994,0.5002087552160346,1107,1,0.28185309268855946,8.404313,12993.164451
0,1.44,hot-cold,0.7,0.6999999999999998,0.7004175327192639,1920,1,0.4807716511247639,8.012691,12993.164451
0,1.44,hot-cold,0.9,0.8999999999999999,0.9000707983893269,3297,1,0.8176853718709551,6.755831,12993.164451
0,1.44,hot-cold,0.95,0.9499999999999998,0.9500453864947329,3907,1,0.9669354587665083,5.867351,12993.164451
0,1.44,hot-cold,0.99,0.9899999999999999,0.9900098214965906,4638,1,1.145790890767573,5.784184,12993.164451
0,2.48,random,0.1,0.1,0.10003938794690963,326,1,0.09076404700753156,10.787379,14345.564352
