trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,cover_build_ms,cover_buffer_gib,top_build_ms
0,1.07,random,1.0700000000000003,-0.0024648547070651576,0.5119932805069118,12191.426453,0.1763782650232315,0.338724
0,1.07,local,1.0700000000000003,0.8719620164633712,0.4934024407433654,12837.01277,0.1763782650232315,0.332341
0,1.07,hot-cold,1.0700000000000005,0.34557501222037795,0.7500503400240756,13800.334719,0.1763782650232315,0.314127
0,1.25,random,1.2499999999999998,-0.010242597477089246,0.5090296186423924,15285.44869,0.1763782650232315,0.336739
0,1.25,local,1.2499999999999998,0.9490396620198276,0.522843221116667,14863.807871,0.1763782650232315,0.405468
0,1.25,hot-cold,1.2499999999999998,0.3428665912568497,0.7904594505393279,13803.248969,0.1763782650232315,0.315419
0,1.44,random,1.4400000000000002,0.010423101362176395,0.5037394498399991,14404.910571,0.1763782650232315,0.406049
0,1.44,local,1.44,0.8090304358963623,0.5571171079945065,14032.962909,0.1763782650232315,0.303006
0,1.44,hot-cold,1.4400000000000002,0.28209798815273884,0.7940509465122808,12993.164451,0.1763782650232315,0.326881
0,2.48,random,2.48,-0.015908202562069578,0.48227458501020964,14345.564352,0.1763782650232315,0.338192
0,2.48,local,2.48,0.8039657514108227,0.45460668200880033,14728.690103,0.1763782650232315,0.393456
0,2.48,hot-cold,2.48,0.22397877433478405,0.8861193564242569,14207.269646,0.1763782650232315,0.405338
0,3.3,random,3.3,0.00864105828199454,0.5430239470477575,15214.883317,0.1763782650232315,0.33661
0,3.3,local,3.3000000000000003,0.6178815277989318,0.3735791702362907,14210.458097,0.1763782650232315,0.311913
0,3.3,hot-cold,3.3,0.11297532431145443,0.8982121657195973,14917.865299,0.1763782650232315,0.394208
0,4.55,random,4.550000000000002,0.011426505939669256,0.4989359150334714,13036.152346,0.1763782650232315,0.344745
0,4.55,local,4.550000000000001,0.6427762885021493,0.6139283884228961,13040.576729,0.1763782650232315,0.377726
0,4.55,hot-cold,4.550000000000002,0.0828597770537934,0.9345150690923198,13694.268259,0.1763782650232315,0.319247
0,9.19,random,9.19,0.010582168000218889,0.4499863802244881,14684.258851,0.1763782650232315,0.33174
0,9.19,local,9.19,0.6971351199247243,0.31200563306338197,14879.720722,0.1763782650232315,0.378588
0,9.19,hot-cold,9.19,0.0363245979986696,0.9839655810014325,13958.767768,0.1763782650232315,0.324276
1,1.07,random,1.0699999999999998,0.004664576743581316,0.5109651397094725,14558.636917,0.1763782650232315,0.327151
1,1.07,local,1.0699999999999998,0.9071908237205432,0.4718777910655681,14046.948788,0.1763782650232315,0.309428
1,1.07,hot-cold,1.0699999999999998,0.38534753510736197,0.761821916545008,13891.006747,0.1763782650232315,0.327292
1,1.25,random,1.2500000000000002,0.01693595447087866,0.4918192026547386,14194.667534,0.1763782650232315,0.329466
1,1.25,local,1.2500000000000002,0.9017295059385433,0.5427254215467981,15912.906293,0.1763782650232315,0.40139
1,1.25,hot-cold,1.25,0.35613167167359955,0.7880544674600619,13359.407008,0.1763782650232315,0.313997
1,1.44,random,1.4400000000000002,-0.008298809562656552,0.4824649592434118,14044.427063,0.1763782650232315,0.333394
1,1.44,local,1.4400000000000002,0.8788360770598662,0.49325964974963815,13833.036631,0.1763782650232315,0.398105
1,1.44,hot-cold,1.4400000000000002,0.2816267962955171,0.7957062764242673,14292.856646,0.1763782650232315,0.321281
1,2.48,random,2.4800000000000018,0.00025897969775640046,0.48941678778902187,13782.043184,0.1763782650232315,0.327933
1,2.48,local,2.4800000000000018,0.5407692400766936,0.518914931078081,15086.436435,0.1763782650232315,0.30513
1,2.48,hot-cold,2.4800000000000018,0.1521997357078247,0.8419463334292216,14708.672244,0.1763782650232315,0.407241
1,3.3,random,3.2999999999999994,0.019275768031081213,0.5110761171689686,14607.505618,0.1763782650232315,0.326631
1,3.3,local,3.3,0.7382010103853177,0.5401670875996619,15170.70682,0.1763782650232315,0.314949
1,3.3,hot-cold,3.3,0.2648504977850194,0.922410817871246,14181.830695,0.1763782650232315,0.316322
1,4.55,random,4.55,-0.007647686079318124,0.48542053448995176,14912.322566,0.1763782650232315,0.325178
1,4.55,local,4.55,0.7040553620668154,0.5811805460551658,14035.548917,0.1763782650232315,0.408303
1,4.55,hot-cold,4.55,0.14408844240701982,0.9391850187779454,15113.392344,0.1763782650232315,0.409756
1,9.19,random,9.190000000000003,0.014680151191550422,0.564108658024544,14552.347406,0.1763782650232315,0.338964
1,9.19,local,9.190000000000001,0.5082154327766845,0.7039808244653761,14138.775484,0.1763782650232315,0.312103
1,9.19,hot-cold,9.190000000000001,0.037405170320768996,0.9640478362404856,13668.46782,0.1763782650232315,0.312695
2,1.07,random,1.0699999999999998,0.0011300968547514612,0.49507676581110854,14744.57921,0.1763782650232315,0.334465
2,1.07,local,1.0699999999999998,0.9236254766336678,0.45539846907882514,13072.552187,0.1763782650232315,0.351086
2,1.07,hot-cold,1.0699999999999998,0.3493444423067044,0.7607130221764797,14068.719126,0.1763782650232315,0.319938
2,1.25,random,1.2499999999999998,0.004466852413669696,0.4936549025392932,14198.573891,0.1763782650232315,0.405759
2,1.25,local,1.2499999999999998,0.9094617963640735,0.465749910488702,13316.998924,0.1763782650232315,0.313225
2,1.25,hot-cold,1.25,0.31951680853494285,0.7828235419654435,13784.561905,0.1763782650232315,0.314097
2,1.44,random,1.4400000000000002,-0.016836766664548794,0.5002091477799734,13946.759192,0.1763782650232315,0.427449
2,1.44,local,1.4400000000000004,0.9328799186702831,0.46675336887273533,15083.470399,0.1763782650232315,0.32098
2,1.44,hot-cold,1.4400000000000004,0.3595775917882128,0.8224683393589514,13316.263309,0.1763782650232315,0.32088
2,2.48,random,2.48,0.019003434155384274,0.4787963276444446,14124.642138,0.1763782650232315,0.335858
2,2.48,local,2.48,0.8979800750538193,0.3992218758703471,13647.622906,0.1763782650232315,0.315851
2,2.48,hot-cold,2.4799999999999995,0.19223053186979563,0.8981456889779027,13423.03791,0.1763782650232315,0.318736
2,3.3,random,3.3,-0.003472695351851804,0.47324818971810756,14132.129727,0.1763782650232315,0.338854
2,3.3,local,3.3,0.8526608902370987,0.6719400895144898,14373.000785,0.1763782650232315,0.328614
2,3.3,hot-cold,3.3,0.10801848720834663,0.8993048004657387,13445.653091,0.1763782650232315,0.392874
2,4.55,random,4.55,-0.002218126005657107,0.5208488234273955,14833.660639,0.1763782650232315,0.330909
2,4.55,local,4.55,0.8216349167020331,0.6385411672596456,13304.793032,0.1763782650232315,0.32616
2,4.55,hot-cold,4.55,0.15965634701855672,0.9409698950735953,14622.993837,0.1763782650232315,0.314048
2,9.19,random,9.190000000000003,-0.004390299904853026,0.44421375377485434,13372.174688,0.1763782650232315,0.339665
2,9.19,local,9.190000000000003,0.3823830636324806,0.46874029465303074,13265.981324,0.1763782650232315,0.307725
2,9.19,hot-cold,9.190000000000003,0.030773453076355484,0.9662098542572999,14025.868828,0.1763782650232315,0.407391
