method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,selector_total_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,chunks,row_match_rate,fallback_rate
cell1_abs_lookup,Cell-1 |x| lookup,abs,0,0.1,63,0.3054960793358882,0.27540642844144686,0.030089650894441253,0.07525263492063491,0.10534228581507617,0.16360623809523805,0.0712459365079365,0.051106785714285695,0.014548317484912374,0.021999237940661436,0.7380762559080881,0.3785135727080088,0.12655639660263815,0.10037090494092368,1.8571428571428572,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,1,0.15,63,0.3206914287300034,0.29060177783556207,0.030089650894441253,0.07647362698412698,0.10656327787856824,0.17276840476190478,0.06866785714285713,0.0661630238095238,0.014863746063340228,0.02649600002619004,0.6819199419447354,0.3151308913079519,0.18054266297628005,0.14962909505907623,2.619047619047619,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,2,0.2,63,0.34999702450289516,0.3199073736084539,0.030089650894441253,0.08067981746031744,0.11076946835475872,0.19181219047619044,0.07197788888888887,0.08230475396825394,0.015383365120561305,0.03203200055138455,0.6461805510260756,0.27837050055700635,0.23260468055331515,0.19981454752953812,3.0634920634920637,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,3,0.25,63,0.373567388763317,0.34347773786887575,0.030089650894441253,0.08041660317460317,0.11050625406904442,0.2181412619047619,0.08066542857142855,0.09930633333333333,0.015137015812335454,0.029782856977175098,0.6157034822695312,0.2473163226294139,0.28531592800503686,0.25,3.634920634920635,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,4,0.3,63,0.4091823657299081,0.3790927148354668,0.030089650894441253,0.08234123809523809,0.11243088898967935,0.24234487301587299,0.08695110317460315,0.11691985714285714,0.015232507982069493,0.03917409574228615,0.5873535977351287,0.22379908391407555,0.3369663102286203,0.30018545247046186,4.238095238095238,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,5,0.35,63,0.4229166826538642,0.3928270317594229,0.030089650894441253,0.07914157936507936,0.10923123025952061,0.26331948412698414,0.09222367460317459,0.13221569047619045,0.015133460362752238,0.03523250790460711,0.5549717688312134,0.1993540459209018,0.3891153666708205,0.35037090494092366,4.603174603174603,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,6,0.4,63,0.45266086543396256,0.42257121453952123,0.030089650894441253,0.08091614285714285,0.1110057937515841,0.2889414206349206,0.09921967460317459,0.149822746031746,0.01507809526094837,0.03763555578650932,0.5273975015337032,0.18051646910016497,0.43799640072716606,0.39962909505907623,4.761904761904762,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,7,0.45,63,0.48556348395853094,0.4554738330640897,0.030089650894441253,0.08161151587301586,0.11170116676745713,0.3086874603174603,0.10249749206349205,0.16700927777777777,0.015149206381350233,0.05002565049226317,0.4965876059843198,0.15829962775820774,0.48816932761479936,0.4498145475295381,4.968253968253968,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,8,0.5,63,0.5017858491263021,0.47169619823186076,0.030089650894441253,0.08244688095238095,0.1125365318468222,0.3344571904761905,0.11164560317460316,0.18363717460317458,0.015573841253561585,0.039218285549727644,0.46741302125155926,0.14014504826258092,0.5375717452594212,0.5,5.126984126984127,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,9,0.55,63,0.5470526828513183,0.516963031956877,0.030089650894441253,0.08233814285714285,0.11242779375158411,0.3637743492063492,0.11729479365079364,0.2074819603174603,0.015338666722296682,0.0555118731710882,0.4345925336053211,0.11965651644600758,0.5905651601534041,0.5501854524704618,5.158730158730159,1.0,0.0
