trial,target_cv,spatial_mode,coverage_target,target_importance,q,single_importance,single_rows,single_chunks,single_aff_ms,single_runtime_ms,top_importance,top_rows,top_chunks,top_aff_ms,top_runtime_ms,quant_importance,quant_rows,quant_chunks,quant_aff_ms,quant_runtime_ms,quant_build_ms,quant_one_query_ms,quant_amortized_ms,quant_full_mask
0,1.07,random,0.1,0.1,1024,0.10001985101927424,1811,1,1.7834068357672639,7.016029,0.10001855856014721,291,286,3.4310518693222742,0.105296,1.0,18944,1,18.55128709007226,0.066404,899.84997,899.916374,64.34140185714286,True
0,1.07,random,0.3,0.3,1024,0.30000183566250166,5538,1,5.430981090585143,6.624838,0.30000538223042217,1500,1389,16.748264037478254,0.091441,1.0,18944,1,18.55128709007226,0.008235,899.84997,899.858205,64.28323285714285,True
0,1.07,random,0.5,0.5,1024,0.5000131784511898,9388,1,9.198934104013862,5.138511,0.5000401717726972,3551,2887,35.23488231971386,0.106189,1.0,18944,1,18.55128709007226,0.006192,899.84997,899.856162,64.28118985714285,True
0,1.07,random,0.7,0.7,1024,0.7000147465077846,13193,1,12.922846108194712,4.280828,0.7000039005901427,6795,4318,54.15201734201576,0.110878,1.0,18944,1,18.55128709007226,0.005069,899.84997,899.855039,64.28006685714286,True
0,1.07,random,0.9,0.9,1024,0.9000299179301872,16969,1,16.618376128638047,4.00315,0.9000142875018471,12399,4248,58.86652902002502,0.131907,1.0,18944,1,18.55128709007226,0.00502,899.84997,899.8549899999999,64.28001785714285,True
0,1.07,random,0.95,0.95,1024,0.9500054807627962,17941,1,17.569661928391998,3.234523,0.9500082672424446,14716,3253,50.18827026664351,0.101149,1.0,18944,1,18.55128709007226,0.00514,899.84997,899.85511,64.28013785714285,True
0,1.07,random,0.99,0.99,1024,0.9900503600570335,18721,1,18.333039422021713,3.116714,0.9900007161520626,17530,1299,31.446570497387953,0.075761,1.0,18944,1,18.55128709007226,0.004749,899.84997,899.8547189999999,64.27974685714285,True
0,1.07,random,0.1,0.1,2048,0.10001985101927424,1811,1,1.7834068357672639,7.016029,0.10001855856014721,291,286,3.4310518693222742,0.105296,0.10010516895909302,1301,28,1.5812993146073195,0.346427,132.814644,133.161071,9.833187285714285,False
0,1.07,random,0.3,0.3,2048,0.30000183566250166,5538,1,5.430981090585143,6.624838,0.30000538223042217,1500,1389,16.748264037478254,0.091441,0.3004238805265758,4748,50,5.196860110906123,0.221053,132.814644,133.035697,9.707813285714284,False
0,1.07,random,0.5,0.5,2048,0.5000131784511898,9388,1,9.198934104013862,5.138511,0.5000401717726972,3551,2887,35.23488231971386,0.106189,1.0,18944,1,18.55128709007226,0.172783,132.814644,132.987427,9.659543285714285,True
0,1.07,random,0.7,0.7,2048,0.7000147465077846,13193,1,12.922846108194712,4.280828,0.7000039005901427,6795,4318,54.15201734201576,0.110878,1.0,18944,1,18.55128709007226,0.172302,132.814644,132.986946,9.659062285714285,True
0,1.07,random,0.9,0.9,2048,0.9000299179301872,16969,1,16.618376128638047,4.00315,0.9000142875018471,12399,4248,58.86652902002502,0.131907,1.0,18944,1,18.55128709007226,0.172221,132.814644,132.986865,9.658981285714285,True
0,1.07,random,0.95,0.95,2048,0.9500054807627962,17941,1,17.569661928391998,3.234523,0.9500082672424446,14716,3253,50.18827026664351,0.101149,1.0,18944,1,18.55128709007226,0.175427,132.814644,132.990071,9.662187285714285,True
0,1.07,random,0.99,0.99,2048,0.9900503600570335,18721,1,18.333039422021713,3.116714,0.9900007161520626,17530,1299,31.446570497387953,0.075761,1.0,18944,1,18.55128709007226,0.17163,132.814644,132.98627399999998,9.658390285714285,True
0,1.07,random,0.1,0.1,4096,0.10001985101927424,1811,1,1.7834068357672639,7.016029,0.10001855856014721,291,286,3.4310518693222742,0.105296,0.10010183638686557,1160,33,1.4983085813681885,1.662737,673.224858,674.887595,49.75022685714286,False
0,1.07,random,0.3,0.3,4096,0.30000183566250166,5538,1,5.430981090585143,6.624838,0.30000538223042217,1500,1389,16.748264037478254,0.091441,0.3000524442882141,4256,68,4.9133610211177166,1.436013,673.224858,674.660871,49.523502857142866,False
0,1.07,random,0.5,0.5,4096,0.5000131784511898,9388,1,9.198934104013862,5.138511,0.5000401717726972,3551,2887,35.23488231971386,0.106189,0.5000101678092601,8025,61,8.525034017202437,1.24202,673.224858,674.4668780000001,49.32950985714286,False
0,1.07,random,0.7,0.7,4096,0.7000147465077846,13193,1,12.922846108194712,4.280828,0.7000039005901427,6795,4318,54.15201734201576,0.110878,0.700006850060751,11995,54,12.333423521261112,1.06003,673.224858,674.284888,49.14751985714286,False
0,1.07,random,0.9,0.9,4096,0.9000299179301872,16969,1,16.618376128638047,4.00315,0.9000142875018471,12399,4248,58.86652902002502,0.131907,0.9001631651272817,16461,22,16.35222067078606,0.899361,673.224858,674.124219,48.98685085714286,False
0,1.07,random,0.95,0.95,4096,0.9500054807627962,17941,1,17.569661928391998,3.234523,0.9500082672424446,14716,3253,50.18827026664351,0.101149,0.9501982199456693,17666,12,17.421532171391366,0.849447,673.224858,674.0743050000001,48.93693685714286,False
0,1.07,random,0.99,0.99,4096,0.9900503600570335,18721,1,18.333039422021713,3.116714,0.9900007161520626,17530,1299,31.446570497387953,0.075761,0.9902508070889157,18679,4,18.324937137501,0.810534,673.224858,674.035392,48.89802385714286,False
0,1.07,random,0.1,0.1,8192,0.10001985101927424,1811,1,1.7834068357672639,7.016029,0.10001855856014721,291,286,3.4310518693222742,0.105296,0.10000117130378892,1170,31,1.4860937006838186,3.151047,1493.940251,1497.091298,109.86106492857144,False
