trial,target_cv,spatial_mode,q,top_build_ms,quant_build_ms,quant_peak_states,quant_state_slots
0,2.48,hot-cold,131072,1.223156,25891.480901,55807,262146
0,3.3,random,1024,1.283398,48.591229,242,2050
0,3.3,random,2048,1.283398,169.893533,1886,4098
0,3.3,random,4096,1.283398,619.547717,7204,8194
0,3.3,random,8192,1.283398,1458.432267,14983,16386
0,3.3,random,16384,1.283398,3322.965832,26105,32770
0,3.3,random,32768,1.283398,6834.281922,43382,65538
0,3.3,random,65536,1.283398,13836.80026,76411,131074
0,3.3,random,131072,1.283398,27015.802547,126090,262146
0,3.3,local,1024,1.247992,58.248153,646,2050
0,3.3,local,2048,1.247992,155.129598,2059,4098
0,3.3,local,4096,1.247992,413.216723,5395,8194
0,3.3,local,8192,1.247992,999.93492,11127,16386
0,3.3,local,16384,1.247992,2167.799384,19200,32770
0,3.3,local,32768,1.247992,4390.881269,29531,65538
0,3.3,local,65536,1.247992,8077.785642,45984,131074
0,3.3,local,131072,1.247992,17839.28471,65898,262146
0,3.3,hot-cold,1024,1.237462,107.653743,992,2050
0,3.3,hot-cold,2048,1.237462,284.573423,2945,4098
0,3.3,hot-cold,4096,1.237462,686.419311,6822,8194
0,3.3,hot-cold,8192,1.237462,1685.30432,13360,16386
0,3.3,hot-cold,16384,1.237462,4115.49395,22501,32770
0,3.3,hot-cold,32768,1.237462,8431.614834,33199,65538
0,3.3,hot-cold,65536,1.237462,14188.569244,43407,131074
0,3.3,hot-cold,131072,1.237462,24888.633108,53252,262146
0,4.55,random,1024,1.27371,61.148311,578,2050
0,4.55,random,2048,1.27371,178.511214,2058,4098
0,4.55,random,4096,1.27371,588.805637,6036,8194
0,4.55,random,8192,1.27371,1382.01668,13385,16386
0,4.55,random,16384,1.27371,2970.820165,23930,32770
0,4.55,random,32768,1.27371,6028.301546,39422,65538
0,4.55,random,65536,1.27371,11684.755373,66836,131074
0,4.55,random,131072,1.27371,22373.407085,110639,262146
0,4.55,local,1024,1.182008,76.027011,896,2050
0,4.55,local,2048,1.182008,172.751803,2198,4098
0,4.55,local,4096,1.182008,379.564997,4538,8194
0,4.55,local,8192,1.182008,814.056962,8569,16386
0,4.55,local,16384,1.182008,1655.402239,14120,32770
0,4.55,local,32768,1.182008,3281.28768,22196,65538
0,4.55,local,65536,1.182008,6305.244156,32550,131074
0,4.55,local,131072,1.182008,11997.707209,46491,262146
0,4.55,hot-cold,1024,1.271065,119.646791,1127,2050
0,4.55,hot-cold,2048,1.271065,314.151448,2982,4098
0,4.55,hot-cold,4096,1.271065,826.776849,6244,8194
0,4.55,hot-cold,8192,1.271065,1609.92006,11446,16386
0,4.55,hot-cold,16384,1.271065,3527.769281,19256,32770
0,4.55,hot-cold,32768,1.271065,7579.473545,28682,65538
0,4.55,hot-cold,65536,1.271065,13514.610916,41048,131074
0,4.55,hot-cold,131072,1.271065,21700.845716,52902,262146
0,9.19,random,1024,1.236831,69.282229,722,2050
0,9.19,random,2048,1.236831,171.833457,2010,4098
0,9.19,random,4096,1.236831,451.083454,5033,8194
0,9.19,random,8192,1.236831,1090.229479,10749,16386
0,9.19,random,16384,1.236831,2479.710766,19577,32770
0,9.19,random,32768,1.236831,5273.896203,33256,65538
0,9.19,random,65536,1.236831,10062.982775,52251,131074
0,9.19,random,131072,1.236831,19272.532383,85947,262146
0,9.19,local,1024,1.219809,75.532817,984,2050
0,9.19,local,2048,1.219809,158.418955,1924,4098
0,9.19,local,4096,1.219809,324.684582,3640,8194
0,9.19,local,8192,1.219809,645.115976,6178,16386
0,9.19,local,16384,1.219809,1310.709015,10076,32770
0,9.19,local,32768,1.219809,2541.032704,15438,65538
0,9.19,local,65536,1.219809,4947.553345,22871,131074
0,9.19,local,131072,1.219809,9848.508488,33300,262146
0,9.19,hot-cold,1024,1.219148,120.905098,1145,2050
0,9.19,hot-cold,2048,1.219148,281.668554,2682,4098
0,9.19,hot-cold,4096,1.219148,617.952469,5228,8194
0,9.19,hot-cold,8192,1.219148,1347.468171,9286,16386
0,9.19,hot-cold,16384,1.219148,2902.814644,15457,32770
0,9.19,hot-cold,32768,1.219148,6626.526702,23791,65538
0,9.19,hot-cold,65536,1.219148,11878.597194,34182,131074
0,9.19,hot-cold,131072,1.219148,19902.994407,46439,262146
