trial,target_cv,spatial_mode,budget_fraction,budget_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,top_fixed_importance,top_fixed_rows,top_fixed_chunks,top_fixed_aff_ms,top_fixed_runtime_ms,top_fixed_importance_gain_pct
0,1.07,random,0.125,2368,0.20355994655235887,2368,111,3.538634100905173,48.744054,0.3960811091798193,2368,2084,25.24338181226332,0.09093,94.57713361009404
0,1.07,random,0.25,4736,0.3665419429655541,4736,212,6.967259343668642,22.76232,0.5839112073689519,4736,3536,43.53420378997096,0.093455,59.30269879750845
0,1.07,random,0.375,7104,0.5080784541719443,7104,298,10.230871299219555,88.687716,0.7148671420514623,7104,4399,55.34550402313226,0.110506,40.70014899894503
0,1.07,random,0.5,9472,0.6352693402090205,9472,377,13.417477054071277,154.037577,0.8123106948171597,9472,4710,61.08431528687151,0.119423,27.868707554796824
0,1.07,random,0.625,11840,0.7484896577101742,11840,443,16.461071293338783,21.909576,0.8855296896857571,11840,4430,60.321603034436066,0.120926,18.308874486632742
0,1.07,random,0.75,14208,0.8481439108253752,14208,451,18.866614155384404,42.705282,0.9403714513968296,14208,3515,52.57332829000243,0.113421,10.874043826088764
0,1.07,random,0.875,16576,0.9335861474771767,16576,358,20.161067550198826,62.185168,0.979065922641938,16576,2051,38.78556723358927,0.087864,4.87151349531707
0,1.07,local,0.125,2368,0.3684801009985315,2368,99,3.4066234711351284,8.422566,0.3960811091798193,2368,476,7.5539574230773585,0.052057,7.490501686927664
0,1.07,local,0.25,4736,0.558585627544519,4736,158,6.373211509703442,12.35286,0.5839112073689519,4736,696,12.291688077727102,0.116307,4.533876021078687
0,1.07,local,0.375,7104,0.6891554215310823,7104,193,9.075778288731666,17.084732,0.7148671420514623,7104,914,17.007416960748508,0.105166,3.7309030324765846
0,1.07,local,0.5,9472,0.7901410269249476,9472,216,11.646334437989847,20.138266,0.8123106948171596,9472,964,19.874997026989284,0.075842,2.8057861997738964
0,1.07,local,0.625,11840,0.8690533081623962,11840,215,13.952869327707937,25.033363,0.8855296896857572,11840,954,22.082523944379844,0.076172,1.8958999831897527
0,1.07,local,0.75,14208,0.928775290418766,14208,195,16.05038738695679,30.013818,0.9403714513968296,14208,774,22.419900273361435,0.077525,1.2485432265144647
0,1.07,local,0.875,16576,0.9729395703146546,16576,136,17.718870899453,34.188519,0.9790659226419381,16576,488,21.591182706040975,0.082654,0.6296744951284294
0,1.07,hot-cold,0.125,2368,0.3040156076487437,2368,79,3.186605754851721,7.65916,0.3960811091798193,2368,1548,19.346907015868,0.067186,30.283149685343492
0,1.07,hot-cold,0.25,4736,0.5065931372574137,4736,117,5.922175191322457,12.648132,0.5839112073689517,4736,2269,29.5960814634171,0.081081,15.262360349001458
0,1.07,hot-cold,0.375,7104,0.6521975476723477,7104,148,8.580738427094,15.981841,0.7148671420514623,7104,2505,34.509826291093574,0.091491,9.608989577280447
0,1.07,hot-cold,0.5,9472,0.7609804430118114,9472,174,11.184297233794691,19.71225,0.8123106948171597,9472,2617,38.059461277812915,0.088105,6.745278709422964
0,1.07,hot-cold,0.625,11840,0.8454310033917846,11840,189,13.666846296539507,23.414719,0.8855296896857571,11840,2598,40.16798022287594,0.092923,4.742987438726587
