trial,target_cv,spatial_mode,budget_rows,budget_fraction,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,paper_extra_vs_quant_pct,paper_extra_vs_single_pct,quant_beats_paper,target_importance,single_importance,single_overshoot,single_rows,single_chunks,single_aff_ms,single_runtime_ms,quant_importance,quant_overshoot,quant_rows,quant_chunks,quant_aff_ms,quant_solve_ms,single_extra_vs_quant_pct,quant_beats_single,quant_build_ms,quant_single_query_ms,quant_amortized_ms,quant_full_mask
0,1.07,random,2368,0.125,0.20121615259048073,2368,112,3.5496349867193433,5.569015,-80.86582904202407,-2.3244473903561325,False,0.20121615259048073,0.20122076698624916,4.6143957684319226e-06,3702,1,3.634107913272123,5.519362,0.9999999999999998,0.798783847409519,18944,1,18.55128709007226,0.069981,-80.41048097834182,False,83.966542,84.036523,6.067591142857143,True
0,1.07,random,4736,0.25,0.3617225209006803,4736,208,6.92325580041196,6.832987,-62.68045571826148,5.1703313301141085,False,0.3617225209006803,0.3618080166841038,8.549578342348374e-05,6715,1,6.582898154690494,4.915815,0.9999999999999998,0.6382774790993195,18944,1,18.55128709007226,0.093875,-64.51514052513727,False,83.966542,84.060417,6.091485142857143,True
0,1.07,random,7104,0.375,0.5054515116726006,7104,297,10.219870413405385,10.859229,-44.910181359467195,10.569056912660235,False,0.5054515116726006,0.5054553803876715,3.868715070853845e-06,9433,1,9.24297511326173,4.151887,0.9999999999999998,0.49454848832739917,18944,1,18.55128709007226,0.073878,-50.176097925797734,False,83.966542,84.04042,6.0714881428571426,True
0,1.07,random,9472,0.5,0.6324937303744282,9472,380,13.450479711513788,15.796414,-27.495706113502905,15.536657786194684,False,0.6324937303744282,0.6325022859661157,8.555591687442465e-06,11884,1,11.641742083628948,3.602771,0.9999999999999998,0.36750626962557154,18944,1,18.55128709007226,0.067015,-37.2456367738547,False,83.966542,84.033557,6.0646251428571425,True
0,1.07,random,11840,0.625,0.7458768473493512,11840,446,16.494073950781292,20.4992,-11.08932835389027,19.864462222344102,False,0.7458768473493512,0.7459745336054735,9.768625612227577e-05,14049,1,13.760603972998604,3.240594,0.9999999999999998,0.25412315265064855,18944,1,18.55128709007226,0.07496,-25.823993202268948,False,83.966542,84.04150200000001,6.072570142857143,True
0,1.07,random,14208,0.75,0.8466358388793627,14208,449,18.844612383756065,27.129248,1.5811587210074363,20.537517584069008,True,0.8466358388793627,0.8468409167125875,0.00020507783322487594,15963,1,15.633814899674595,3.029971,0.9999999999999998,0.1533641611206371,18944,1,18.55128709007226,0.076963,-15.726521702954798,False,83.966542,84.04350500000001,6.074573142857143,True
0,1.07,random,16576,0.875,0.9323379424594256,16576,352,20.095062235313804,33.047455,8.321660582071932,16.304245898028814,True,0.9323379424594256,0.9323846787041974,4.67362447718056e-05,17643,1,17.278012578261674,3.314483,0.9999999999999998,0.0676620575405742,18944,1,18.55128709007226,0.073357,-6.863537314842061,False,83.966542,84.039899,6.070967142857143,True
0,1.07,local,2368,0.125,0.36840270402569486,2368,92,3.3296172704359357,7.984197,-82.05182608479072,-47.174029361813844,False,0.36840270402569486,0.3685029521380051,0.00010024811231024167,6429,1,6.3029930736929325,4.429546,1.0,0.6315972959743051,18944,1,18.55128709007226,0.094176,-66.02395810549456,False,84.285027,84.379203,6.1145350714285716,True
0,1.07,local,4736,0.25,0.5548631077403858,4736,159,6.384212395517612,12.243645,-65.58614847303976,-36.17343600700668,False,0.5548631077403858,0.5549015117699543,3.840402956845068e-05,10209,1,10.002437850513855,4.743132,1.0,0.44513689225961417,18944,1,18.55128709007226,0.092593,-46.082243232240906,False,84.285027,84.37762,6.112952071428571,True
0,1.07,local,7104,0.375,0.6872533981823128,7104,192,9.064777402917496,15.638979,-51.136665833992076,-25.9396736754146,False,0.6872533981823128,0.6873071843969776,5.378621466478606e-05,12495,1,12.239721120305557,4.257244,1.0,0.3127466018176872,18944,1,18.55128709007226,0.081692,-34.02225376127323,False,84.285027,84.366719,6.102051071428572,True
