error_ceiling,method,method_label,cell_count,length_factor,interpolated_total_ms
0.5,c1_l1,C1 · 1s,1,1,0.5897704534725665
0.5,c1_l2,C1 · 2s,1,2,0.6000772115668763
0.5,c1_l3,C1 · 3s,1,3,0.6005504801958207
0.5,c1_l4,C1 · 4s,1,4,0.6191576663219988
0.5,c2_l1,C2 · 1s,2,1,0.5884580044940299
0.5,c2_l2,C2 · 2s,2,2,0.5944768751661385
0.5,c2_l3,C2 · 3s,2,3,0.5929670599815916
0.5,c2_l4,C2 · 4s,2,4,0.614076151793266
0.5,c4_l1,C4 · 1s,4,1,0.5857774383037404
0.5,c4_l2,C4 · 2s,4,2,0.5924883361961926
0.5,c4_l3,C4 · 3s,4,3,0.5905423291706938
0.5,c4_l4,C4 · 4s,4,4,0.6162972385325958
0.5,c8_l1,C8 · 1s,8,1,0.5809501353077604
0.5,c8_l2,C8 · 2s,8,2,0.5914216252662415
0.5,c8_l3,C8 · 3s,8,3,0.59602236701924
0.5,c8_l4,C8 · 4s,8,4,0.6159083744267799
0.45,c1_l1,C1 · 1s,1,1,0.6330168436379091
0.45,c1_l2,C1 · 2s,1,2,0.6629264893541823
0.45,c1_l3,C1 · 3s,1,3,0.6712293261927529
0.45,c1_l4,C1 · 4s,1,4,0.6872226880840585
0.45,c2_l1,C2 · 1s,2,1,0.6395092901246774
0.45,c2_l2,C2 · 2s,2,2,0.6628185203338715
0.45,c2_l3,C2 · 3s,2,3,0.6595940759840055
0.45,c2_l4,C2 · 4s,2,4,0.6877828472848407
0.45,c4_l1,C4 · 1s,4,1,0.6380056024363044
0.45,c4_l2,C4 · 2s,4,2,0.6483290036461792
0.45,c4_l3,C4 · 3s,4,3,0.6635712922244584
0.45,c4_l4,C4 · 4s,4,4,0.6841820052509578
0.45,c8_l1,C8 · 1s,8,1,0.6309695820334698
0.45,c8_l2,C8 · 2s,8,2,0.6405839946744201
0.45,c8_l3,C8 · 3s,8,3,0.6609842559205349
0.45,c8_l4,C8 · 4s,8,4,0.6873807276670637
0.42,c1_l1,C1 · 1s,1,1,0.6881141368662358
0.42,c1_l2,C1 · 2s,1,2,0.7108172436268478
0.42,c1_l3,C1 · 3s,1,3,0.7142512481083219
0.42,c1_l4,C1 · 4s,1,4,0.7365824331112997
0.42,c2_l1,C2 · 1s,2,1,0.6819613396420926
0.42,c2_l2,C2 · 2s,2,2,0.7099931449375808
0.42,c2_l3,C2 · 3s,2,3,0.7044827121781061
0.42,c2_l4,C2 · 4s,2,4,0.7237312005055324
0.42,c4_l1,C4 · 1s,4,1,0.6848576080298022
0.42,c4_l2,C4 · 2s,4,2,0.6979136074912099
0.42,c4_l3,C4 · 3s,4,3,0.7075714978122811
0.42,c4_l4,C4 · 4s,4,4,0.7157897079956447
0.42,c8_l1,C8 · 1s,8,1,0.6868845850873232
0.42,c8_l2,C8 · 2s,8,2,0.6958694411976016
0.42,c8_l3,C8 · 3s,8,3,0.7072685215371283
0.42,c8_l4,C8 · 4s,8,4,0.7299052626153739
0.4,c1_l1,C1 · 1s,1,1,0.7201478944485558
0.4,c1_l2,C1 · 2s,1,2,0.7452213087652872
0.4,c1_l3,C1 · 3s,1,3,0.7444155189587555
0.4,c1_l4,C1 · 4s,1,4,0.7590201551528365
0.4,c2_l1,C2 · 1s,2,1,0.7089597685678682
0.4,c2_l2,C2 · 2s,2,2,0.732772790180527
0.4,c2_l3,C2 · 3s,2,3,0.7374992528197614
0.4,c2_l4,C2 · 4s,2,4,0.7481337505264901
0.4,c4_l1,C4 · 1s,4,1,0.7117512481279346
0.4,c4_l2,C4 · 2s,4,2,0.7260525635124976
0.4,c4_l3,C4 · 3s,4,3,0.735244411173546
0.4,c4_l4,C4 · 4s,4,4,0.7374663430867188
0.4,c8_l1,C8 · 1s,8,1,0.7245839086530693
0.4,c8_l2,C8 · 2s,8,2,0.7261180947730711
0.4,c8_l3,C8 · 3s,8,3,0.7395779145364579
0.4,c8_l4,C8 · 4s,8,4,0.7551328284263416
0.35,c1_l1,C1 · 1s,1,1,0.7840108279629835
0.35,c1_l2,C1 · 2s,1,2,0.7977656920034255
0.35,c1_l3,C1 · 3s,1,3,0.8086206329940093
0.35,c1_l4,C1 · 4s,1,4,0.8022604728798356
0.35,c2_l1,C2 · 1s,2,1,0.7825537532461333
0.35,c2_l2,C2 · 2s,2,2,0.7949266293000681
0.35,c2_l3,C2 · 3s,2,3,0.7960100329785869
0.35,c2_l4,C2 · 4s,2,4,0.8113685437366835
0.35,c4_l1,C4 · 1s,4,1,0.7719580055921632
0.35,c4_l2,C4 · 2s,4,2,0.7842429008953269
0.35,c4_l3,C4 · 3s,4,3,0.8037592158759139
0.35,c4_l4,C4 · 4s,4,4,0.8064633661149939
