error_ceiling,method,method_label,cell_count,length_factor,interpolated_total_ms
0.35,c8_l1,C8 · 1s,8,1,0.7890029010408931
0.35,c8_l2,C8 · 2s,8,2,0.7903460034599481
0.35,c8_l3,C8 · 3s,8,3,0.8018942226663934
0.35,c8_l4,C8 · 4s,8,4,0.8129945133863734
0.3,c1_l1,C1 · 1s,1,1,0.8319846815917518
0.3,c1_l2,C1 · 2s,1,2,0.8442609819071165
0.3,c1_l3,C1 · 3s,1,3,0.851777386895291
0.3,c1_l4,C1 · 4s,1,4,0.8477696543715876
0.3,c2_l1,C2 · 1s,2,1,0.8218253044397343
0.3,c2_l2,C2 · 2s,2,2,0.8456195595817851
0.3,c2_l3,C2 · 3s,2,3,0.8322701108508056
0.3,c2_l4,C2 · 4s,2,4,0.841145496489839
0.3,c4_l1,C4 · 1s,4,1,0.8429662611834324
0.3,c4_l2,C4 · 2s,4,2,0.8407942544395762
0.3,c4_l3,C4 · 3s,4,3,0.8413158447601721
0.3,c4_l4,C4 · 4s,4,4,0.8488793192479122
0.3,c8_l1,C8 · 1s,8,1,0.8507155188783488
0.3,c8_l2,C8 · 2s,8,2,0.8408894980562406
0.3,c8_l3,C8 · 3s,8,3,0.8383176396437412
0.3,c8_l4,C8 · 4s,8,4,0.8558728258551437
0.25,c1_l1,C1 · 1s,1,1,0.8888897234261175
0.25,c1_l2,C1 · 2s,1,2,0.9042521701483063
0.25,c1_l3,C1 · 3s,1,3,0.9257935165268107
0.25,c1_l4,C1 · 4s,1,4,0.9214716518409615
0.25,c2_l1,C2 · 1s,2,1,0.8850818391190717
0.25,c2_l2,C2 · 2s,2,2,0.9046027054848824
0.25,c2_l3,C2 · 3s,2,3,0.9129944148997104
0.25,c2_l4,C2 · 4s,2,4,0.926211180073144
0.25,c4_l1,C4 · 1s,4,1,0.8940181225670056
0.25,c4_l2,C4 · 2s,4,2,0.8966640317501234
0.25,c4_l3,C4 · 3s,4,3,0.9062977141999354
0.25,c4_l4,C4 · 4s,4,4,0.9176655486166947
0.25,c8_l1,C8 · 1s,8,1,0.8986328974533717
0.25,c8_l2,C8 · 2s,8,2,0.9120375791325493
0.25,c8_l3,C8 · 3s,8,3,0.9168632223389518
0.25,c8_l4,C8 · 4s,8,4,0.9189395915577371
0.2,c1_l1,C1 · 1s,1,1,0.965294582912883
0.2,c1_l2,C1 · 2s,1,2,0.9735212132798508
0.2,c1_l3,C1 · 3s,1,3,0.9791135990541436
0.2,c1_l4,C1 · 4s,1,4,0.9894225967579718
0.2,c2_l1,C2 · 1s,2,1,0.973940166710005
0.2,c2_l2,C2 · 2s,2,2,0.987519628440202
0.2,c2_l3,C2 · 3s,2,3,0.9855720443456387
0.2,c2_l4,C2 · 4s,2,4,0.9923145131477424
0.2,c4_l1,C4 · 1s,4,1,0.9750717107110951
0.2,c4_l2,C4 · 2s,4,2,0.9841633860089114
0.2,c4_l3,C4 · 3s,4,3,0.9996374368287979
0.2,c4_l4,C4 · 4s,4,4,0.9994614149921667
0.2,c8_l1,C8 · 1s,8,1,0.9855476343678673
0.2,c8_l2,C8 · 2s,8,2,0.9860975623738494
0.2,c8_l3,C8 · 3s,8,3,0.9857907892942119
0.2,c8_l4,C8 · 4s,8,4,0.9921293165072712
0.15,c1_l1,C1 · 1s,1,1,1.0110775430624064
0.15,c1_l2,C1 · 2s,1,2,1.0110953666150226
0.15,c1_l3,C1 · 3s,1,3,1.0100441422844737
0.15,c1_l4,C1 · 4s,1,4,1.018736024286122
0.15,c2_l1,C2 · 1s,2,1,1.0158383454375137
0.15,c2_l2,C2 · 2s,2,2,1.0175921101683254
0.15,c2_l3,C2 · 3s,2,3,1.0148221412791874
0.15,c2_l4,C2 · 4s,2,4,1.0209059419084932
0.15,c4_l1,C4 · 1s,4,1,1.0304046602444878
0.15,c4_l2,C4 · 2s,4,2,1.0215500693114743
0.15,c4_l3,C4 · 3s,4,3,1.042320096758951
0.15,c4_l4,C4 · 4s,4,4,1.0306907504231633
0.15,c8_l1,C8 · 1s,8,1,1.0471386472339312
0.15,c8_l2,C8 · 2s,8,2,1.0329526390030326
0.15,c8_l3,C8 · 3s,8,3,1.0253765195221125
0.15,c8_l4,C8 · 4s,8,4,1.0238607399454904
