model,prompt,situation,policy,mode,budget_index,budget_fraction,target,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,search_attempts_mean,feasible_rate,fallback_calls
qwen05,test_medium_code,medium,paper_r30,paper,4,0.3,,2.20418381690979,0.6388721466064453,11.63318157196045,0.03846153989434242,4.315040588378906,15.393624305725098,11.078583717346191,168,0.29569179645542426,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r35,paper,5,0.35,,2.7034997940063477,0.6676856875419617,12.417623519897461,0.06410256773233414,4.315040588378906,16.265480041503906,11.950439453125,168,0.3413248523093448,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r40,paper,6,0.4,,1.8957570791244507,0.6511489748954773,12.398992538452148,0.05128205195069313,4.315040588378906,15.740638732910156,11.42559814453125,168,0.39701933404940926,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r45,paper,7,0.45,,1.562604308128357,0.6730101108551025,10.069581031799316,0.05128205195069313,4.315040588378906,13.414040565490723,9.098999977111816,168,0.4426523899033297,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r50,paper,8,0.5,,1.5973432064056396,0.687191903591156,12.16174030303955,0.05128205195069313,4.315040588378906,15.543710708618164,11.228670120239258,168,0.49994125939849626,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r55,paper,9,0.55,,1.8390883207321167,0.7042464017868042,8.69670581817627,0.07692307978868484,4.315040588378906,11.372175216674805,7.057134628295898,168,0.5455743152524167,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r60,paper,10,0.6,,1.4755542278289795,0.60231614112854,11.011560440063477,0.05128205195069313,4.315040588378906,14.605827331542969,10.290786743164062,168,0.5913835929108485,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r65,paper,11,0.65,,1.2677439451217651,0.6811526417732239,9.400729179382324,0.03846153989434242,4.315040588378906,12.646055221557617,8.331014633178711,168,0.6470780746509129,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r70,paper,12,0.7,,1.062571406364441,0.5989201068878174,7.2769856452941895,0.08974359184503555,4.315040588378906,10.164647102355957,5.849606513977051,168,0.6927111305048335,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r75,paper,13,0.75,,1.0697171688079834,0.5888025760650635,6.167201042175293,0.05128205195069313,4.315040588378906,9.386228561401367,5.071187973022461,168,0.75,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r80,paper,14,0.8,,1.0591909885406494,0.6213555335998535,6.352388858795166,0.07692307978868484,4.315040588378906,9.782947540283203,5.467906951904297,168,0.7956330558539206,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r85,paper,15,0.85,,0.9582904577255249,0.5033360123634338,3.293989896774292,0.28205129504203796,4.315040588378906,6.710931301116943,2.395890712738037,168,0.8414423335123524,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r90,paper,16,0.9,,1.10706627368927,0.6284506320953369,4.430685043334961,0.19230769574642181,4.315040588378906,7.891427040100098,3.5763864517211914,168,0.8969605934479055,1.0,1.0,0
qwen05,test_medium_code,medium,paper_r95,paper,17,0.95,,0.9102036356925964,0.4479294419288635,3.373204231262207,0.20512820780277252,4.315040588378906,6.978038311004639,2.6629977226257324,168,0.9427698711063374,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r10,cell8,0,0.1,,1.2985706329345703,0.7986882328987122,10.146391868591309,0.0,4.315040588378906,13.344856262207031,9.029815673828125,168,0.10037090494092374,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r15,cell8,1,0.15,,2.787259578704834,0.7158496379852295,14.910322189331055,0.025641025975346565,4.315040588378906,18.594646453857422,14.279605865478516,168,0.14962909505907623,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r20,cell8,2,0.2,,1.2949227094650269,0.7652762532234192,9.318292617797852,0.06410256773233414,4.315040588378906,12.186295509338379,7.871254920959473,168,0.19981454752953817,1.0,1.0,0
