target,adaptive_total_ms,adaptive_error,fixed_cell_total_ms,fixed_cell_error,adaptive_frontier_win,interpolated_cell_total_ms,adaptive_minus_interpolated_ms,adaptive_interpolated_win
0.5,0.8389966769662212,0.3803594071595442,0.8037754761271054,0.3770038552690672,False,0.7989574394044889,0.04003923756173222,False
0.55,0.9009951006009459,0.3355206084688977,0.9004602411572609,0.30523271522874,False,0.8637028754444687,0.03729222515647723,False
0.6,0.9569966060141687,0.29529670475385883,0.905376433600637,0.27386532862616514,False,0.9020175063586248,0.05497909965554393,False
0.65,1.0114145002216306,0.2565964676104683,0.9974322780450923,0.23536442754366407,False,0.9466663654904762,0.06474813473115437,False
0.7,1.048307608456458,0.2172162969887414,1.0596579414193077,0.20041715576579525,True,1.0297460869730062,0.018561521483451804,False
0.75,1.104810341023694,0.1867093831046962,1.1037966298526183,0.16084859397129286,False,1.0749489471865925,0.029861393837101513,False
0.8,1.1686101453752777,0.16012449883461666,1.1237936990299557,0.10842902977364478,False,1.1040728584088972,0.0645372869663805,False
0.85,1.1965709659946533,0.1412809484320441,1.1237936990299557,0.10842902977364478,False,1.1112613153660382,0.08530965062861506,False
0.9,1.2185897783990915,0.1109203628200308,1.1237936990299557,0.10842902977364478,False,1.1228433027411862,0.0957464756579054,False
0.925,1.2217604185886206,0.1091395316426223,1.1237936990299557,0.10842902977364478,False,1.1235226560473968,0.09823776254122385,False
0.95,1.2228129106830379,0.10844372347411178,1.1237936990299557,0.10842902977364478,False,1.1237880936620133,0.09902481702102461,False
