target,cases,actual_total_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,selector_total_ms,search_attempts,feasible_rate
0.5,189,0.8389966769662212,0.3803594071595442,0.08724882173790499,0.64954330271514,0.5804163535388571,0.2534114047619047,1.0,1.0
0.55,189,0.9009951006009459,0.3355206084688977,0.06838367603443282,0.708239857481901,0.6428201032913498,0.25725633068783066,1.0,1.0
0.6,189,0.9569966060141687,0.29529670475385883,0.054385904281858376,0.7583184046720071,0.6986609187759034,0.26055285185185184,1.0,1.0
0.65,189,1.0114145002216306,0.2565964676104683,0.04267777557726255,0.8052415185504489,0.7536755741180376,0.267374,1.0,1.0
0.7,189,1.048307608456458,0.2172162969887414,0.03166191067014417,0.8502350667166332,0.8042684858283425,0.2565793015873016,1.0,1.0
0.75,189,1.104810341023694,0.1867093831046962,0.023217225831652397,0.8834310303289423,0.8426380893640352,0.2662611481481481,1.0,1.0
0.8,189,1.1686101453752777,0.16012449883461666,0.017169101843758184,0.9121554758813646,0.8788875862969788,0.2722671825396825,1.0,1.0
0.85,189,1.1965709659946533,0.1412809484320441,0.013519519535952727,0.9338733588576947,0.9073194840427864,0.2745463888888889,1.0,1.0
0.9,189,1.2185897783990915,0.1109203628200308,0.008200111212553757,0.9597631866339023,0.9420365322040897,0.2764550476190476,1.0,1.0
0.925,189,1.2217604185886206,0.1091395316426223,0.008051442090796371,0.9623577377152821,0.9473406686613042,0.275665455026455,1.0,1.0
0.95,189,1.2228129106830379,0.10844372347411178,0.008027185523320714,0.9631737640925816,0.9491923029553727,0.27568988624338625,1.0,1.0
