error_ceiling,strategy,feasible,actual_total_ms,achieved_error,selected_fraction
0.5,Paper fixed-R envelope,True,0.8881135531073105,0.47238317254201445,0.3987857669233961
0.5,Cell-8 fixed-R envelope,True,0.6661073331583722,0.474022934597636,0.4499906040466426
0.5,Adaptive Cell-8 envelope,True,0.8389966769662212,0.3803594071595442,0.5804163535388571
0.45,Paper fixed-R envelope,True,0.9377147168329759,0.4451630905112892,0.44713818840933506
0.45,Cell-8 fixed-R envelope,True,0.6877701877188317,0.4409397885636993,0.5
0.45,Adaptive Cell-8 envelope,True,0.8389966769662212,0.3803594071595442,0.5804163535388571
0.42,Paper fixed-R envelope,True,0.963646322523722,0.4138078459947513,0.49998041979949875
0.42,Cell-8 fixed-R envelope,True,0.755609653426548,0.4105492445477654,0.5500093959533574
0.42,Adaptive Cell-8 envelope,True,0.8389966769662212,0.3803594071595442,0.5804163535388571
0.4,Paper fixed-R envelope,True,1.0187518864218974,0.3798140349191806,0.5481933323568662
0.4,Cell-8 fixed-R envelope,True,0.8037754761271054,0.3770038552690672,0.6001498457487062
0.4,Adaptive Cell-8 envelope,True,0.8389966769662212,0.3803594071595442,0.5804163535388571
0.35,Paper fixed-R envelope,True,1.1348815986667826,0.32310674008888696,0.6488053471238974
0.35,Cell-8 fixed-R envelope,True,0.8535437670979894,0.34389166507337776,0.6498501542512938
0.35,Adaptive Cell-8 envelope,True,0.9009951006009459,0.3355206084688977,0.6428201032913498
0.3,Paper fixed-R envelope,True,1.163443439511771,0.2939420915873987,0.6971577686098364
0.3,Cell-8 fixed-R envelope,True,0.905376433600637,0.27386532862616514,0.75
0.3,Adaptive Cell-8 envelope,True,0.9569966060141687,0.29529670475385883,0.6986609187759034
0.25,Paper fixed-R envelope,True,1.2986306115377155,0.2238820696473811,0.7982129125573674
0.25,Cell-8 fixed-R envelope,True,0.9974322780450923,0.23536442754366407,0.8000093959533574
0.25,Adaptive Cell-8 envelope,True,1.048307608456458,0.2172162969887414,0.8042684858283425
0.2,Paper fixed-R envelope,True,1.3802770928097459,0.1927976546754873,0.8465141585192689
0.2,Cell-8 fixed-R envelope,True,1.1037966298526183,0.16084859397129286,0.8998501542512938
0.2,Adaptive Cell-8 envelope,True,1.104810341023694,0.1867093831046962,0.8426380893640352
0.15,Paper fixed-R envelope,True,1.4619293465814405,0.10231865124645141,0.9471773488103374
0.15,Cell-8 fixed-R envelope,True,1.1237936990299557,0.10842902977364478,0.9499906040466426
0.15,Adaptive Cell-8 envelope,True,1.1965709659946533,0.1412809484320441,0.9073194840427864
