n,trial,spatial_mode,budget_index,row_budget_fraction,row_budget,method,method_label,two_line_efficiency,exact_efficiency,optimality_ratio,optimality_gap_pct,row_match,fallback_used,error
18,0,hot-cold,1,0.5,9,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,21.777994677923658,21.777994677923658,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,top_r,Top-R,10.07458061148915,14.652651969106639,0.687560220001826,31.243977999817396,True,False,
18,0,hot-cold,2,0.75,14,legacy_rho2_mu4,Exp24 rho2/mu4,14.652651969106639,14.652651969106639,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,frontier16_trim64,Frontier16 + adaptive trim64,14.652651969106639,14.652651969106639,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,frontier16_trim256,Frontier16 + adaptive trim256,14.652651969106639,14.652651969106639,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,14.652651969106639,14.652651969106639,1.0,0.0,True,False,
18,1,random,0,0.25,4,top_r,Top-R,15.384348419595238,30.133941945022436,0.5105322246808286,48.94677753191714,True,False,
18,1,random,0,0.25,4,legacy_rho2_mu4,Exp24 rho2/mu4,30.078564135375082,30.133941945022436,0.9981622779472932,0.1837722052706825,True,False,
18,1,random,0,0.25,4,frontier16_trim64,Frontier16 + adaptive trim64,30.078564135375082,30.133941945022436,0.9981622779472932,0.1837722052706825,True,False,
18,1,random,0,0.25,4,frontier16_trim256,Frontier16 + adaptive trim256,30.078564135375082,30.133941945022436,0.9981622779472932,0.1837722052706825,True,False,
18,1,random,0,0.25,4,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,30.078564135375082,30.133941945022436,0.9981622779472932,0.1837722052706825,True,False,
18,1,random,1,0.5,9,top_r,Top-R,10.57342946031754,22.51068785083588,0.4697070800493074,53.02929199506926,True,False,
18,1,random,1,0.5,9,legacy_rho2_mu4,Exp24 rho2/mu4,22.51068785083588,22.51068785083588,1.0,0.0,True,False,
18,1,random,1,0.5,9,frontier16_trim64,Frontier16 + adaptive trim64,22.51068785083588,22.51068785083588,1.0,0.0,True,False,
18,1,random,1,0.5,9,frontier16_trim256,Frontier16 + adaptive trim256,22.51068785083588,22.51068785083588,1.0,0.0,True,False,
18,1,random,1,0.5,9,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,22.51068785083588,22.51068785083588,1.0,0.0,True,False,
18,1,random,2,0.75,14,top_r,Top-R,10.140128544639435,14.650106061946458,0.6921539340236139,30.784606597638607,True,False,
18,1,random,2,0.75,14,legacy_rho2_mu4,Exp24 rho2/mu4,14.650106061946458,14.650106061946458,1.0,0.0,True,False,
18,1,random,2,0.75,14,frontier16_trim64,Frontier16 + adaptive trim64,14.650106061946458,14.650106061946458,1.0,0.0,True,False,
18,1,random,2,0.75,14,frontier16_trim256,Frontier16 + adaptive trim256,14.650106061946458,14.650106061946458,1.0,0.0,True,False,
18,1,random,2,0.75,14,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,14.650106061946458,14.650106061946458,1.0,0.0,True,False,
18,1,local,0,0.25,4,top_r,Top-R,37.86724590514475,37.86724590514475,1.0,0.0,True,False,
18,1,local,0,0.25,4,legacy_rho2_mu4,Exp24 rho2/mu4,37.86724590514475,37.86724590514475,1.0,0.0,True,False,
18,1,local,0,0.25,4,frontier16_trim64,Frontier16 + adaptive trim64,37.86724590514475,37.86724590514475,1.0,0.0,True,False,
18,1,local,0,0.25,4,frontier16_trim256,Frontier16 + adaptive trim256,37.86724590514475,37.86724590514475,1.0,0.0,True,False,
18,1,local,0,0.25,4,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,37.86724590514475,37.86724590514475,1.0,0.0,True,False,
18,1,local,1,0.5,9,top_r,Top-R,17.834044959017756,22.787400239785345,0.7826274507559073,21.737254924409267,True,False,
18,1,local,1,0.5,9,legacy_rho2_mu4,Exp24 rho2/mu4,22.787400239785345,22.787400239785345,1.0,0.0,True,False,
18,1,local,1,0.5,9,frontier16_trim64,Frontier16 + adaptive trim64,22.787400239785345,22.787400239785345,1.0,0.0,True,False,
18,1,local,1,0.5,9,frontier16_trim256,Frontier16 + adaptive trim256,22.787400239785345,22.787400239785345,1.0,0.0,True,False,
18,1,local,1,0.5,9,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,22.787400239785345,22.787400239785345,1.0,0.0,True,False,
18,1,local,2,0.75,14,top_r,Top-R,12.565543950507264,14.651649424178206,0.8576197523380239,14.23802476619761,True,False,
18,1,local,2,0.75,14,legacy_rho2_mu4,Exp24 rho2/mu4,14.651649424178206,14.651649424178206,1.0,0.0,True,False,
18,1,local,2,0.75,14,frontier16_trim64,Frontier16 + adaptive trim64,14.651649424178206,14.651649424178206,1.0,0.0,True,False,
18,1,local,2,0.75,14,frontier16_trim256,Frontier16 + adaptive trim256,14.651649424178206,14.651649424178206,1.0,0.0,True,False,
18,1,local,2,0.75,14,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,14.651649424178206,14.651649424178206,1.0,0.0,True,False,
18,1,hot-cold,0,0.25,4,top_r,Top-R,25.463170522706292,31.065410574114132,0.8196630931999973,18.03369068000027,True,False,
18,1,hot-cold,0,0.25,4,legacy_rho2_mu4,Exp24 rho2/mu4,31.065410574114132,31.065410574114132,1.0,0.0,True,False,
18,1,hot-cold,0,0.25,4,frontier16_trim64,Frontier16 + adaptive trim64,31.065410574114132,31.065410574114132,1.0,0.0,True,False,
18,1,hot-cold,0,0.25,4,frontier16_trim256,Frontier16 + adaptive trim256,31.065410574114132,31.065410574114132,1.0,0.0,True,False,
18,1,hot-cold,0,0.25,4,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,31.065410574114132,31.065410574114132,1.0,0.0,True,False,
18,1,hot-cold,1,0.5,9,top_r,Top-R,14.512260948217799,22.782825002366014,0.6369825053175228,36.30174946824772,True,False,
18,1,hot-cold,1,0.5,9,legacy_rho2_mu4,Exp24 rho2/mu4,22.782825002366014,22.782825002366014,1.0,0.0,True,False,
18,1,hot-cold,1,0.5,9,frontier16_trim64,Frontier16 + adaptive trim64,22.782825002366014,22.782825002366014,1.0,0.0,True,False,
18,1,hot-cold,1,0.5,9,frontier16_trim256,Frontier16 + adaptive trim256,22.782825002366014,22.782825002366014,1.0,0.0,True,False,
18,1,hot-cold,1,0.5,9,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,22.782825002366014,22.782825002366014,1.0,0.0,True,False,
18,1,hot-cold,2,0.75,14,top_r,Top-R,8.97255984060982,14.648704678675616,0.6125155798704399,38.748442012956005,True,False,
18,1,hot-cold,2,0.75,14,legacy_rho2_mu4,Exp24 rho2/mu4,14.648704678675616,14.648704678675616,1.0,0.0,True,False,
18,1,hot-cold,2,0.75,14,frontier16_trim64,Frontier16 + adaptive trim64,14.648704678675616,14.648704678675616,1.0,0.0,True,False,
18,1,hot-cold,2,0.75,14,frontier16_trim256,Frontier16 + adaptive trim256,14.648704678675616,14.648704678675616,1.0,0.0,True,False,
18,1,hot-cold,2,0.75,14,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,14.648704678675616,14.648704678675616,1.0,0.0,True,False,
18,2,random,0,0.25,4,top_r,Top-R,19.185913537783353,30.533654822386637,0.628352997680338,37.164700231966194,True,False,
