model,method,same_r_error_improvement_pct,actual_total_delta_ms,selector_delta_ms,read_wall_delta_ms,chunk_delta
qwen05,shifted8_x2,1.3293401178713582,0.04582524515046903,0.04606320811287477,-0.00014560317460317654,0.02204585537918871
qwen05,adaptive8_x2,2.464763629082467,0.05828762571022298,0.05640545855379189,0.001956212962962963,1.582010582010582
smol360,shifted8_x2,1.8457132728897596,0.03819826857810366,0.02683646296296296,0.011362285273368607,0.06525573192239859
smol360,adaptive8_x2,4.310078067123213,0.04690733644491624,0.035711639329806,0.011197785273368607,1.3139329805996474
tiny11,shifted8_x2,0.9968711600532143,0.10387513528527602,0.0986642151675485,0.004913438712522046,0.22839506172839505
tiny11,adaptive8_x2,3.1985330640837195,0.12170985131258677,0.1134904700176367,0.008264869929453265,2.8015873015873014
