method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,abs_importance_retention,selected_fraction,chunks,fallback_rate
adaptive8_x2,Adaptive-8 X²,x2,0,0.1,189,0.40862962170370476,0.034930285667537336,0.15194872486772487,0.17793956349206347,0.016241269876007634,0.027569777800371356,0.741148210263678,0.35053984860263804,0.3332240634336673,0.14591586187718403,0.10014984574870615,4.232804232804233,0.0
adaptive8_x2,Adaptive-8 X²,x2,1,0.15,189,0.45687680430433264,0.034930285667537336,0.15736316931216932,0.2149264603174603,0.01628546031911374,0.03337142868805179,0.6888222198578573,0.297178531765307,0.39082150161266327,0.20208438000981765,0.1498501542512938,5.64021164021164,0.0
adaptive8_x2,Adaptive-8 X²,x2,2,0.2,189,0.502408335864688,0.034930285667537336,0.16017424867724867,0.2526132619047619,0.016866708957841415,0.03782383065729856,0.6435356983057563,0.2551069871458427,0.45207170361564275,0.2595800397888062,0.19999060404664257,6.671957671957672,0.0
adaptive8_x2,Adaptive-8 X²,x2,3,0.25,189,0.5452173385538617,0.034930285667537336,0.1670751322751323,0.28916019576719576,0.016588529069272242,0.03746319577472389,0.6052464112915374,0.2228393822750717,0.5027330104636136,0.3131796938401681,0.25,7.608465608465608,0.0
adaptive8_x2,Adaptive-8 X²,x2,4,0.3,189,0.5929766003025111,0.034930285667537336,0.1685404126984127,0.3268289074074074,0.016450031660497137,0.04622696286865637,0.5621028386608318,0.19162050567606767,0.5523328122007783,0.36677510255859014,0.3000093959533574,8.142857142857142,0.0
adaptive8_x2,Adaptive-8 X²,x2,5,0.35,189,0.6459171031204967,0.034930285667537336,0.16998289417989418,0.3712200502645503,0.016788994735747364,0.05299487827276737,0.5265565307209732,0.16818673900826264,0.6000855822096426,0.42017917705591395,0.3501498457487061,8.544973544973544,0.0
adaptive8_x2,Adaptive-8 X²,x2,6,0.4,189,0.6826657990423087,0.034930285667537336,0.16884383597883598,0.40600194179894183,0.016635259189618272,0.056254476407375235,0.4949130836144957,0.14811923295732524,0.638444793602777,0.46901618661703887,0.3998501542512938,8.878306878306878,0.0
adaptive8_x2,Adaptive-8 X²,x2,7,0.45,189,0.7436278013135198,0.034930285667537336,0.17429450793650794,0.45904182275132277,0.016847745968748284,0.05851343898940334,0.46019242603390936,0.12937001797257272,0.6801775381678626,0.5184979635887045,0.4499906040466426,9.174603174603174,0.0
adaptive8_x2,Adaptive-8 X²,x2,8,0.5,189,0.7817373702635068,0.034930285667537336,0.17640491534391534,0.4983324126984127,0.017163851840431357,0.05490590471320993,0.432703745797789,0.11409875923994353,0.7095193793533972,0.56392784692623,0.5,9.216931216931217,0.0
adaptive8_x2,Adaptive-8 X²,x2,9,0.55,189,0.8379485586037153,0.034930285667537336,0.17821912169312168,0.5426473624338624,0.016856211661385744,0.06529557714780798,0.39913270461358247,0.09818608041793578,0.7478161905177687,0.6113048731965363,0.5500093959533574,8.952380952380953,0.0
