model,error_ceiling,method,method_label,actual_total_ms,gain_vs_cell1_pct
smol360,0.2,adaptive8_x2,Adaptive-8 X²,0.5962058426418687,-8.50371960606697
smol360,0.15,paper,Paper |x|,0.8999536025775395,-60.39453155014163
smol360,0.15,cell1_x2,Cell-1 X²,0.5610874597032014,0.0
smol360,0.15,shifted8_x2,Shifted-8 X²,0.6078290566686334,-8.33053673845374
smol360,0.15,adaptive8_x2,Adaptive-8 X²,0.6204569290890252,-10.581143520339673
tiny11,0.5,paper,Paper |x|,1.1773683513170752,-16.397417329624986
tiny11,0.5,cell1_x2,Cell-1 X²,1.0115072811133725,0.0
tiny11,0.5,shifted8_x2,Shifted-8 X²,1.10569215922772,-9.311339609011773
tiny11,0.5,adaptive8_x2,Adaptive-8 X²,1.082219501725583,-6.990777222520533
tiny11,0.45,paper,Paper |x|,1.303875093125384,-16.972850863375125
tiny11,0.45,cell1_x2,Cell-1 X²,1.1146818116353483,0.0
tiny11,0.45,shifted8_x2,Shifted-8 X²,1.2379633007981314,-11.059791940259348
tiny11,0.45,adaptive8_x2,Adaptive-8 X²,1.2225738774327641,-9.679180612010484
tiny11,0.42,paper,Paper |x|,1.3872128596492774,-16.51173920128679
tiny11,0.42,cell1_x2,Cell-1 X²,1.1906206783616158,0.0
tiny11,0.42,shifted8_x2,Shifted-8 X²,1.3157984279535104,-10.513654925273826
tiny11,0.42,adaptive8_x2,Adaptive-8 X²,1.3015557693240922,-9.317416787614635
tiny11,0.4,paper,Paper |x|,1.4403307555246787,-14.495732178832464
tiny11,0.4,cell1_x2,Cell-1 X²,1.2579776801418294,0.0
tiny11,0.4,shifted8_x2,Shifted-8 X²,1.3582128184506328,-7.967958405867937
tiny11,0.4,adaptive8_x2,Adaptive-8 X²,1.3440449120206515,-6.841713747188143
tiny11,0.35,paper,Paper |x|,1.614139785914239,-13.379373280597685
tiny11,0.35,cell1_x2,Cell-1 X²,1.4236626462200268,0.0
tiny11,0.35,shifted8_x2,Shifted-8 X²,1.5409633357979056,-8.239359927671373
tiny11,0.35,adaptive8_x2,Adaptive-8 X²,1.535146188926358,-7.830755621939767
tiny11,0.3,paper,Paper |x|,1.809822910676607,-18.136930500452053
tiny11,0.3,cell1_x2,Cell-1 X²,1.5319704879835876,0.0
tiny11,0.3,shifted8_x2,Shifted-8 X²,1.631747001577735,-6.512952721790044
tiny11,0.3,adaptive8_x2,Adaptive-8 X²,1.6520519305775738,-7.838365264597232
tiny11,0.25,paper,Paper |x|,1.9360636966275,-18.102454277797133
tiny11,0.25,cell1_x2,Cell-1 X²,1.639308605792008,0.0
tiny11,0.25,shifted8_x2,Shifted-8 X²,1.7543783195067184,-7.019405211937874
tiny11,0.25,adaptive8_x2,Adaptive-8 X²,1.7567894681194027,-7.16648847644129
tiny11,0.2,paper,Paper |x|,2.122731732531058,-16.525073156393855
tiny11,0.2,cell1_x2,Cell-1 X²,1.821695258394765,0.0
tiny11,0.2,shifted8_x2,Shifted-8 X²,1.9169854037497425,-5.230849941331291
tiny11,0.2,adaptive8_x2,Adaptive-8 X²,1.9371781043563936,-6.339306501977141
tiny11,0.15,paper,Paper |x|,2.321870437670635,-18.53411282621285
tiny11,0.15,cell1_x2,Cell-1 X²,1.9588204461232297,0.0
tiny11,0.15,shifted8_x2,Shifted-8 X²,2.0539064686883033,-4.854249033047499
tiny11,0.15,adaptive8_x2,Adaptive-8 X²,2.084724450860245,-6.427541890641201
