model,prompt,paper_budget_index,paper_budget_fraction,method,method_label,objective,feasible,target_mean_importance_loss,target_mean_error,cases,total_time_ms,mean_time_ms,total_decision_time_ms,mean_decision_time_ms,total_loss,mean_loss,mean_error,mean_selected_fraction
qwen05,test_long_structured,0,0.1,paper,Paper |x|,importance_bound,True,0.8621618385825839,0.6898322002518744,21.0,10.473924503195345,0.4987583096759688,9.942249999458252,0.47344047616467866,16.948493361473083,0.8070711124510992,0.6564826638925643,0.14203757160759034
qwen05,test_long_structured,0,0.1,paper,Paper |x|,error_oracle,True,0.8621618385825839,0.6898322002518744,21.0,10.473924503195345,0.4987583096759688,9.942249999458252,0.47344047616467866,13.78613594174385,0.6564826638925643,0.6564826638925643,0.14203757160759034
qwen05,test_long_structured,0,0.1,cell1_x2,Cell-1 X²,importance_bound,True,0.8621618385825839,0.6898322002518744,21.0,7.148504487706543,0.34040497560507343,6.422606000063775,0.3058383809554178,16.60378871113062,0.7906566052919343,0.682515969588643,0.18822167024704609
qwen05,test_long_structured,0,0.1,cell1_x2,Cell-1 X²,error_oracle,True,0.8621618385825839,0.6898322002518744,21.0,7.148504487706543,0.34040497560507343,6.422606000063775,0.3058383809554178,14.332835361361504,0.682515969588643,0.682515969588643,0.18822167024704609
qwen05,test_long_structured,0,0.1,shifted8_x2,Shifted-8 X²,importance_bound,True,0.8621618385825839,0.6898322002518744,21.0,7.525508985632657,0.3583575707444122,7.110131509308219,0.338577690919439,17.37474050372839,0.8273685954156376,0.6763993577942962,0.13810474847833867
qwen05,test_long_structured,0,0.1,shifted8_x2,Shifted-8 X²,error_oracle,True,0.8621618385825839,0.6898322002518744,21.0,7.525508985632657,0.3583575707444122,7.110131509308219,0.338577690919439,14.20438651368022,0.6763993577942962,0.6763993577942962,0.13810474847833867
qwen05,test_long_structured,0,0.1,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.8621618385825839,0.6898322002518744,21.0,7.623917984694361,0.36304371355687437,7.2414200020574935,0.3448295239074997,17.469445757567883,0.8318783694079944,0.6715509683958122,0.1310362960973863
qwen05,test_long_structured,0,0.1,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.8621618385825839,0.6898322002518744,21.0,7.623917984694361,0.36304371355687437,7.2414200020574935,0.3448295239074997,14.102570336312056,0.6715509683958122,0.6715509683958122,0.1310362960973863
qwen05,test_long_structured,1,0.15,paper,Paper |x|,importance_bound,True,0.8020259652818952,0.6488304290743101,21.0,10.555123503889321,0.5026249287566343,9.945519001337885,0.47359614292085167,16.4361385256052,0.7826732631240573,0.6358270460651034,0.16457158521303253
qwen05,test_long_structured,1,0.15,paper,Paper |x|,error_oracle,True,0.8020259652818952,0.6488304290743101,21.0,10.480803504483998,0.49908588116590463,9.944418999831914,0.4735437618967578,13.450634986162186,0.640506427912485,0.640506427912485,0.15734369405656995
qwen05,test_long_structured,1,0.15,cell1_x2,Cell-1 X²,importance_bound,True,0.8020259652818952,0.6488304290743101,21.0,7.148504487706543,0.34040497560507343,6.422606000063775,0.3058383809554178,16.60378871113062,0.7906566052919343,0.682515969588643,0.18822167024704609
qwen05,test_long_structured,1,0.15,cell1_x2,Cell-1 X²,error_oracle,True,0.8020259652818952,0.6488304290743101,21.0,7.055360488453866,0.3359695470692317,6.439995999462126,0.30666647616486314,13.603012278676033,0.6477624894607634,0.6477624894607634,0.231110700859291
