error_ceiling,method,method_label,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,selected_fraction,chunks
0.5,paper,Paper |x|,0.8129275692313708,0.0318804657845585,0.32367538311926264,0.3891924595050086,0.017057334223924137,0.05112192659861686,0.3611491956970311,11.743365838112462
0.5,cell1_x2,Cell-1 X²,0.6379747763668115,0.034930285667537336,0.10348144975144243,0.4256029699804933,0.01665752537330262,0.05730254559403562,0.4237825552137945,6.659694718049439
0.5,shifted8_x2,Shifted-8 X²,0.6839110139049536,0.034930285667537336,0.15915941407944428,0.41634798841360016,0.016699990128023513,0.056773335616348224,0.4105752714852258,6.798092427659016
0.5,adaptive8_x2,Adaptive-8 X²,0.676758176437175,0.034930285667537336,0.16902694794535178,0.4004104974354448,0.01665997330707858,0.05573047208176238,0.3918604648588673,8.824721098304389
0.45,paper,Paper |x|,0.8786746773121887,0.0318804657845585,0.32130789005231225,0.4524261454220217,0.017191899805425837,0.05586827624787034,0.438470126416776,13.678719694285164
0.45,cell1_x2,Cell-1 X²,0.6916165822551145,0.034930285667537336,0.10376835831572846,0.4809517561040758,0.016634844901147493,0.05533133726662537,0.49012060232127735,6.7748364288882446
0.45,shifted8_x2,Shifted-8 X²,0.758896359893759,0.034930285667537336,0.16506347771340973,0.48565908746444186,0.0171248242694103,0.056118684778959746,0.4847397878742707,7.022506232294472
0.45,adaptive8_x2,Adaptive-8 X²,0.7577583073753027,0.034930285667537336,0.17507701809038392,0.4736102352187267,0.01696495369528659,0.05717581470336801,0.4685334029324657,9.190297832800036
0.42,paper,Paper |x|,0.926548672366535,0.0318804657845585,0.3271595893853377,0.4942503444236523,0.01738672832298008,0.05587154445000635,0.48950465794213377,14.931392772549938
0.42,cell1_x2,Cell-1 X²,0.7427873745269663,0.034930285667537336,0.10536244966462374,0.5226122311744856,0.0171093413855695,0.06277306663474994,0.5370685501111039,6.762275906427494
0.42,shifted8_x2,Shifted-8 X²,0.8072512960352445,0.034930285667537336,0.16684175288779887,0.5266525350512858,0.017194609709563928,0.0616321127190585,0.5311604248388501,6.957914318812119
0.42,adaptive8_x2,Adaptive-8 X²,0.803008460538824,0.034930285667537336,0.17709143609132352,0.5151018019286102,0.017047436546358787,0.05883750030499404,0.5189242463528748,9.116821741829042
0.4,paper,Paper |x|,0.958168974757037,0.0318804657845585,0.3302686041953946,0.5199312379863562,0.017338551501575372,0.058750115289152145,0.5195308408001482,15.731145206683191
0.4,cell1_x2,Cell-1 X²,0.7772858068932279,0.034930285667537336,0.10569478130072417,0.5506212818368909,0.017220490899614155,0.06881896718846121,0.5670328786596627,6.692042187716821
0.4,shifted8_x2,Shifted-8 X²,0.8407872536888187,0.034930285667537336,0.16754557737989073,0.5531829494704934,0.01722447209560181,0.0679039690752955,0.5618106332228918,6.8689576765654525
0.4,adaptive8_x2,Adaptive-8 X²,0.8364963634202235,0.034930285667537336,0.17817225234557768,0.5415025021584843,0.016864159431206133,0.06502716381741787,0.5487174217738887,8.959215510256623
0.35,paper,Paper |x|,1.0601336595551856,0.0318804657845585,0.3399091601113428,0.601236979231046,0.017507454974910824,0.06959959945332726,0.6033525034948052,17.455851038752698
0.35,cell1_x2,Cell-1 X²,0.8525141732513766,0.034930285667537336,0.10644108597383002,0.6144056544445116,0.017640196368846228,0.07909695079665119,0.6419445983833784,6.2519138104942025
0.35,shifted8_x2,Shifted-8 X²,0.920028327818904,0.034930285667537336,0.16826459721862377,0.6207731015160322,0.01729787020092731,0.0787624732157833,0.6383046015860637,6.512045974784789
