method,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,order
paper,0.0318804657845585,0.3475217268828215,0.6137826186912148,0.01768844689950216,0.06983005459691695,0
cell1_x2,0.034930285667537336,0.10539197309625677,0.6262812601282259,0.017545027738648224,0.07669278838095984,1
shifted8_x2,0.034930285667537336,0.1659644619359765,0.6306139461497697,0.017617612452709056,0.07630883284489884,2
adaptive8_x2,0.034930285667537336,0.1766934435553317,0.625061680801699,0.01754261888100076,0.07550677067597895,3
