objective,paper_budget_index,paper_budget_fraction,method,method_label,workloads,mean_time_ms,mean_decision_time_ms,mean_error,mean_loss,mean_selected_fraction,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,target_mean_error,target_mean_importance_loss,total_workloads,coverage_rate,fixed_same_error_ms,gain_vs_fixed_same_error_pct
error_oracle,0,0.1,adaptive8_x2,Adaptive-8 X²,9,0.41352653968163205,0.3988895768113502,0.7052491174902392,0.7052491174902392,0.14078510592916726,0.03493028566753734,0.15286124338624338,0.18074250264550262,0.016388402147977394,0.028604105834371143,0.718307105400575,0.8386763166340571,9,1.0,0.44173038235446377,6.38485460803095
error_oracle,0,0.1,cell1_x2,Cell-1 X²,9,0.36649123281281426,0.3458753014926837,0.7076925291487622,0.7076925291487622,0.17227765954783691,0.03493028566753734,0.09902863492063492,0.18700596296296293,0.01636131213751257,0.029165037124166363,0.718307105400575,0.8386763166340571,9,1.0,0.39953068132473435,8.26956478095007
error_oracle,0,0.1,paper,Paper |x|,9,0.5937965293061532,0.5720086825859689,0.6867455977296072,0.6867455977296072,0.1373138969752574,0.0318804657845585,0.3148836296296296,0.2023501058201058,0.016500825372834947,0.0281815026990241,0.718307105400575,0.8386763166340571,9,1.0,0.6133668715318754,3.190642197033811
error_oracle,0,0.1,shifted8_x2,Shifted-8 X²,9,0.40266719845858545,0.3867072304244281,0.7069403888391598,0.7069403888391598,0.15478095166329423,0.03493028566753734,0.14010278306878304,0.18255070105820104,0.016163724868819465,0.028919703795244403,0.718307105400575,0.8386763166340571,9,1.0,0.4377078904503592,8.00549698926383
error_oracle,1,0.15,adaptive8_x2,Adaptive-8 X²,9,0.4246348121634529,0.4075153016847343,0.6359716667325566,0.6359716667325566,0.21672572089042952,0.03493028566753734,0.15600765608465605,0.18818406613756614,0.016430899495919186,0.029081904777774052,0.6665883669876075,0.7793591171503067,9,1.0,0.5108652352537483,16.879289710810813
error_oracle,1,0.15,cell1_x2,Cell-1 X²,9,0.36953050001172794,0.350511036946233,0.6597891007525423,0.6597891007525423,0.22466503376835847,0.03493028566753734,0.09871175132275133,0.19040376455026453,0.016215365044969687,0.02926933342620489,0.6665883669876075,0.7793591171503067,9,1.0,0.45189791598438883,18.22699619962539
error_oracle,1,0.15,paper,Paper |x|,9,0.5951138123802925,0.5732862593836343,0.6597433985856475,0.6597433985856475,0.161617533360367,0.0318804657845585,0.3147264444444444,0.20383422486772484,0.01636893118401521,0.028303746099549262,0.6665883669876075,0.7793591171503067,9,1.0,0.6308820407209073,5.66955881320421
error_oracle,1,0.15,shifted8_x2,Shifted-8 X²,9,0.41513719314541486,0.39561825416032437,0.6506146711036168,0.6506146711036168,0.2161625181787893,0.03493028566753734,0.14303262962962962,0.1912938968253968,0.01623280420800834,0.02964757681484255,0.6665883669876075,0.7793591171503067,9,1.0,0.493252608696561,15.836797246256667
error_oracle,2,0.2,adaptive8_x2,Adaptive-8 X²,9,0.4284899126732393,0.4108219445766737,0.6139510281127755,0.6139510281127755,0.2421263108138989,0.03493028566753734,0.1562972962962963,0.19154821428571425,0.01642531219613611,0.02928880422755519,0.628096510119066,0.7251915302541521,9,1.0,0.5354852177972066,19.981000701402635
error_oracle,2,0.2,cell1_x2,Cell-1 X²,9,0.37314020371752976,0.35509305809174985,0.6205153471479813,0.6205153471479813,0.2603753335132564,0.03493028566753734,0.09877351851851852,0.1936543888888889,0.01620673012264344,0.029575280519941446,0.628096510119066,0.7251915302541521,9,1.0,0.4880579904501433,23.545928758716382
error_oracle,2,0.2,paper,Paper |x|,9,0.5986089155376922,0.5760439894929075,0.6224493648876588,0.6224493648876588,0.20781418042196942,0.0318804657845585,0.3147615925925926,0.2069301587301587,0.01635470894712299,0.0286819894832593,0.628096510119066,0.7251915302541521,9,1.0,0.6727072621181099,11.014946731377481
error_oracle,2,0.2,shifted8_x2,Shifted-8 X²,9,0.42254880159522334,0.40284219066408233,0.6093118242111313,0.6093118242111313,0.2600819218777689,0.03493028566753734,0.14527895767195767,0.19585811904761904,0.01626006347772774,0.030221375730381386,0.628096510119066,0.7251915302541521,9,1.0,0.5451888801805881,22.494970650307742
