method,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,order,component_total_ms
paper,0.03059606357581081,0.3220370562808418,1.1068664715643999,0.016502466831696722,0.04046471360261895,0,1.5164667718553682
cell1_fixed,0.028636444448715128,0.09414594778213756,0.9089421086357395,0.01628022506529088,0.04198524535979369,1,1.089989971291677
cell1_tau,0.028636444448715128,0.08658845626211387,0.924380529881787,0.01580625068221074,0.04904349012682149,2,1.1044551714016482
