n,target_cv,observed_cv,trial,spatial_mode,target_fraction,method,method_label,importance_fraction,importance_overshoot,rows,chunks,two_line_ms,lookup_ms,coverage_met,fallback_used,error
4864,1.25,1.25,0,random,0.05,paper,Paper,0.05545335063212977,0.005453350632129768,186,2,0.06738786513973387,0.06536679730610384,True,False,
4864,1.25,1.25,0,random,0.05,supported_full,Full supported,0.07738761991255963,0.027387619912559627,264,2,0.08817325279413865,0.08854019704239045,True,False,
4864,1.25,1.25,0,random,0.05,td_2l_c4,TD-2L (4),0.3175459672297754,0.2675459672297754,1220,9,0.4017728022675058,0.4097658635355718,True,False,
4864,1.25,1.25,0,random,0.05,td_2l_c8,TD-2L (8),0.07738761991255963,0.027387619912559627,264,2,0.08817325279413865,0.08854019704239045,True,False,
4864,1.25,1.25,0,random,0.05,td_2l_c16,TD-2L (16),0.07738761991255963,0.027387619912559627,264,2,0.08817325279413865,0.08854019704239045,True,False,
4864,1.25,1.25,0,random,0.05,td_2l_c32,TD-2L (32),0.07738761991255963,0.027387619912559627,264,2,0.08817325279413865,0.08854019704239045,True,False,
4864,1.25,1.25,0,random,0.05,td_2l_c8_trim64,TD-2L (8) + trim 64,0.05673994977331562,0.006739949773315615,200,2,0.07079202018919606,0.07057269048881559,True,False,
4864,1.25,1.25,0,random,0.05,td_2l_c16_trim256,TD-2L (16) + trim 256,0.05119858760622034,0.0011985876062203388,174,2,0.06447001795448057,0.0633555283321454,True,False,
4864,1.25,1.25,0,random,0.05,tiles_half_s,Tiles (s/2),0.05676033595281177,0.006760335952811766,204,3,0.08284525280176766,0.079340022172949,True,False,
4864,1.25,1.25,0,random,0.05,tiles_s,Tiles (s),0.07165900091962221,0.02165900091962221,270,2,0.08783627131973613,0.08916125378486058,True,False,
4864,1.25,1.25,0,random,0.05,tiles_2s,Tiles (2s),0.06526065474933321,0.015260654749333205,270,1,0.08783627131973613,0.08972590497737556,True,False,
4864,1.25,1.25,0,random,0.05,paper_bucket64,Paper bucket 64,0.0554132250870905,0.005413225087090495,186,2,0.06738786513973387,0.06536679730610384,True,False,
4864,1.25,1.25,0,random,0.05,paper_bucket256,Paper bucket 256,0.0554132250870905,0.005413225087090495,186,2,0.06738786513973387,0.06536679730610384,True,False,
4864,1.25,1.25,0,random,0.05,paper_bucket1024,Paper bucket 1024,0.05545335063212977,0.005453350632129768,186,2,0.06738786513973387,0.06536679730610384,True,False,
4864,1.25,1.25,0,random,0.1,paper,Paper,0.1152798436551393,0.015279843655139291,408,4,0.14352927183522765,0.14121239020431242,True,False,
4864,1.25,1.25,0,random,0.1,supported_full,Full supported,0.11173601905849541,0.011736019058495403,390,3,0.13013776189735815,0.1315249577326877,True,False,
4864,1.25,1.25,0,random,0.1,td_2l_c4,TD-2L (4),0.3175459672297754,0.2175459672297754,1220,9,0.4017728022675058,0.4097658635355718,True,False,
4864,1.25,1.25,0,random,0.1,td_2l_c8,TD-2L (8),0.11173601905849541,0.011736019058495403,390,3,0.13013776189735815,0.1315249577326877,True,False,
4864,1.25,1.25,0,random,0.1,td_2l_c16,TD-2L (16),0.11173601905849541,0.011736019058495403,390,3,0.13013776189735815,0.1315249577326877,True,False,
4864,1.25,1.25,0,random,0.1,td_2l_c32,TD-2L (32),0.11173601905849541,0.011736019058495403,390,3,0.13013776189735815,0.1315249577326877,True,False,
4864,1.25,1.25,0,random,0.1,td_2l_c8_trim64,TD-2L (8) + trim 64,0.10043358586840118,0.00043358586840117064,358,3,0.12137084897439215,0.1217879664291957,True,False,
4864,1.25,1.25,0,random,0.1,td_2l_c16_trim256,TD-2L (16) + trim 256,0.10043358586840118,0.00043358586840117064,358,3,0.12137084897439215,0.1217879664291957,True,False,
4864,1.25,1.25,0,random,0.1,tiles_half_s,Tiles (s/2),0.10870142789771434,0.008701427897714331,408,3,0.14371707890106078,0.14328388942584064,True,False,
4864,1.25,1.25,0,random,0.1,tiles_s,Tiles (s),0.10483226061824635,0.004832260618246348,405,3,0.1317544069796042,0.13374188067729087,True,False,
4864,1.25,1.25,0,random,0.1,tiles_2s,Tiles (2s),0.13008327736299902,0.03008327736299901,540,2,0.17567254263947227,0.17945180995475113,True,False,
4864,1.25,1.25,0,random,0.1,paper_bucket64,Paper bucket 64,0.11510247623209813,0.015102476232098122,408,4,0.14352927183522765,0.14121239020431242,True,False,
4864,1.25,1.25,0,random,0.1,paper_bucket256,Paper bucket 256,0.11510247623209813,0.015102476232098122,408,4,0.14352927183522765,0.14121239020431242,True,False,
