latency_model,target_cv,spatial_mode,method,method_label,points,coverage_success_rate,fallback_rate,mean_saving_vs_paper_pct,mean_saving_vs_supported_pct,strict_win_rate_vs_paper,strict_win_rate_vs_supported
lookup,1.25,random,tiles_2s,Tiles (2s),60,1.0,0.0,-9.938593032943722,-11.77779027043113,0.18333333333333332,0.03333333333333333
lookup,1.25,random,tiles_half_s,Tiles (s/2),60,1.0,0.0,-3.195729306034436,-5.084951038818815,0.3333333333333333,0.06666666666666667
lookup,1.25,random,tiles_s,Tiles (s),60,1.0,0.0,-3.576334757930449,-5.2702557380407065,0.36666666666666664,0.11666666666666667
lookup,3.3,hot-cold,paper,Paper,60,1.0,0.05,0.0,-9.491657428072545,0.0,0.23333333333333334
lookup,3.3,hot-cold,paper_bucket1024,Paper bucket 1024,60,1.0,0.05,0.156904811832954,-9.283760589283903,0.31666666666666665,0.21666666666666667
lookup,3.3,hot-cold,paper_bucket256,Paper bucket 256,60,1.0,0.05,-1.27337699328696,-10.619614288214722,0.3333333333333333,0.2
lookup,3.3,hot-cold,paper_bucket64,Paper bucket 64,60,1.0,0.05,-3.2347044762679062,-13.128199204229523,0.3333333333333333,0.21666666666666667
lookup,3.3,hot-cold,supported_full,Full supported,60,1.0,0.0,5.965342441961808,0.0,0.7666666666666667,0.0
lookup,3.3,hot-cold,td_2l_c16,TD-2L (16),60,1.0,0.0,5.965342441961808,0.0,0.7666666666666667,0.0
lookup,3.3,hot-cold,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,14.651698355645795,7.332957150226362,0.95,0.95
lookup,3.3,hot-cold,td_2l_c32,TD-2L (32),60,1.0,0.0,5.965342441961808,0.0,0.7666666666666667,0.0
lookup,3.3,hot-cold,td_2l_c4,TD-2L (4),60,1.0,0.0,-103.19871704565914,-112.68766441011243,0.15,0.0
lookup,3.3,hot-cold,td_2l_c8,TD-2L (8),60,1.0,0.0,4.960906580074917,-1.1062780465496573,0.75,0.016666666666666666
lookup,3.3,hot-cold,td_2l_c8_trim64,TD-2L (8) + trim 64,60,1.0,0.0,12.905145819697927,6.036741403608387,0.9333333333333333,0.9
lookup,3.3,hot-cold,tiles_2s,Tiles (2s),60,1.0,0.0,-6.55794649567511,-15.177399080756054,0.5,0.15
lookup,3.3,hot-cold,tiles_half_s,Tiles (s/2),60,1.0,0.0,6.548853680611265,-1.1832407146498545,0.8,0.35
lookup,3.3,hot-cold,tiles_s,Tiles (s),60,1.0,0.0,-0.5134301001147045,-8.359502114555047,0.7,0.2
lookup,3.3,local,paper,Paper,60,1.0,0.016666666666666666,0.0,-12.102188839665562,0.0,0.05
lookup,3.3,local,paper_bucket1024,Paper bucket 1024,60,1.0,0.03333333333333333,-0.3834482353263359,-12.544882724819777,0.2,0.03333333333333333
lookup,3.3,local,paper_bucket256,Paper bucket 256,60,1.0,0.016666666666666666,-1.4665412909983238,-13.823937919954464,0.2,0.03333333333333333
lookup,3.3,local,paper_bucket64,Paper bucket 64,60,1.0,0.05,-6.226290074224251,-19.461935048927046,0.16666666666666666,0.08333333333333333
lookup,3.3,local,supported_full,Full supported,60,1.0,0.0,10.182812811066322,0.0,0.95,0.0
lookup,3.3,local,td_2l_c16,TD-2L (16),60,1.0,0.0,10.182812811066322,0.0,0.95,0.0
lookup,3.3,local,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,13.411729686729016,3.353087588003531,0.9666666666666667,0.9166666666666666
lookup,3.3,local,td_2l_c32,TD-2L (32),60,1.0,0.0,10.182812811066322,0.0,0.95,0.0
lookup,3.3,local,td_2l_c4,TD-2L (4),60,1.0,0.0,-109.20779091417901,-128.78551643086882,0.16666666666666666,0.0
lookup,3.3,local,td_2l_c8,TD-2L (8),60,1.0,0.0,9.002624652316864,-1.3561690921834688,0.9333333333333333,0.06666666666666667
lookup,3.3,local,td_2l_c8_trim64,TD-2L (8) + trim 64,60,1.0,0.0,12.827186350724892,2.682294224888144,0.9666666666666667,0.7666666666666667
lookup,3.3,local,tiles_2s,Tiles (2s),60,1.0,0.0,-105.84708105251744,-126.78960176453555,0.03333333333333333,0.0
lookup,3.3,local,tiles_half_s,Tiles (s/2),60,1.0,0.0,-14.485507229299362,-27.03768712163321,0.25,0.016666666666666666
lookup,3.3,local,tiles_s,Tiles (s),60,1.0,0.0,-49.01555407434403,-65.09409865614633,0.06666666666666667,0.0
lookup,3.3,random,paper,Paper,60,1.0,0.03333333333333333,0.0,-9.109422214718974,0.0,0.11666666666666667
lookup,3.3,random,paper_bucket1024,Paper bucket 1024,60,1.0,0.03333333333333333,-0.037984051797589714,-9.150940071619273,0.16666666666666666,0.11666666666666667
lookup,3.3,random,paper_bucket256,Paper bucket 256,60,1.0,0.03333333333333333,-0.6884870315772318,-9.738236974363746,0.3333333333333333,0.11666666666666667
lookup,3.3,random,paper_bucket64,Paper bucket 64,60,1.0,0.05,-1.6627536482153489,-10.8528652930567,0.2833333333333333,0.11666666666666667
lookup,3.3,random,supported_full,Full supported,60,1.0,0.0,7.199564600807722,0.0,0.8833333333333333,0.0
lookup,3.3,random,td_2l_c16,TD-2L (16),60,1.0,0.0,7.199564600807722,0.0,0.8833333333333333,0.0
lookup,3.3,random,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,9.908666707701457,2.638346761461465,0.9666666666666667,0.95
lookup,3.3,random,td_2l_c32,TD-2L (32),60,1.0,0.0,7.199564600807722,0.0,0.8833333333333333,0.0
lookup,3.3,random,td_2l_c4,TD-2L (4),60,1.0,0.0,-69.47466079020388,-90.95442170050877,0.15,0.0
lookup,3.3,random,td_2l_c8,TD-2L (8),60,1.0,0.0,6.730670877140066,-0.5157989821490044,0.8666666666666667,0.016666666666666666
lookup,3.3,random,td_2l_c8_trim64,TD-2L (8) + trim 64,60,1.0,0.0,9.377503480325078,2.122404606202358,0.95,0.7833333333333333
lookup,3.3,random,tiles_2s,Tiles (2s),60,1.0,0.0,-25.994268813977726,-38.54309356614943,0.11666666666666667,0.016666666666666666
lookup,3.3,random,tiles_half_s,Tiles (s/2),60,1.0,0.0,-5.957976076783344,-14.524724797888721,0.2833333333333333,0.016666666666666666
lookup,3.3,random,tiles_s,Tiles (s),60,1.0,0.0,-12.645765872303901,-22.616320735773833,0.15,0.016666666666666666
lookup,4.55,hot-cold,paper,Paper,60,1.0,0.05,0.0,-12.926316852288235,0.0,0.1
lookup,4.55,hot-cold,paper_bucket1024,Paper bucket 1024,60,1.0,0.05,0.05890256402611092,-12.875068268923142,0.25,0.1
lookup,4.55,hot-cold,paper_bucket256,Paper bucket 256,60,1.0,0.05,-1.2592797867232512,-14.34230857662004,0.35,0.1
