objective,paper_budget_index,paper_budget_fraction,method,method_label,workloads,mean_time_ms,mean_error,mean_loss,mean_selected_fraction,target_mean_error,target_mean_importance_loss
error_oracle,0,0.1,adaptive8_x2,Adaptive-8 X²,3,0.5540997223116396,0.720553723001291,0.720553723001291,0.14608628134018758,0.7381280360240785,0.8226387789325109
error_oracle,0,0.1,cell1_x2,Cell-1 X²,3,0.45557730177360023,0.7288968050408932,0.7288968050408932,0.1524219595508658,0.7381280360240785,0.8226387789325109
error_oracle,0,0.1,paper,Paper |x|,3,0.7234238970452793,0.7259093962964558,0.7259093962964558,0.11599674197330449,0.7381280360240785,0.8226387789325109
error_oracle,0,0.1,shifted8_x2,Shifted-8 X²,3,0.5340423572828165,0.7264446989884452,0.7264446989884452,0.1595791903409091,0.7381280360240785,0.8226387789325109
error_oracle,1,0.15,adaptive8_x2,Adaptive-8 X²,3,0.5650343889842139,0.67327400427016,0.67327400427016,0.19768133342352093,0.687473282868427,0.7639592611600482
error_oracle,1,0.15,cell1_x2,Cell-1 X²,3,0.46380658739998043,0.6802197109966998,0.6802197109966998,0.2016376093524531,0.687473282868427,0.7639592611600482
error_oracle,1,0.15,paper,Paper |x|,3,0.7271157065619344,0.681830647209334,0.681830647209334,0.16232920725108224,0.687473282868427,0.7639592611600482
error_oracle,1,0.15,shifted8_x2,Shifted-8 X²,3,0.5485993652433847,0.6679321193978901,0.6679321193978901,0.22307900432900432,0.687473282868427,0.7639592611600482
error_oracle,2,0.2,adaptive8_x2,Adaptive-8 X²,3,0.5806033017013433,0.617659341957834,0.617659341957834,0.2595922957251082,0.6426817963402423,0.7073232671098104
error_oracle,2,0.2,cell1_x2,Cell-1 X²,3,0.4747981747228769,0.625837223811282,0.625837223811282,0.2635640726461039,0.6426817963402423,0.7073232671098104
error_oracle,2,0.2,paper,Paper |x|,3,0.7357666509830422,0.6311021196463752,0.6311021196463752,0.21953632305194803,0.6426817963402423,0.7073232671098104
error_oracle,2,0.2,shifted8_x2,Shifted-8 X²,3,0.5592986588380128,0.6297296499685636,0.6297296499685636,0.26514094629329005,0.6426817963402423,0.7073232671098104
error_oracle,3,0.25,adaptive8_x2,Adaptive-8 X²,3,0.5911861033113258,0.5825220036601263,0.5825220036601263,0.2976782332251082,0.5938439631154613,0.6518735246998922
error_oracle,3,0.25,cell1_x2,Cell-1 X²,3,0.48409943665977323,0.587296937547979,0.587296937547979,0.3103925696699134,0.5938439631154613,0.6518735246998922
error_oracle,3,0.25,paper,Paper |x|,3,0.746636770070987,0.5822010799532845,0.5822010799532845,0.27844009289321786,0.5938439631154613,0.6518735246998922
error_oracle,3,0.25,shifted8_x2,Shifted-8 X²,3,0.5758068810500256,0.5773871069744466,0.5773871069744466,0.32307590413059156,0.5938439631154613,0.6518735246998922
error_oracle,4,0.3,adaptive8_x2,Adaptive-8 X²,3,0.6059860476640698,0.5405142556816812,0.5405142556816812,0.34052297528860026,0.5443187880196741,0.598340788530925
error_oracle,4,0.3,cell1_x2,Cell-1 X²,3,0.5127122144062103,0.533170888229968,0.533170888229968,0.3564150151064213,0.5443187880196741,0.598340788530925
error_oracle,4,0.3,paper,Paper |x|,3,0.7608703335994398,0.534814170103461,0.534814170103461,0.317223575036075,0.5443187880196741,0.598340788530925
error_oracle,4,0.3,shifted8_x2,Shifted-8 X²,3,0.5953405874986278,0.5385566139445891,0.5385566139445891,0.36276619430916296,0.5443187880196741,0.598340788530925
error_oracle,5,0.35,adaptive8_x2,Adaptive-8 X²,3,0.6256243096494495,0.5055621356836387,0.5055621356836387,0.37386208626443,0.5071598091236655,0.5490926589284625
error_oracle,5,0.35,cell1_x2,Cell-1 X²,3,0.5435852541081594,0.49716652289683383,0.49716652289683383,0.39846920657467527,0.5071598091236655,0.5490926589284625
error_oracle,5,0.35,paper,Paper |x|,3,0.7738511352020881,0.5049893448336257,0.5049893448336257,0.34322719381313127,0.5071598091236655,0.5490926589284625
error_oracle,5,0.35,shifted8_x2,Shifted-8 X²,3,0.6247536669462607,0.5020747164353019,0.5020747164353019,0.3953027766504329,0.5071598091236655,0.5490926589284625
error_oracle,6,0.4,adaptive8_x2,Adaptive-8 X²,3,0.671116119329496,0.4586204101760236,0.4586204101760236,0.4262399384469697,0.4653275989823871,0.4984323562137664
error_oracle,6,0.4,cell1_x2,Cell-1 X²,3,0.5825840634967988,0.46094927698787713,0.46094927698787713,0.43974059794372283,0.4653275989823871,0.4984323562137664
error_oracle,6,0.4,paper,Paper |x|,3,0.8227472620081144,0.4534788553026461,0.4534788553026461,0.4066382293921356,0.4653275989823871,0.4984323562137664
error_oracle,6,0.4,shifted8_x2,Shifted-8 X²,3,0.6733729922022725,0.45715974318602726,0.45715974318602726,0.4492772310155122,0.4653275989823871,0.4984323562137664
error_oracle,7,0.45,adaptive8_x2,Adaptive-8 X²,3,0.702171127164046,0.43412456111538983,0.43412456111538983,0.4572031700937951,0.44076245301772676,0.45422107312414384
error_oracle,7,0.45,cell1_x2,Cell-1 X²,3,0.6199242382157673,0.43156290126757485,0.43156290126757485,0.488937223800505,0.44076245301772676,0.45422107312414384
error_oracle,7,0.45,paper,Paper |x|,3,0.8414101429683595,0.4360476898118144,0.4360476898118144,0.4256579466540404,0.44076245301772676,0.45422107312414384
error_oracle,7,0.45,shifted8_x2,Shifted-8 X²,3,0.7014786270206864,0.43611457003724013,0.43611457003724013,0.47705500879328994,0.44076245301772676,0.45422107312414384
error_oracle,8,0.5,adaptive8_x2,Adaptive-8 X²,3,0.7543614763614072,0.4007272246692862,0.4007272246692862,0.5048447646103895,0.4028516137410724,0.40518529074532644
error_oracle,8,0.5,cell1_x2,Cell-1 X²,3,0.6730187936971963,0.39683878745528917,0.39683878745528917,0.5342120986652237,0.4028516137410724,0.40518529074532644
error_oracle,8,0.5,paper,Paper |x|,3,0.905849746101544,0.3953435359585528,0.3953435359585528,0.4804934106691919,0.4028516137410724,0.40518529074532644
error_oracle,8,0.5,shifted8_x2,Shifted-8 X²,3,0.7643944760792682,0.397558723561584,0.397558723561584,0.5326394525613275,0.4028516137410724,0.40518529074532644
error_oracle,9,0.55,adaptive8_x2,Adaptive-8 X²,3,0.8337245876380962,0.36480652629619553,0.36480652629619553,0.563578023538961,0.36515348131162306,0.3595119288989476
error_oracle,9,0.55,cell1_x2,Cell-1 X²,3,0.7531975399197538,0.3633877155888412,0.3633877155888412,0.580241590007215,0.36515348131162306,0.3595119288989476
error_oracle,9,0.55,paper,Paper |x|,3,0.9801471271374519,0.3624220987844709,0.3624220987844709,0.5296724217622656,0.36515348131162306,0.3595119288989476
error_oracle,9,0.55,shifted8_x2,Shifted-8 X²,3,0.851615841358833,0.36280214836791397,0.36280214836791397,0.58024370377886,0.36515348131162306,0.3595119288989476
error_oracle,10,0.6,adaptive8_x2,Adaptive-8 X²,3,0.9831018570661545,0.3211892326879832,0.3211892326879832,0.6175623421717171,0.33656589746002163,0.31627647744284737
error_oracle,10,0.6,cell1_x2,Cell-1 X²,3,0.9268614920538655,0.31148738838318324,0.31148738838318324,0.6413493190836941,0.33656589746002163,0.31627647744284737
error_oracle,10,0.6,paper,Paper |x|,3,1.0692751506394205,0.33334852143981686,0.33334852143981686,0.5677661097582973,0.33656589746002163,0.31627647744284737
error_oracle,10,0.6,shifted8_x2,Shifted-8 X²,3,1.0239997141320856,0.3128283763570445,0.3128283763570445,0.643749154491342,0.33656589746002163,0.31627647744284737
error_oracle,11,0.65,adaptive8_x2,Adaptive-8 X²,3,1.093868324932331,0.29167701512397753,0.29167701512397753,0.6540707014339827,0.3074854269978546,0.27369778213046847
error_oracle,11,0.65,cell1_x2,Cell-1 X²,3,0.9753083173145397,0.29931000535864205,0.29931000535864205,0.6572089477362915,0.3074854269978546,0.27369778213046847
error_oracle,11,0.65,paper,Paper |x|,3,1.2815427461290898,0.278243714516672,0.278243714516672,0.636040229301948,0.3074854269978546,0.27369778213046847
error_oracle,11,0.65,shifted8_x2,Shifted-8 X²,3,1.0760047222473943,0.2999304854089306,0.2999304854089306,0.6604155393217893,0.3074854269978546,0.27369778213046847
