model,prompt,paper_budget_index,paper_budget_fraction,method,method_label,objective,feasible,target_mean_importance_loss,target_mean_error,cases,total_time_ms,mean_time_ms,total_loss,mean_loss,mean_error,mean_selected_fraction
tiny11,test_long_structured,0,0.1,paper,Paper |x|,importance_bound,True,0.8250929887096087,0.7386446854188329,21.0,15.47991600345373,0.7371388573073205,16.802454002201557,0.8001168572476932,0.7235099563286418,0.11995654085497835
tiny11,test_long_structured,0,0.1,paper,Paper |x|,error_oracle,True,0.8250929887096087,0.7386446854188329,21.0,15.47991600345373,0.7371388573073205,15.193709082901478,0.7235099563286418,0.7235099563286418,0.11995654085497835
tiny11,test_long_structured,0,0.1,cell1_x2,Cell-1 X²,importance_bound,True,0.8250929887096087,0.7386446854188329,21.0,10.276683511792362,0.48936588151392196,16.990912206470966,0.8090910574509984,0.7416694472943034,0.140525652732684
tiny11,test_long_structured,0,0.1,cell1_x2,Cell-1 X²,error_oracle,True,0.8250929887096087,0.7386446854188329,21.0,10.293979011496008,0.49018947673790514,15.462236009538174,0.7362969528351512,0.7362969528351512,0.14289730451839827
tiny11,test_long_structured,0,0.1,shifted8_x2,Shifted-8 X²,importance_bound,True,0.8250929887096087,0.7386446854188329,21.0,11.627308000584485,0.553681333361166,17.29308618605137,0.8234802945738747,0.7585586933862596,0.12623655641233766
tiny11,test_long_structured,0,0.1,shifted8_x2,Shifted-8 X²,error_oracle,True,0.8250929887096087,0.7386446854188329,21.0,11.793230501182437,0.5615824048182113,15.17007078975439,0.7223843233216376,0.7223843233216376,0.16671739718614717
tiny11,test_long_structured,0,0.1,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.8250929887096087,0.7386446854188329,21.0,12.467743507241607,0.5937020717734098,17.294120028614998,0.8235295251721427,0.7488518939131782,0.12388815611471861
tiny11,test_long_structured,0,0.1,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.8250929887096087,0.7386446854188329,21.0,12.507529506641271,0.5955966431733939,15.466573625802994,0.7365035059906188,0.7365035059906188,0.13100311147186147
tiny11,test_long_structured,1,0.15,paper,Paper |x|,importance_bound,True,0.7662179995150793,0.6870195177339372,21.0,15.6031920044567,0.7430091430693666,15.655532740056515,0.7455015590503102,0.6721046201529957,0.17250490395021645
tiny11,test_long_structured,1,0.15,paper,Paper |x|,error_oracle,True,0.7662179995150793,0.6870195177339372,21.0,15.557434506367684,0.7408302145889374,14.315399833023548,0.6816857063344547,0.6816857063344547,0.1532991747835498
tiny11,test_long_structured,1,0.15,cell1_x2,Cell-1 X²,importance_bound,True,0.7662179995150793,0.6870195177339372,21.0,10.49225751048565,0.4996313100231262,15.626017563045025,0.7440960744307155,0.683394373527595,0.20007271374458874
tiny11,test_long_structured,1,0.15,cell1_x2,Cell-1 X²,error_oracle,True,0.7662179995150793,0.6870195177339372,21.0,10.509553010189297,0.5004549052471093,14.238459460437298,0.6780218790684428,0.6780218790684428,0.202444365530303
tiny11,test_long_structured,1,0.15,shifted8_x2,Shifted-8 X²,importance_bound,True,0.7662179995150793,0.6870195177339372,21.0,11.9631930031237,0.5696758572916047,15.642999239265919,0.7449047256793294,0.686567692174798,0.20959314123376624
tiny11,test_long_structured,1,0.15,shifted8_x2,Shifted-8 X²,error_oracle,True,0.7662179995150793,0.6870195177339372,21.0,11.9631930031237,0.5696758572916047,14.417921535670757,0.686567692174798,0.686567692174798,0.20959314123376624
tiny11,test_long_structured,1,0.15,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.7662179995150793,0.6870195177339372,21.0,12.799388009786487,0.6094946671326898,15.679780550301075,0.7466562166810036,0.6779969430395535,0.20484983766233766
tiny11,test_long_structured,1,0.15,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.7662179995150793,0.6870195177339372,21.0,12.833770509110808,0.6111319290052766,14.020890854299068,0.6676614692523366,0.6676614692523366,0.20959314123376624
