method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,abs_importance_retention,selected_fraction,chunks,fallback_rate
adaptive8_x2,Adaptive-8 X²,x2,0,0.1,63,0.5563411429141456,0.041138793622690496,0.21211773015873017,0.24809642857142858,0.01681066668104553,0.03817752388025082,0.7663735662187848,0.35197246358508155,0.31112337727395317,0.15108469069477107,0.1000786323051948,7.222222222222222,0.0
adaptive8_x2,Adaptive-8 X²,x2,1,0.15,63,0.6365394367358306,0.041138793622690496,0.20726558730158728,0.3220855317460318,0.01664609521154368,0.04940342885397724,0.7111273235271848,0.29273292280378793,0.37076055932612645,0.20953855864585388,0.14992136769480519,9.444444444444445,0.0
adaptive8_x2,Adaptive-8 X²,x2,2,0.2,63,0.7077799839152855,0.041138793622690496,0.20331288888888888,0.3920053809523809,0.017599999934198307,0.05372292051712667,0.6707540651162466,0.25448472253859983,0.4227044397876376,0.26378137086118963,0.2001572646103896,11.222222222222221,0.0
adaptive8_x2,Adaptive-8 X²,x2,3,0.25,63,0.807782849263825,0.041138793622690496,0.2236196984126984,0.47324251587301586,0.017165206387520733,0.05261663496789947,0.6230659674084376,0.21765646858820836,0.4895478822882213,0.3231570829474737,0.25,13.253968253968255,0.0
adaptive8_x2,Adaptive-8 X²,x2,4,0.3,63,0.9018944598103061,0.041138793622690496,0.22921780952380952,0.5476927777777777,0.016412952264386462,0.06743212662164175,0.5741704016450851,0.18292077098573956,0.5371251177220118,0.37610962892335553,0.29984273538961037,13.952380952380953,0.0
adaptive8_x2,Adaptive-8 X²,x2,5,0.35,63,1.0187380948628981,0.041138793622690496,0.23314985714285716,0.6372783968253968,0.01766653970948282,0.08950450756247078,0.5320818574419097,0.157505556704506,0.5885703956323957,0.42983543541696334,0.3500786323051948,14.746031746031745,0.0
adaptive8_x2,Adaptive-8 X²,x2,6,0.4,63,1.091910952225932,0.041138793622690496,0.23505620634920635,0.7029383015873016,0.016867047486205843,0.09591060318052765,0.49510219214218004,0.13744932507711738,0.6300517642308795,0.47979798014201813,0.3999213676948052,15.365079365079366,0.0
adaptive8_x2,Adaptive-8 X²,x2,7,0.45,63,1.2013921503385636,0.041138793622690496,0.23570533333333335,0.8163138650793651,0.018117587289048512,0.0901165710141261,0.457528683460421,0.11796008310620743,0.6714729600482516,0.5297181232581063,0.45015726461038963,15.698412698412698,0.0
adaptive8_x2,Adaptive-8 X²,x2,8,0.5,63,1.284837269543834,0.041138793622690496,0.24125426984126982,0.895447380952381,0.018601142830910133,0.0883956822965826,0.4278695397078991,0.10325966467933045,0.7054024130579025,0.5746338225546337,0.5,15.777777777777779,0.0
adaptive8_x2,Adaptive-8 X²,x2,9,0.55,63,1.3751130804246485,0.041138793622690496,0.24247161904761905,0.9709124444444445,0.018342603160630095,0.10224762014926422,0.38537594950979664,0.0864326471374148,0.7457999728974842,0.6230355624168639,0.5498427353896104,15.412698412698413,0.0
adaptive8_x2,Adaptive-8 X²,x2,10,0.6,63,1.5241259198079353,0.041138793622690496,0.23870857142857144,1.0870239523809522,0.01872711108317445,0.13852749129254663,0.35462514792997685,0.0739429290332491,0.7787515133146256,0.668060839176178,0.6000786323051949,14.73015873015873,0.0
adaptive8_x2,Adaptive-8 X²,x2,11,0.65,63,1.6056943013482425,0.041138793622690496,0.24535133333333334,1.1521672222222221,0.019994412667103185,0.14704253950289314,0.32039133503678296,0.061642272131783575,0.8125255193029132,0.7132021103586469,0.6499213676948051,14.158730158730158,0.0
adaptive8_x2,Adaptive-8 X²,x2,12,0.7,63,1.6777707543127451,0.041138793622690496,0.24711290476190476,1.2443822936507936,0.01983949194647485,0.12529727033088128,0.2886870584140221,0.050440426856752374,0.8427647607667106,0.7570589468592689,0.7001572646103896,13.365079365079366,0.0
adaptive8_x2,Adaptive-8 X²,x2,13,0.75,63,1.7407935162062578,0.041138793622690496,0.23982255555555557,1.319663023809524,0.02006298408562697,0.12010615913286092,0.2546741676827271,0.040277685437883605,0.8738335115568978,0.8006263507737054,0.75,12.26984126984127,0.0
adaptive8_x2,Adaptive-8 X²,x2,14,0.8,63,1.8564997225947562,0.041138793622690496,0.24233144444444443,1.409655261904762,0.020541968282371238,0.1428322543404878,0.22086372529526074,0.03063756227493282,0.9033277838949173,0.8424781106767201,0.7998427353896104,10.920634920634921,0.0
adaptive8_x2,Adaptive-8 X²,x2,15,0.85,63,1.9855785071870393,0.041138793622690496,0.2491809841269841,1.4817938412698415,0.021437460260968304,0.1920274279065548,0.18748347838926643,0.02212744667416523,0.9289744467962355,0.8831189359937396,0.8500786323051949,9.047619047619047,0.0
adaptive8_x2,Adaptive-8 X²,x2,16,0.9,63,2.0956889545671085,0.041138793622690496,0.2451203650793651,1.5842803333333335,0.021712254111965448,0.20343720841975435,0.1458547195929679,0.013886575661008272,0.9547954012477209,0.924432186853318,0.8999213676948051,7.26984126984127,0.0
adaptive8_x2,Adaptive-8 X²,x2,17,0.95,63,2.1038494123646503,0.041138793622690496,0.24057039682539683,1.6441933015873018,0.020707555455229534,0.15723936487403178,0.1017704048297471,0.006797050672864113,0.9778529765113951,0.9621024472372872,0.9501572646103896,4.682539682539683,0.0
cell1_x2,Cell-1 X²,x2,0,0.1,63,0.4550229922163846,0.041138793622690496,0.11232579365079365,0.24752056349206347,0.016042158761549522,0.03799568268928732,0.7947788233794864,0.37949184387449236,0.26080344097008773,0.14352710864373613,0.1000786323051948,4.984126984126984,0.0
cell1_x2,Cell-1 X²,x2,1,0.15,63,0.5233023019985764,0.041138793622690496,0.1088554126984127,0.3082343174603175,0.016395682557707687,0.048678095659448,0.7443331385415698,0.3207433148035927,0.32305438177926193,0.20261950081303004,0.14992136769480519,6.857142857142857,0.0
cell1_x2,Cell-1 X²,x2,2,0.2,63,0.6182975078398717,0.041138793622690496,0.10959115873015873,0.39641784126984125,0.01747504756268522,0.05367466665449592,0.701060418808271,0.2807774960048615,0.37922990605944673,0.25919247879868457,0.2001572646103896,8.555555555555555,0.0
cell1_x2,Cell-1 X²,x2,3,0.25,63,0.7042437699570173,0.041138793622690496,0.11739704761904762,0.4744876111111111,0.0179260952457312,0.05329422235843676,0.6387263765883824,0.22942232044916303,0.47187263956145636,0.32107190480307923,0.25,9.873015873015873,0.0
cell1_x2,Cell-1 X²,x2,4,0.3,63,0.7932126740183462,0.041138793622690496,0.1174141746031746,0.5491882142857143,0.017286095250811793,0.06818539625595481,0.5919834484183599,0.19375826915105182,0.5306926719726078,0.3753904534710778,0.29984273538961037,11.126984126984127,0.0
cell1_x2,Cell-1 X²,x2,5,0.35,63,0.9041776665376775,0.041138793622690496,0.11827438095238095,0.6371281746031746,0.018086603133096534,0.08954971422633477,0.5548419238082947,0.16721499344659227,0.5723835083227309,0.42328349796552506,0.3500786323051948,11.80952380952381,0.0
cell1_x2,Cell-1 X²,x2,6,0.4,63,0.9838826195906136,0.041138793622690496,0.1208661111111111,0.7073329523809524,0.01774476187688013,0.09680000059897934,0.5127273874859961,0.14180398838860644,0.6150211256647867,0.4729207820362515,0.3999213676948052,12.158730158730158,0.0
cell1_x2,Cell-1 X²,x2,7,0.45,63,1.058627032091923,0.041138793622690496,0.11820398412698412,0.7928979682539682,0.01719771430546797,0.0891885717828122,0.4782907266228918,0.12347960566717477,0.6541359765189034,0.5209413009976583,0.45015726461038963,12.380952380952381,0.0
cell1_x2,Cell-1 X²,x2,8,0.5,63,1.1505471271598955,0.041138793622690496,0.11949741269841269,0.8845293333333333,0.017617777802996164,0.08776380970246257,0.4318988524259083,0.10384938262757797,0.6999579204453362,0.5742558742326404,0.5,12.222222222222221,0.0
cell1_x2,Cell-1 X²,x2,9,0.55,63,1.2655348172895227,0.041138793622690496,0.12367192063492063,0.9789539444444444,0.018789587365019837,0.10298057122244716,0.3977560945564792,0.0889218477975754,0.7355698432241168,0.619252221924918,0.5498427353896104,12.11111111111111,0.0
cell1_x2,Cell-1 X²,x2,10,0.6,63,1.3940765782713076,0.041138793622690496,0.12336668253968254,1.071652626984127,0.019055745963539344,0.13886272916126816,0.36228746524642386,0.07541392246882117,0.7714847647954547,0.6662564343876309,0.6000786323051949,11.619047619047619,0.0
cell1_x2,Cell-1 X²,x2,11,0.65,63,1.4796019046909288,0.041138793622690496,0.12366333333333333,1.1480086666666667,0.019857777799997013,0.14693333326824126,0.3267677240664997,0.06260138182413005,0.8077657364663624,0.7119536872894044,0.6499213676948051,10.936507936507937,0.0
cell1_x2,Cell-1 X²,x2,12,0.7,63,1.5345752857306978,0.041138793622690496,0.12618403174603174,1.222997476190476,0.019309714214787548,0.1249452699567117,0.298668581371506,0.05232651555348952,0.8363883041200184,0.7538978939964658,0.7001572646103896,10.619047619047619,0.0
cell1_x2,Cell-1 X²,x2,13,0.75,63,1.6047665169275327,0.041138793622690496,0.12390838095238095,1.3009348333333333,0.019393523844579805,0.11939098517454803,0.26141082146574574,0.0414600949438791,0.8705153711258419,0.7974767836313399,0.75,9.746031746031745,0.0
cell1_x2,Cell-1 X²,x2,14,0.8,63,1.7126998414348231,0.041138793622690496,0.12943138095238096,1.379390365079365,0.02036063473612538,0.1423786670442611,0.22575554013666177,0.03135412363778972,0.9004110618243142,0.8403284246959384,0.7998427353896104,8.206349206349206,0.0
cell1_x2,Cell-1 X²,x2,15,0.85,63,1.8619580324697786,0.041138793622690496,0.1263376507936508,1.4810426031746031,0.021447111083756316,0.1919918737950779,0.19048593488950574,0.022715914817083405,0.9276000895197429,0.8816757315681094,0.8500786323051949,6.634920634920635,0.0
cell1_x2,Cell-1 X²,x2,16,0.9,63,1.958636001566851,0.041138793622690496,0.12622596825396826,1.5658769523809524,0.021896634812629354,0.20349765249661034,0.15043356695345467,0.014403902349017872,0.9533793585641044,0.9227301894672333,0.8999213676948051,5.2063492063492065,0.0
cell1_x2,Cell-1 X²,x2,17,0.95,63,1.9783905150056946,0.041138793622690496,0.12332626984126983,1.6338101507936509,0.021744761734254724,0.1583705390138285,0.1039973674970309,0.006990754415118462,0.9767999999106877,0.9616362547117566,0.9501572646103896,3.0634920634920637,0.0
paper,Paper |x|,abs,0,0.1,63,0.760138817762724,0.03183949209513168,0.41013596825396825,0.2666550396825397,0.016448507839370297,0.03505980989171394,0.7381280360240785,0.33349150230014135,0.1773612210674891,0.1773612210674891,0.09810014204545453,7.777777777777778,0.0
paper,Paper |x|,abs,1,0.15,63,0.8104883016807787,0.03183949209513168,0.39132519047619047,0.3249261587301587,0.017347047608050038,0.04505041277124763,0.6874732828684269,0.2794086923674931,0.23604073883995175,0.23604073883995175,0.1493379667207792,10.301587301587302,0.0
