error_ceiling,method,method_label,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,selector_total_ms,io_median_ms,upload_median_ms,selected_fraction,chunks,row_match_rate
0.5,paper,Paper |x|,0.5781508975821656,0.5478098180644397,0.030341079517725866,0.28831956946438103,0.21172330191381059,0.015983850027320067,0.031783096658927965,0.3186606489821069,0.07911868954589443,0.09475026244326955,0.3526174088685056,5.47103399485466,1.0
0.5,cell1_abs,Cell-1 |x|,0.3859907236032715,0.3556496440855456,0.030341079517725866,0.0892535872894922,0.2184637942728095,0.015280585618373565,0.032651676904870246,0.11959466680721809,0.06969667295617903,0.11101139062582788,0.4273009510552426,3.0953366544786247,1.0
0.5,cell1_x2,Cell-1 X²,0.3770431864955684,0.34823963099373645,0.028803555501831862,0.08786920453752736,0.2121798719020834,0.015534134165720411,0.032656420388405244,0.11667276003935924,0.0671901360370565,0.10772269670419372,0.41615688481716767,3.0420043713124874,1.0
0.5,wcell1,WCell-1 X²·W²,0.3798124123887535,0.3477006664401607,0.03211174594859278,0.08828138118893504,0.21079062198118237,0.01582126245764172,0.032807400812401494,0.12039312713752785,0.06752575313096437,0.10640455526625564,0.41063576633933685,2.9337916806692266,1.0
0.45,paper,Paper |x|,0.6098452881371039,0.579504208619378,0.030341079517725866,0.2951838769738869,0.2360133847252116,0.015484826254161015,0.03282212066611835,0.32552495649161284,0.08499183303453099,0.11216295116184319,0.43262048448479257,6.263052233188501,1.0
0.45,cell1_abs,Cell-1 |x|,0.4038435017911033,0.3735024222733774,0.030341079517725866,0.09073913059622467,0.23354409805213888,0.015006256433871197,0.03421293719114253,0.12108021011395054,0.07040895228687902,0.1256488136937197,0.4954640521878143,3.391098661211814,1.0
0.45,cell1_x2,Cell-1 X²,0.39570435082750555,0.36690079532567366,0.028803555501831862,0.09019518939710937,0.22795228732486536,0.01513233869824779,0.03362097990545101,0.11899874489894124,0.06887390890810269,0.12163202224135698,0.47604360286801456,3.146170167834967,1.0
0.45,wcell1,WCell-1 X²·W²,0.39652113740349626,0.3644093914549034,0.03211174594859278,0.08822940394866322,0.2274254852364714,0.015162469104090588,0.033592033165678103,0.12034114989725603,0.06856638208041607,0.12151591034785034,0.47498838547971656,3.1983942626662167,1.0
0.42,paper,Paper |x|,0.6274296241989216,0.5970885446811957,0.030341079517725866,0.2953241828510296,0.24853059652996945,0.017454526335284257,0.03577923896491217,0.32566526236875554,0.08629961143672923,0.12395636947221945,0.484657302735808,6.8356572067380625,1.0
0.42,cell1_abs,Cell-1 |x|,0.4147479291427249,0.38440684962499894,0.030341079517725866,0.0898263246211018,0.24426530562132895,0.015162033390619967,0.03515318599194816,0.12016740413882766,0.07114984784736182,0.13602013126170795,0.5390835442482514,3.4251058870629367,1.0
