trial,target_cv,spatial_mode,q,coverage_target,quant_achieved,quant_overshoot,quant_rows,quant_chunks,quant_aff_ms,solve_ms,exact_requested_aff_ms,exact_at_achieved_aff_ms,requested_gap_pct,achieved_gap_pct
0,1.07,random,128,0.1,0.10755674985788939,0.007556749857889386,17,1,0.013377702186277544,0.152004,0.013237889458506534,0.013377702186277544,1.0561557279145317,0.0
0,1.07,random,128,0.3,0.302140609623033,0.0021406096230330296,62,1,0.019669274935972994,0.131706,0.019669274935972994,0.019669274935972994,0.0,0.0
0,1.07,random,128,0.5,0.5003876242678482,0.0003876242678482189,108,1,0.02610066041343945,0.117519,0.02596084768566844,0.02596084768566844,0.5385522439939061,0.5385522439939061
0,1.07,random,128,0.7,0.7049162006372824,0.004916200637282486,177,1,0.03574773862963914,0.110185,0.03560792590186813,0.03574773862963914,0.3926449638103735,0.0
0,1.07,random,128,0.9,0.901853001001949,0.0018530010019489618,227,1,0.04273837501818963,0.103103,0.042598562290418626,0.04273837501818963,0.3282099682562656,0.0
0,1.07,random,128,0.95,0.9523576251479002,0.0023576251479002774,242,1,0.04483556593475478,0.095408,0.044695753206983775,0.04483556593475478,0.3128098706012272,0.0
0,1.07,random,128,0.99,1.0000000000000002,0.010000000000000231,256,1,0.046792944123548924,0.045214,0.046233693212464885,0.046792944123548924,1.2096176451100948,0.0
0,1.07,random,16,0.1,1.0000000000000002,0.9000000000000002,256,1,0.046792944123548924,0.022332,0.013237889458506534,0.046792944123548924,253.47737469948618,0.0
0,1.07,random,16,0.3,1.0000000000000002,0.7000000000000002,256,1,0.046792944123548924,0.021229,0.019669274935972994,0.046792944123548924,137.8986733159627,0.0
0,1.07,random,16,0.5,1.0000000000000002,0.5000000000000002,256,1,0.046792944123548924,0.018515,0.02596084768566844,0.046792944123548924,80.24428435509346,0.0
0,1.07,random,16,0.7,1.0000000000000002,0.30000000000000027,256,1,0.046792944123548924,0.019497,0.03560792590186813,0.046792944123548924,31.411597104828815,0.0
0,1.07,random,16,0.9,1.0000000000000002,0.1000000000000002,256,1,0.046792944123548924,0.018485,0.042598562290418626,0.046792944123548924,9.846299047688078,0.0
0,1.07,random,16,0.95,1.0000000000000002,0.050000000000000266,256,1,0.046792944123548924,0.017542,0.044695753206983775,0.046792944123548924,4.692148059018408,0.0
0,1.07,random,16,0.99,1.0000000000000002,0.010000000000000231,256,1,0.046792944123548924,0.022191,0.046233693212464885,0.046792944123548924,1.2096176451100948,0.0
0,1.07,random,8,0.1,1.0000000000000002,0.9000000000000002,256,1,0.046792944123548924,0.018685,0.013237889458506534,0.046792944123548924,253.47737469948618,0.0
0,1.07,random,8,0.3,1.0000000000000002,0.7000000000000002,256,1,0.046792944123548924,0.018515,0.019669274935972994,0.046792944123548924,137.8986733159627,0.0
0,1.07,random,8,0.5,1.0000000000000002,0.5000000000000002,256,1,0.046792944123548924,0.017342,0.02596084768566844,0.046792944123548924,80.24428435509346,0.0
0,1.07,random,8,0.7,1.0000000000000002,0.30000000000000027,256,1,0.046792944123548924,0.017162,0.03560792590186813,0.046792944123548924,31.411597104828815,0.0
0,1.07,random,8,0.9,1.0000000000000002,0.1000000000000002,256,1,0.046792944123548924,0.022963,0.042598562290418626,0.046792944123548924,9.846299047688078,0.0
0,1.07,random,8,0.95,1.0000000000000002,0.050000000000000266,256,1,0.046792944123548924,0.017493,0.044695753206983775,0.046792944123548924,4.692148059018408,0.0
0,1.07,random,8,0.99,1.0000000000000002,0.010000000000000231,256,1,0.046792944123548924,0.016711,0.046233693212464885,0.046792944123548924,1.2096176451100948,0.0
0,1.07,random,1024,0.1,0.10024798319186179,0.00024798319186178364,16,1,0.013237889458506534,0.237334,0.013237889458506534,0.013237889458506534,0.0,0.0
0,1.07,random,1024,0.3,0.302140609623033,0.0021406096230330296,62,1,0.019669274935972994,0.194934,0.019669274935972994,0.019669274935972994,0.0,0.0
0,1.07,random,1024,0.5,0.5027267184118391,0.002726718411839135,107,1,0.02596084768566844,0.185857,0.02596084768566844,0.02596084768566844,0.0,0.0
0,1.07,random,1024,0.7,0.7016284290207215,0.001628429020721578,176,1,0.03560792590186813,0.156151,0.03560792590186813,0.03560792590186813,0.0,0.0
0,1.07,random,1024,0.9,0.9010537380340646,0.0010537380340646108,226,1,0.042598562290418626,0.140723,0.042598562290418626,0.042598562290418626,0.0,0.0
0,1.07,random,1024,0.95,0.9505089469471818,0.0005089469471818431,241,1,0.044695753206983775,0.146284,0.044695753206983775,0.044695753206983775,0.0,0.0
0,1.07,random,1024,0.99,0.9905576257323249,0.0005576257323248734,252,1,0.046233693212464885,0.130744,0.046233693212464885,0.046233693212464885,0.0,0.0
0,1.07,random,64,0.1,0.11346063726798493,0.013460637267984923,18,1,0.013517514914048553,0.097722,0.013237889458506534,0.013517514914048553,2.1123114558290412,0.0
0,1.07,random,64,0.3,0.30170370340776775,0.0017037034077677649,63,1,0.019809087663744,0.080841,0.019669274935972994,0.019669274935972994,0.7108179036905193,0.7108179036905193
0,1.07,random,64,0.5,0.5002430247629283,0.0002430247629282567,115,1,0.02707934950783652,0.076723,0.02596084768566844,0.02596084768566844,4.3084179519513155,4.3084179519513155
0,1.07,random,64,0.7,0.7041054285330957,0.004105428533095701,181,1,0.03630698954072318,0.084297,0.03560792590186813,0.03574773862963914,1.963224819051801,1.5644371714756522
0,1.07,random,64,0.9,0.906955701152322,0.006955701152322025,234,1,0.043717064112586704,0.074619,0.042598562290418626,0.04301800047373165,2.625679746050147,1.6250491216622809
0,1.07,random,64,0.95,1.0000000000000002,0.050000000000000266,256,1,0.046792944123548924,0.027551,0.044695753206983775,0.046792944123548924,4.692148059018408,0.0
0,1.07,random,64,0.99,1.0000000000000002,0.010000000000000231,256,1,0.046792944123548924,0.024736,0.046233693212464885,0.046792944123548924,1.2096176451100948,0.0
0,1.07,random,256,0.1,0.10755674985788939,0.007556749857889386,17,1,0.013377702186277544,0.173034,0.013237889458506534,0.013377702186277544,1.0561557279145317,0.0
0,1.07,random,256,0.3,0.302140609623033,0.0021406096230330296,62,1,0.019669274935972994,0.138118,0.019669274935972994,0.019669274935972994,0.0,0.0
0,1.07,random,256,0.5,0.5027267184118391,0.002726718411839135,107,1,0.02596084768566844,0.135623,0.02596084768566844,0.02596084768566844,0.0,0.0
0,1.07,random,256,0.7,0.7016284290207215,0.001628429020721578,176,1,0.03560792590186813,0.130825,0.03560792590186813,0.03560792590186813,0.0,0.0
0,1.07,random,256,0.9,0.9044775351062242,0.004477535106224173,228,1,0.042878187745960646,0.109385,0.042598562290418626,0.042878187745960646,0.6564199365125312,0.0
0,1.07,random,256,0.95,0.9505089469471818,0.0005089469471818431,241,1,0.044695753206983775,0.108302,0.044695753206983775,0.044695753206983775,0.0,0.0
0,1.07,random,256,0.99,0.9920501402777873,0.0020501402777872713,253,1,0.04637350594023589,0.101018,0.046233693212464885,0.04637350594023589,0.3024044112775126,0.0
0,1.07,random,32,0.1,0.12973752721929369,0.02973752721929368,38,1,0.016313769469468754,0.071263,0.013237889458506534,0.013936953097361583,23.235426014119586,17.054060206008216
0,1.07,random,32,0.3,0.3147803160089506,0.014780316008950634,94,1,0.02414328222464531,0.071734,0.019669274935972994,0.020228525847057033,22.74617291809693,19.352652819027938
0,1.07,random,32,0.5,0.5021951171476936,0.0021951171476936038,142,1,0.03085429315765379,0.070312,0.02596084768566844,0.02596084768566844,18.84932853978707,18.84932853978707
0,1.07,random,32,0.7,1.0000000000000002,0.30000000000000027,256,1,0.046792944123548924,0.022763,0.03560792590186813,0.046792944123548924,31.411597104828815,0.0
0,1.07,random,32,0.9,1.0000000000000002,0.1000000000000002,256,1,0.046792944123548924,0.020879,0.042598562290418626,0.046792944123548924,9.846299047688078,0.0
0,1.07,random,32,0.95,1.0000000000000002,0.050000000000000266,256,1,0.046792944123548924,0.030116,0.044695753206983775,0.046792944123548924,4.692148059018408,0.0
0,1.07,random,32,0.99,1.0000000000000002,0.010000000000000231,256,1,0.046792944123548924,0.018945,0.046233693212464885,0.046792944123548924,1.2096176451100948,0.0
0,1.07,random,512,0.1,0.10024798319186179,0.00024798319186178364,16,1,0.013237889458506534,0.200094,0.013237889458506534,0.013237889458506534,0.0,0.0
0,1.07,random,512,0.3,0.302140609623033,0.0021406096230330296,62,1,0.019669274935972994,0.163756,0.019669274935972994,0.019669274935972994,0.0,0.0
0,1.07,random,512,0.5,0.5027267184118391,0.002726718411839135,107,1,0.02596084768566844,0.157344,0.02596084768566844,0.02596084768566844,0.0,0.0
0,1.07,random,512,0.7,0.7016284290207215,0.001628429020721578,176,1,0.03560792590186813,0.137026,0.03560792590186813,0.03560792590186813,0.0,0.0
0,1.07,random,512,0.9,0.9010537380340646,0.0010537380340646108,226,1,0.042598562290418626,0.1233,0.042598562290418626,0.042598562290418626,0.0,0.0
0,1.07,random,512,0.95,0.9505089469471818,0.0005089469471818431,241,1,0.044695753206983775,0.140132,0.044695753206983775,0.044695753206983775,0.0,0.0
0,1.07,random,512,0.99,0.9905576257323249,0.0005576257323248734,252,1,0.046233693212464885,0.123982,0.046233693212464885,0.046233693212464885,0.0,0.0
0,1.07,local,512,0.1,0.10826349299621597,0.008263492996215968,6,1,0.011839762180796434,0.29413,0.011839762180796434,0.011839762180796434,0.0,0.0
0,1.07,local,512,0.3,0.30269111964801626,0.0026911196480162713,30,1,0.015195267647300673,0.222405,0.015195267647300673,0.015195267647300673,0.0,0.0
0,1.07,local,512,0.5,0.5015212520583353,0.0015212520583353095,83,1,0.0226053422191642,0.253514,0.0226053422191642,0.0226053422191642,0.0,0.0
0,1.07,local,512,0.7,0.7041087926831872,0.004108792683187201,128,1,0.028896914968859648,0.18714,0.028896914968859648,0.028896914968859648,0.0,0.0
0,1.07,local,512,0.9,0.9013792204466562,0.0013792204466561708,191,1,0.037705116818433276,0.186408,0.03756530409066227,0.037705116818433276,0.372185800582292,0.0
0,1.07,local,512,0.95,0.9549172298266302,0.004917229826630232,222,1,0.04203931137933459,0.161142,0.04203931137933459,0.04203931137933459,0.0,0.0
