trial,target_cv,spatial_mode,q,budget_rows,target_importance,paper_aff_ms,paper_runtime_ms,paper_gap_pct,quant_aff_ms,quant_solve_ms,quant_single_query_ms,quant_gap_pct,paper_extra_vs_quant_pct
0,1.07,random,128,32,0.17421526278753138,0.015474893102842693,0.868262,0.9117182587336625,0.015474893102842693,0.106088,38.167586,0.9117182587336625,0.0
0,1.07,random,128,64,0.3025828510340257,0.019948900391515013,0.545299,0.7058009442146407,0.019809087663744,0.104545,38.166043,0.0,0.7058009442146407
0,1.07,random,128,96,0.4494901576145539,0.02442290768018733,0.523468,0.5757615659988113,0.02442290768018733,0.094486,38.155984000000004,0.5757615659988113,0.0
0,1.07,random,128,128,0.5568052265848308,0.028896914968859648,0.532214,0.0,0.02931635315217268,0.091301,38.152799,1.4514981400783888,-1.430731104704086
0,1.07,random,128,160,0.700020006688411,0.04437180807170234,0.568613,24.61216694841084,0.03574773862963914,0.091871,38.153369,0.3926449638103735,24.124797183430257
0,1.07,random,128,192,0.8088719943874811,0.04884581536037466,0.56726,22.291492776164624,0.03994212046276944,0.091221,38.152719,0.0,22.291492776164624
0,1.07,random,128,224,0.891200391367782,0.04231893683487661,0.51938,0.0,0.04231893683487661,0.08566,38.147158,0.0,0.0
0,1.07,random,16,32,0.17421526278753138,0.015474893102842693,0.868262,0.9117182587336625,0.046792944123548924,0.01583,2.9479379999999997,205.13660821507233,-66.92900309503109
0,1.07,random,16,64,0.3025828510340257,0.019948900391515013,0.545299,0.7058009442146407,0.046792944123548924,0.013114,2.945222,136.21958223342457,-57.36771693859808
0,1.07,random,16,96,0.4494901576145539,0.02442290768018733,0.523468,0.5757615659988113,0.046792944123548924,0.012303,2.944411,92.69761212580825,-47.806430782165066
0,1.07,random,16,128,0.5568052265848308,0.028896914968859648,0.532214,0.0,0.046792944123548924,0.011983,2.944091,61.93058731001104,-38.24514462573205
0,1.07,random,16,160,0.700020006688411,0.04437180807170234,0.568613,24.61216694841084,0.046792944123548924,0.011963,2.944071,31.411597104828815,-5.174147720763167
0,1.07,random,16,192,0.8088719943874811,0.04884581536037466,0.56726,22.291492776164624,0.046792944123548924,0.012143,2.944251,17.15187772057627,4.387138435669868
0,1.07,random,16,224,0.891200391367782,0.04231893683487661,0.51938,0.0,0.046792944123548924,0.012714,2.944822,10.572116464384141,-9.561286156433013
0,1.07,random,8,32,0.17421526278753138,0.015474893102842693,0.868262,0.9117182587336625,0.046792944123548924,0.016401,2.594999,205.13660821507233,-66.92900309503109
0,1.07,random,8,64,0.3025828510340257,0.019948900391515013,0.545299,0.7058009442146407,0.046792944123548924,0.013525,2.592123,136.21958223342457,-57.36771693859808
0,1.07,random,8,96,0.4494901576145539,0.02442290768018733,0.523468,0.5757615659988113,0.046792944123548924,0.012192,2.59079,92.69761212580825,-47.806430782165066
0,1.07,random,8,128,0.5568052265848308,0.028896914968859648,0.532214,0.0,0.046792944123548924,0.012434,2.591032,61.93058731001104,-38.24514462573205
0,1.07,random,8,160,0.700020006688411,0.04437180807170234,0.568613,24.61216694841084,0.046792944123548924,0.011612,2.59021,31.411597104828815,-5.174147720763167
0,1.07,random,8,192,0.8088719943874811,0.04884581536037466,0.56726,22.291492776164624,0.046792944123548924,0.011692,2.59029,17.15187772057627,4.387138435669868
0,1.07,random,8,224,0.891200391367782,0.04231893683487661,0.51938,0.0,0.046792944123548924,0.011802,2.5904,10.572116464384141,-9.561286156433013
0,1.07,random,1024,32,0.17421526278753138,0.015474893102842693,0.868262,0.9117182587336625,0.015335080375071683,0.17692,128.465337,0.0,0.9117182587336625
0,1.07,random,1024,64,0.3025828510340257,0.019948900391515013,0.545299,0.7058009442146407,0.019809087663744,0.162063,128.45048,0.0,0.7058009442146407
0,1.07,random,1024,96,0.4494901576145539,0.02442290768018733,0.523468,0.5757615659988113,0.02428309495241632,0.164317,128.45273400000002,0.0,0.5757615659988113
0,1.07,random,1024,128,0.5568052265848308,0.028896914968859648,0.532214,0.0,0.028896914968859648,0.147165,128.435582,0.0,0.0
0,1.07,random,1024,160,0.700020006688411,0.04437180807170234,0.568613,24.61216694841084,0.03560792590186813,0.141193,128.42961,0.0,24.61216694841084
0,1.07,random,1024,192,0.8088719943874811,0.04884581536037466,0.56726,22.291492776164624,0.03994212046276944,0.157274,128.445691,0.0,22.291492776164624
0,1.07,random,1024,224,0.891200391367782,0.04231893683487661,0.51938,0.0,0.04231893683487661,0.132567,128.420984,0.0,0.0
0,1.07,random,64,32,0.17421526278753138,0.015474893102842693,0.868262,0.9117182587336625,0.01617395674169774,0.082143,17.820428,5.4703095524019085,-4.322155982109233
0,1.07,random,64,64,0.3025828510340257,0.019948900391515013,0.545299,0.7058009442146407,0.020228525847057033,0.071052,17.809337000000003,2.117402832643922,-1.382332344216275
0,1.07,random,64,96,0.4494901576145539,0.02442290768018733,0.523468,0.5757615659988113,0.02484234586350036,0.06948,17.807765,2.303046263995223,-1.6884000634146634
0,1.07,random,64,128,0.5568052265848308,0.028896914968859648,0.532214,0.0,0.030714480429882778,0.076893,17.815178,6.289825273672989,-5.917617474182569
0,1.07,random,64,160,0.700020006688411,0.04437180807170234,0.568613,24.61216694841084,0.03630698954072318,0.071003,17.809288000000002,1.963224819051801,22.212853869179593
0,1.07,random,64,192,0.8088719943874811,0.04884581536037466,0.56726,22.291492776164624,0.03994212046276944,0.070973,17.809258,0.0,22.291492776164624
0,1.07,random,64,224,0.891200391367782,0.04231893683487661,0.51938,0.0,0.04301800047373165,0.070903,17.809188000000002,1.651893197560006,-1.6250491216622698
0,1.07,random,256,32,0.17421526278753138,0.015474893102842693,0.868262,0.9117182587336625,0.015335080375071683,0.137407,64.83840099999999,0.0,0.9117182587336625
0,1.07,random,256,64,0.3025828510340257,0.019948900391515013,0.545299,0.7058009442146407,0.019809087663744,0.116027,64.817021,0.0,0.7058009442146407
