trial,target_cv,spatial_mode,q,build_ms,mean_solve_ms,single_query_ms,seven_target_amortized_ms,peak_states,dp_state_slots,requested_gap_pct,achieved_gap_pct,mean_overshoot,greedy_target_gap_pct
0,1.07,random,128,38.061498,0.10145078571428572,38.162948785714285,5.545233857142857,175,66048,0.5482843456694856,0.0769360348562723,0.0041731157908432275,0.4759461326601766
0,1.07,random,16,2.932108,0.01641721428571429,2.948525214285714,0.4388427142857143,2,8704,74.11142774674111,0.0,0.36571428571428594,79.30285445344364
0,1.07,random,8,2.578598,0.01560921428571429,2.5942072142857144,0.3867812857142857,2,4608,74.11142774674111,0.0,0.36571428571428594,79.30285445344364
0,1.07,random,1024,128.288417,0.16239471428571428,128.45081171428572,18.497206285714288,469,524800,0.0,0.0,0.0012662929944324078,0.0
0,1.07,random,64,17.738285,0.069924,17.808209,2.600682,75,33280,2.5174596543859034,1.172674592682824,0.012352642160585596,2.827957419903693
0,1.07,random,256,64.700994,0.12124807142857144,64.82224207142856,9.371042714285712,303,131584,0.28785429652922506,0.0,0.003012732749239488,0.06911895905135397
0,1.07,random,32,5.487113,0.040326714285714285,5.527439714285714,0.8275892857142857,25,16896,15.998655618378425,7.8937202235461745,0.07238756576799125,26.816293666603
0,1.07,random,512,93.354533,0.14367764285714288,93.49821064285715,13.485738142857144,405,262656,0.0,0.0,0.0012662929944324078,0.0
0,1.07,local,512,99.092634,0.16915257142857146,99.26178657142857,14.359589428571429,430,262656,0.05316940008318457,0.0,0.003420374340300036,0.0
0,1.07,local,16,2.822043,0.01621807142857143,2.838261071428571,0.42311614285714283,2,8704,101.66908011440857,0.0,0.36571428571428577,78.8106986877197
0,1.07,local,8,2.499581,0.015127642857142857,2.514708642857143,0.3747702857142857,2,4608,101.66908011440857,0.0,0.36571428571428577,78.8106986877197
0,1.07,local,256,68.428689,0.12730850000000002,68.5559975,9.913211285714286,318,131584,0.19488213206377836,0.0,0.0038740587691104772,0.05985224702599482
0,1.07,local,1024,127.52948,0.157953,127.68743300000001,18.386813142857143,491,524800,0.0,0.0,0.003235790498015857,0.0
0,1.07,local,32,9.541478,0.05061242857142857,9.592090428571428,1.418602,47,16896,14.56303114833487,8.059937636902694,0.02948252573226599,22.52380251393638
0,1.07,local,128,39.946731,0.10131564285714287,40.048046642857145,5.817288,200,66048,0.5457976504992278,0.06878614915945468,0.004588997786757442,0.34471665522601835
0,1.07,local,64,18.543418,0.06057464285714286,18.603992642857143,2.710630428571428,102,33280,7.999988862217552,1.8668074612405718,0.026743546789906963,10.754069118057396
0,1.07,hot-cold,256,71.143592,0.12265,71.26624199999999,10.298889428571428,310,131584,0.282430322142838,0.0,0.0039220513730523566,0.4829653769958301
0,1.07,hot-cold,32,12.365165,0.05918400000000001,12.424349,1.8296085714285713,58,16896,8.737086581509768,5.092213364086432,0.01960188303215247,13.063786175947241
0,1.07,hot-cold,128,45.176823,0.09818507142857144,45.27500807142857,6.557831857142857,219,66048,0.5446615041152768,0.0,0.005107283109226043,0.632232520693018
0,1.07,hot-cold,8,2.509829,0.016057928571428574,2.5258869285714285,0.37723214285714285,2,4608,101.2917141117819,0.0,0.36571428571428594,79.84735746451773
0,1.07,hot-cold,16,2.802847,0.015336714285714285,2.818183714285714,0.41832914285714284,2,8704,101.2917141117819,0.0,0.36571428571428594,79.84735746451773
0,1.07,hot-cold,64,23.859953,0.08168478571428572,23.941637785714285,3.493007,119,33280,1.9027973271489178,0.8683359662749484,0.00774388825802532,3.328583081342054
0,1.07,hot-cold,512,99.70007,0.13844528571428572,99.83851528571428,14.39106857142857,408,262656,0.04359614013525232,0.0,0.0031019761488871945,0.05985224702599482
0,1.07,hot-cold,1024,129.887526,0.14797435714285714,130.03550035714287,18.709692142857143,465,524800,0.04359614013525232,0.0,0.0031019761488871945,0.05985224702599482
0,1.25,random,8,2.49959,0.0167605,2.5163505,0.37627,2,4608,77.12719951034323,0.0,0.36571428571428555,82.77807277416244
0,1.25,random,64,13.701752,0.05757821428571427,13.759330214285715,2.011567285714286,57,33280,5.501170850394131,2.425202118103236,0.025268391216002013,6.278084445905585
0,1.25,random,128,33.175809,0.082464,33.258273,4.821753428571428,166,66048,0.42052780054890565,0.0,0.0044694925152985775,1.169736540914847
0,1.25,random,16,2.809268,0.016411500000000002,2.8256794999999997,0.42031528571428567,2,8704,77.12719951034323,0.0,0.36571428571428555,82.77807277416244
0,1.25,random,32,3.605066,0.0224355,3.6275014999999997,0.5395724285714285,10,16896,37.499701076396555,0.0,0.2385732952826259,54.91197376845419
0,1.25,random,1024,126.917555,0.16055864285714286,127.07811364285713,18.29827314285714,482,524800,0.0,0.0,0.002131201322436232,0.0
0,1.25,random,512,91.603711,0.13855749999999997,91.74226850000001,13.231154,406,262656,0.0,0.0,0.002131201322436232,0.16641966551569354
0,1.25,random,256,59.404247,0.11077192857142858,59.51501892857143,8.600648857142856,289,131584,0.11535481960215208,0.0,0.0033165830582987782,0.16641966551569354
0,1.25,local,256,60.968871,0.11760407142857143,61.08647507142857,8.836763,313,131584,1.6706981179515588,1.0650292859834178,0.004348767016523104,0.9546909224175592
0,1.25,local,1024,125.087977,0.15258214285714283,125.24055914285714,18.031885428571428,495,524800,0.0,0.0,0.003406123970392539,0.0
0,1.25,local,128,35.16132,0.09246707142857144,35.253787071428576,5.119659285714286,186,66048,1.8381408571702482,1.3662486664179334,0.003948544056265185,1.8392397405858507
0,1.25,local,64,13.319978,0.0497535,13.3697315,1.9607434285714287,76,33280,7.908591304022813,3.535693319115759,0.027960546851223334,21.558331817773286
