trial,target_cv,spatial_mode,budget_rows,budget_fraction,greedy_rows,greedy_chunks,greedy_importance,greedy_aff_ms,greedy_runtime_ms,exact_at_greedy_aff_ms,greedy_gap_pct
0,1.07,random,32,0.125,32,1,0.17421526278753138,0.015474893102842693,0.868262,0.015335080375071683,0.9117182587336625
0,1.07,random,64,0.25,64,1,0.3025828510340257,0.019948900391515013,0.545299,0.019809087663744,0.7058009442146407
0,1.07,random,96,0.375,96,1,0.4494901576145539,0.02442290768018733,0.523468,0.02428309495241632,0.5757615659988113
0,1.07,random,128,0.5,128,1,0.5568052265848308,0.028896914968859648,0.532214,0.028896914968859648,0.0
0,1.07,random,160,0.625,160,2,0.700020006688411,0.04437180807170234,0.568613,0.03560792590186813,24.61216694841084
0,1.07,random,192,0.75,192,2,0.8088719943874811,0.04884581536037466,0.56726,0.03994212046276944,22.291492776164624
0,1.07,random,224,0.875,224,1,0.891200391367782,0.04231893683487661,0.51938,0.04231893683487661,0.0
0,1.07,local,32,0.125,32,1,0.30182862832874024,0.015474893102842693,0.841782,0.015195267647300673,1.8402140852826099
0,1.07,local,64,0.25,64,1,0.4472426287200074,0.019948900391515013,0.533136,0.019948900391515013,0.0
0,1.07,local,96,0.375,96,2,0.640633616817451,0.0354237934943577,0.574784,0.02707934950783652,30.814787423554524
0,1.07,local,128,0.5,128,1,0.6996105353551169,0.028896914968859648,0.48718,0.028896914968859648,0.0
0,1.07,local,160,0.625,160,1,0.8276765573425149,0.033370922257531965,0.484325,0.033370922257531965,0.0
0,1.07,local,192,0.75,192,1,0.9028453207115724,0.03784492954620429,0.58332,0.03784492954620429,0.0
0,1.07,local,224,0.875,224,1,0.9618994209612597,0.04231893683487661,0.61517,0.04231893683487661,0.0
0,1.07,hot-cold,32,0.125,32,1,0.2651042596063996,0.015474893102842693,0.823659,0.015474893102842693,0.0
0,1.07,hot-cold,64,0.25,64,1,0.47594382761010634,0.019948900391515013,0.484515,0.019948900391515013,0.0
0,1.07,hot-cold,96,0.375,96,1,0.650778883465555,0.02442290768018733,0.506657,0.02442290768018733,0.0
0,1.07,hot-cold,128,0.5,128,2,0.7862812872524276,0.03989780078303003,0.534298,0.0295959786077147,34.80818225970057
0,1.07,hot-cold,160,0.625,160,1,0.8571606073317478,0.033370922257531965,0.566889,0.033370922257531965,0.0
0,1.07,hot-cold,192,0.75,192,1,0.9232248295970573,0.03784492954620429,0.582759,0.03784492954620429,0.0
0,1.07,hot-cold,224,0.875,224,2,0.9667045155617979,0.053319822649046986,0.683737,0.043157813201502665,23.5461639358282
0,1.25,random,32,0.125,32,1,0.16385635220110767,0.015474893102842693,0.894321,0.015195267647300673,1.8402140852826099
0,1.25,random,64,0.25,64,1,0.29207889334303144,0.019948900391515013,0.509942,0.019669274935972994,1.4216358073810609
0,1.25,random,96,0.375,96,1,0.41276272584222495,0.02442290768018733,0.51361,0.0240034694968743,1.7474064879147821
0,1.25,random,128,0.5,128,1,0.5188301154245631,0.028896914968859648,0.495987,0.028477476785546622,1.4728769211951542
0,1.25,random,160,0.625,160,1,0.6415711502865349,0.033370922257531965,0.483463,0.03295148407421894,1.2728961838814223
0,1.25,random,192,0.75,192,2,0.7911805763705418,0.04884581536037466,0.520182,0.038543993185059335,26.72743876290582
0,1.25,random,224,0.875,224,2,0.907914075524194,0.053319822649046986,0.502278,0.042179124107105594,26.412825723103637
0,1.25,local,32,0.125,32,1,0.33645659068983386,0.015474893102842693,0.833677,0.015474893102842693,0.0
0,1.25,local,64,0.25,64,1,0.5501374213053658,0.019948900391515013,0.49241,0.019809087663744,0.7058009442146407
0,1.25,local,96,0.375,96,2,0.6942043130978982,0.0354237934943577,0.538887,0.025121971319042383,41.007220510225515
0,1.25,local,128,0.5,128,2,0.7734934271904537,0.03989780078303003,0.539458,0.030994105885424797,28.727058397875126
0,1.25,local,160,0.625,160,3,0.8526031335927571,0.055372693885872716,0.587668,0.03728567863512025,48.50928268666641
0,1.25,local,192,0.75,192,3,0.9124471696830101,0.05984670117454503,0.641619,0.04175968592379257,43.31214387905009
0,1.25,local,224,0.875,224,3,0.9652725384139369,0.06432070846321736,0.741826,0.044975378662525795,43.0131560333263
0,1.25,hot-cold,32,0.125,32,1,0.3081972354607134,0.015474893102842693,0.860388,0.015474893102842693,0.0
0,1.25,hot-cold,64,0.25,64,1,0.5121865853030916,0.019948900391515013,0.505504,0.019948900391515013,0.0
0,1.25,hot-cold,96,0.375,96,1,0.6432200377006796,0.02442290768018733,0.48702,0.02442290768018733,0.0
0,1.25,hot-cold,128,0.5,128,2,0.7424453438405325,0.03989780078303003,0.530661,0.029176540424401667,36.74616730659981
0,1.25,hot-cold,160,0.625,160,1,0.8354288325997792,0.033370922257531965,0.555819,0.033370922257531965,0.0
0,1.25,hot-cold,192,0.75,192,1,0.9169756288290122,0.03784492954620429,0.623515,0.03784492954620429,0.0
0,1.25,hot-cold,224,0.875,224,1,0.9698091046145687,0.04231893683487661,0.612003,0.04231893683487661,0.0
0,1.44,random,32,0.125,32,1,0.16237980576781913,0.015474893102842693,0.868262,0.015335080375071683,0.9117182587336625
0,1.44,random,64,0.25,64,1,0.2803630169094193,0.019948900391515013,0.498772,0.019669274935972994,1.4216358073810609
0,1.44,random,96,0.375,96,1,0.41331706722326744,0.02442290768018733,0.48715,0.02428309495241632,0.5757615659988113
0,1.44,random,128,0.5,128,1,0.5438971580632838,0.028896914968859648,0.469547,0.028896914968859648,0.0
0,1.44,random,160,0.625,160,1,0.6497165293046989,0.033370922257531965,0.48714,0.033091296801989946,0.8450120804126549
0,1.44,random,192,0.75,192,2,0.8039915731420295,0.04884581536037466,0.532475,0.03896343136837237,25.36322814736507
0,1.44,random,224,0.875,224,2,0.9066089929218359,0.053319822649046986,0.526022,0.043157813201502665,23.5461639358282
0,1.44,local,32,0.125,32,1,0.3615873882624409,0.015474893102842693,0.890453,0.015474893102842693,0.0
0,1.44,local,64,0.25,64,1,0.5100007597955853,0.019948900391515013,0.547043,0.019669274935972994,1.4216358073810609
0,1.44,local,96,0.375,96,2,0.7052177037920677,0.0354237934943577,0.523468,0.02582103495789743,37.189673272655725
0,1.44,local,128,0.5,128,2,0.7908988819795952,0.03989780078303003,0.51369,0.029735791335485706,34.17433668703922
0,1.44,local,160,0.625,160,2,0.8454542461474737,0.04437180807170234,0.570015,0.03295148407421894,34.6579958940866
0,1.44,local,192,0.75,192,1,0.9131150777288394,0.03784492954620429,0.603287,0.03784492954620429,0.0
0,1.44,local,224,0.875,224,1,0.9667571945841943,0.04231893683487661,0.714685,0.04231893683487661,0.0
0,1.44,hot-cold,32,0.125,32,1,0.3212363083217741,0.015474893102842693,0.829259,0.015335080375071683,0.9117182587336625
0,1.44,hot-cold,64,0.25,64,1,0.556764580631804,0.019948900391515013,0.495465,0.019948900391515013,0.0
0,1.44,hot-cold,96,0.375,96,2,0.7061126994876982,0.0354237934943577,0.522507,0.02484234586350036,42.59439784390147
0,1.44,hot-cold,128,0.5,128,1,0.7990846519734568,0.028896914968859648,0.529971,0.028896914968859648,0.0
0,1.44,hot-cold,160,0.625,160,1,0.879927641739019,0.033370922257531965,0.542935,0.033370922257531965,0.0
0,1.44,hot-cold,192,0.75,192,1,0.9357049623307077,0.03784492954620429,0.626631,0.03784492954620429,0.0
0,1.44,hot-cold,224,0.875,224,1,0.9728476292311165,0.04231893683487661,0.689549,0.04231893683487661,0.0
0,2.48,random,32,0.125,32,1,0.20491805980424666,0.015474893102842693,0.855849,0.015195267647300673,1.8402140852826099
0,2.48,random,64,0.25,64,1,0.33516379803346874,0.019948900391515013,0.516745,0.019948900391515013,0.0
0,2.48,random,96,0.375,96,1,0.47149296572145605,0.02442290768018733,0.496298,0.0240034694968743,1.7474064879147821
0,2.48,random,128,0.5,128,1,0.569818688753823,0.028896914968859648,0.48164,0.028896914968859648,0.0
