trial,target_cv,spatial_mode,budget_fraction,budget_rows,target_importance,method,chunk_rows,is_saturated
0,1.07,random,0.5,2432,0.5687722118795482,global_chain,142,True
0,1.07,random,0.5,2432,0.5687722118795482,global_chain,140,True
0,1.07,random,0.5,2432,0.5687722118795482,global_chain,135,True
0,1.07,random,0.5,2432,0.5687722118795482,global_chain,142,True
0,1.07,random,0.5,2432,0.5687722118795482,global_chain,160,True
0,1.07,random,0.5,2432,0.5687722118795482,global_chain,172,True
0,1.07,random,0.5,2432,0.5687722118795482,global_chain,134,False
0,1.07,random,0.5,2432,0.5687722118795482,global_chain,133,False
0,1.07,random,0.5,2432,0.5687722118795482,global_chain,186,True
0,1.07,random,0.5,2432,0.5687722118795482,global_chain,168,True
0,1.07,random,0.5,2432,0.5687722118795482,global_chain,136,True
0,1.07,random,0.5,2432,0.5687722118795482,global_chain,150,True
0,1.07,random,0.625,3040,0.689506010423617,paper,84,False
0,1.07,random,0.625,3040,0.689506010423617,paper,132,False
0,1.07,random,0.625,3040,0.689506010423617,paper,96,False
0,1.07,random,0.625,3040,0.689506010423617,paper,144,True
0,1.07,random,0.625,3040,0.689506010423617,paper,96,False
0,1.07,random,0.625,3040,0.689506010423617,paper,90,False
0,1.07,random,0.625,3040,0.689506010423617,paper,144,True
0,1.07,random,0.625,3040,0.689506010423617,paper,96,False
0,1.07,random,0.625,3040,0.689506010423617,paper,78,False
0,1.07,random,0.625,3040,0.689506010423617,paper,144,True
0,1.07,random,0.625,3040,0.689506010423617,paper,96,False
0,1.07,random,0.625,3040,0.689506010423617,paper,126,False
0,1.07,random,0.625,3040,0.689506010423617,paper,54,False
0,1.07,random,0.625,3040,0.689506010423617,paper,126,False
0,1.07,random,0.625,3040,0.689506010423617,paper,270,True
0,1.07,random,0.625,3040,0.689506010423617,paper,144,True
0,1.07,random,0.625,3040,0.689506010423617,paper,78,False
0,1.07,random,0.625,3040,0.689506010423617,paper,78,False
0,1.07,random,0.625,3040,0.689506010423617,paper,144,True
0,1.07,random,0.625,3040,0.689506010423617,paper,96,False
0,1.07,random,0.625,3040,0.689506010423617,paper,288,True
0,1.07,random,0.625,3040,0.689506010423617,paper,96,False
0,1.07,random,0.625,3040,0.689506010423617,paper,126,False
0,1.07,random,0.625,3040,0.689506010423617,paper,144,True
0,1.07,random,0.625,3040,0.689506010423617,paper,66,False
0,1.07,random,0.625,3040,0.689506010423617,global_chain,133,False
0,1.07,random,0.625,3040,0.689506010423617,global_chain,183,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,187,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,130,False
0,1.07,random,0.625,3040,0.689506010423617,global_chain,137,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,156,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,140,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,135,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,187,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,160,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,172,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,161,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,137,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,165,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,145,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,149,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,168,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,136,True
0,1.07,random,0.625,3040,0.689506010423617,global_chain,261,True
0,1.07,random,0.75,3648,0.8055903503890303,paper,84,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,132,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,96,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,78,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,144,True
0,1.07,random,0.75,3648,0.8055903503890303,paper,96,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,78,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,90,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,144,True
0,1.07,random,0.75,3648,0.8055903503890303,paper,96,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,78,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,144,True
0,1.07,random,0.75,3648,0.8055903503890303,paper,96,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,126,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,96,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,126,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,18,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,270,True
0,1.07,random,0.75,3648,0.8055903503890303,paper,144,True
0,1.07,random,0.75,3648,0.8055903503890303,paper,144,True
0,1.07,random,0.75,3648,0.8055903503890303,paper,78,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,78,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,288,True
0,1.07,random,0.75,3648,0.8055903503890303,paper,96,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,288,True
0,1.07,random,0.75,3648,0.8055903503890303,paper,96,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,108,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,126,False
0,1.07,random,0.75,3648,0.8055903503890303,paper,144,True
0,1.07,random,0.75,3648,0.8055903503890303,paper,66,False
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,161,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,179,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,183,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,187,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,144,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,137,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,200,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,140,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,135,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,195,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,160,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,182,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,161,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,137,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,174,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,160,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,181,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,168,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,126,False
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,150,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,205,True
0,1.07,random,0.75,3648,0.8055903503890303,global_chain,150,True
0,1.07,random,0.875,4256,0.9092773998510222,paper,84,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,132,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,96,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,78,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,204,True
0,1.07,random,0.875,4256,0.9092773998510222,paper,96,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,78,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,90,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,240,True
0,1.07,random,0.875,4256,0.9092773998510222,paper,96,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,78,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,144,True
0,1.07,random,0.875,4256,0.9092773998510222,paper,108,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,96,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,126,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,96,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,126,False
0,1.07,random,0.875,4256,0.9092773998510222,paper,324,True
0,1.07,random,0.875,4256,0.9092773998510222,paper,216,True
0,1.07,random,0.875,4256,0.9092773998510222,paper,144,True
0,1.07,random,0.875,4256,0.9092773998510222,paper,78,False
