method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,selector_total_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,chunks,row_match_rate,fallback_rate
cell1_abs_lookup,Cell-1 |x| lookup,abs,0,0.1,63,0.4343855161400333,0.4015387856715047,0.03284673046852856,0.09241601587301586,0.12526274634154444,0.257001373015873,0.09009400793650792,0.11818611904761904,0.015021206352800557,0.03710019042981518,0.8092977901299795,0.39886651720319477,0.14666079907190227,0.1000786323051948,4.761904761904762,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,1,0.15,63,0.4845699290173631,0.45172319854883447,0.03284673046852856,0.09235342063492064,0.1252001511034492,0.29591225396825394,0.0871176984126984,0.16561941269841265,0.01515936504103357,0.04829815890462621,0.7589145515646253,0.33706268810090567,0.2042042558628415,0.14992136769480519,6.666666666666667,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,2,0.2,63,0.5587918894048343,0.5259451589363056,0.03284673046852856,0.09224580158730157,0.12509253205583015,0.36549364285714286,0.1019842222222222,0.21918780158730156,0.015457015957624153,0.05274869853423696,0.7142909209406565,0.29449893179393943,0.26115677730431625,0.2001572646103896,8.031746031746032,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,3,0.25,63,0.6380096433651248,0.6051629128965962,0.03284673046852856,0.09618114285714284,0.12902787332567142,0.4405266587301587,0.11722002380952379,0.2751932222222222,0.016262603125401863,0.052192508183892705,0.6499873425752397,0.23772147628996104,0.3223625875654675,0.25,9.555555555555555,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,4,0.3,63,0.7161063341334784,0.6832596036649498,0.03284673046852856,0.09693873809523808,0.1297854685637667,0.5031929920634921,0.13209442063492063,0.3227340396825397,0.01571504767274569,0.06741282583347383,0.6073284324199434,0.2025332904997326,0.3756800000629728,0.29984273538961037,10.492063492063492,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,5,0.35,63,0.8259558327474661,0.7931091022789375,0.03284673046852856,0.09964707936507934,0.13249380983360795,0.5882170714285715,0.15534749999999997,0.38310657936507936,0.01628292054824881,0.08896203093703772,0.5733084688110958,0.17761082592464625,0.42604115794575403,0.3500786323051948,11.079365079365079,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,6,0.4,63,0.9025360476654778,0.8696893171969492,0.03284673046852856,0.10056115873015872,0.13340788919868732,0.657517746031746,0.1734332222222222,0.4334686825396825,0.01583898411915884,0.09577142831588543,0.537040137582355,0.15476237119190273,0.4733107950952318,0.3999213676948052,11.666666666666666,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,7,0.45,63,0.9747252461991907,0.9418785157306621,0.03284673046852856,0.09804449206349204,0.13089122253202065,0.7401519920634921,0.20348623809523808,0.48447473015873016,0.015417904770445204,0.08826412683323258,0.500837928837254,0.1342600886783902,0.5206517184537555,0.45015726461038963,11.746031746031745,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,8,0.5,63,1.0495581983026587,1.01671146783413,0.03284673046852856,0.10390211904761905,0.1367488495161476,0.8088007142857143,0.2287851984126984,0.524133865079365,0.016646095241109476,0.08736253925968726,0.44522620441894684,0.10966935801127597,0.5774491183341496,0.5,12.126984126984127,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,9,0.55,63,1.1571100799145178,1.124263349445989,0.03284673046852856,0.10546557936507935,0.13831230983360795,0.9010291349206349,0.2566909682539682,0.5830720158730158,0.016545015830723958,0.10122361932955087,0.4099959083019741,0.09355184956202427,0.6238099828598991,0.5498427353896104,12.063492063492063,1.0,0.0
