method,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,order
paper,0.03284673046852856,0.4189023288982237,1.016547827995375,0.017604176558713037,0.11378112764819168,0
cell1_abs_lookup,0.03284673046852856,0.10662998735204252,1.0777396339805054,0.0178856784900536,0.1294033668877963,1
cell1_abs_twoline,0.03284673046852856,0.10601334693714955,1.0746911197413334,0.017957847940977077,0.1296405375057454,2
cell1_x2_lookup,0.03983593670030431,0.10159668438155074,1.050758192673776,0.01753717446283053,0.12710354090704296,3
cell1_x2_twoline,0.03983593670030431,0.10512618217328089,1.050055123492786,0.017623109029565463,0.12702919372101895,4
