error_ceiling,score_kind,lookup_total_ms,twoline_total_ms,twoline_gain_pct,selector_delta_ms,read_wall_delta_ms,chunk_delta
0.5,abs,0.9758527906010273,0.9557563309107013,2.0593741068208167,0.0010278832437780605,-0.022961171559756632,0.14244287634098995
0.5,x2,0.929378318018493,0.9350027115164985,-0.6051780409507638,0.0027676770098676307,0.0020873962015292014,0.046749093061375646
0.45,abs,1.0431344231040767,1.039181326720043,0.37896327611070757,-0.0016838788939519816,-0.0025861818284587113,0.010932710470708429
0.45,x2,1.0158606523691844,1.019004918777772,-0.3095174915235303,0.002889662782963612,-1.4409851179286726e-05,0.01499608123027052
0.42,abs,1.1265693520600646,1.131094784703331,-0.40170031565221886,-0.0017883077459773938,0.005865094806284277,-0.0004617861436706505
0.42,x2,1.0870663286173108,1.084640020694342,0.2231977809537022,0.0026399685282317287,-0.004720948639204692,0.004546943018596039
0.4,abs,1.1973713054966821,1.20114538603852,-0.3151971760566186,-0.001595544844507038,0.004992276998188716,-0.00090497862063188
0.4,x2,1.1618034733493712,1.1532886619790446,0.7328960160343819,0.0005689052916268145,-0.008569166995787802,0.005265743403828793
0.35,abs,1.357042510581123,1.352183773980523,0.35803864379454514,-0.0009429482804586276,-0.004285986420272003,0.0038235602978122785
0.35,x2,1.3049320935724886,1.312953298677608,-0.6146837176147522,0.003797598875125943,0.004094583499083315,0.013799886579400678
0.3,abs,1.4779598095621649,1.4765000998612103,0.09876518234869841,0.0016741381006957073,-0.0031303096848509515,0.0028867936511129955
0.3,x2,1.4244789584751822,1.4433226121158989,-1.32284534837128,0.0031967132765281375,0.015928803195613073,3.39522696819472e-05
0.25,abs,1.5545511717338796,1.55255255790333,0.1285653291374448,0.0018853864572996454,-0.0036082821624461303,0.009412787365739916
0.25,x2,1.5663444159417483,1.5763782940098912,-0.6405920668545976,0.007305865513727583,0.002700516832016442,0.005389703828651449
0.2,abs,1.7117654309071957,1.7091046658182565,0.15543981908368457,-0.0017855357883554829,-0.0005637708699357535,0.0032246384561060992
0.2,x2,1.7177211320955168,1.7134626443097074,0.24791496746705882,0.0024115466812010405,-0.006633782163792956,0.016885563860130404
0.15,abs,1.836301780564124,1.8328273174076917,0.18920981252683405,-0.0023409559825596227,-0.0011582974313011363,0.0011100750242984958
0.15,x2,1.8238983896902459,1.818972743971838,0.2700614105616075,0.006187542166298729,-0.01120061470718614,0.0015178227186449789
