score_kind,cases,same_mask_rate,error_delta_mean,error_delta_abs_mean,actual_total_delta_ms,selector_delta_ms,read_wall_delta_ms,chunk_delta
abs,1134,0.7795414462081128,-0.001689901004662011,0.0018838190825120574,-0.001159347479694106,-0.0005336534391534387,-0.0005958104056437371,0.03527336860670194
x2,1134,0.7530864197530864,-0.0014682026740945426,0.0016824143891086452,0.0035275322048822304,0.0026703902116402127,0.00086481746031746,0.03262786596119929
