shape,shape_index,n,d,row_size_kib,paper_start_kib,paper_jump_kib,trial,spatial_mode,budget_index,row_budget_fraction,nominal_row_budget,effective_row_budget,paper_underfill_rows,track,method,method_label,repetition,runtime_ms
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,top_r,Top-R,22,0.032581
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,top_r,Top-R,23,0.033833
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,top_r,Top-R,24,0.039764
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,top_r,Top-R,25,0.032841
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,top_r,Top-R,26,0.032712
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,top_r,Top-R,27,0.032872
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,top_r,Top-R,28,0.032832
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,top_r,Top-R,29,0.032982
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",0,0.550979
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",1,0.532035
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",2,0.515073
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",3,0.886467
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",4,0.868363
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",5,0.581897
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",6,0.525643
