track,method,method_label,candidate_method,safe_shape_count,safe_shapes,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean
host,hybrid_fixed_r_mu4,"Shape hybrid: Fixed-R 2L (rho1, mu4)",fixed_r_mu4,4,4864x896;896x128;896x4864;896x896,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1646875,1.3897915049999994,1.6771437999999996,-6.327647353444175,-2.341018826269181,0.3333333333333333,-5.273482520907595,0.421875,1.4695280930328103,0.3880208333333333,-38.862511543463604,-6.429901912647296,0.421875,0.0625,-0.030175472097333633,-0.007842249999999995,0.5234375,4.0,736.3046875,0.0,0.0,0.5
host,hybrid_fixed_r_d2_mu4,"Shape hybrid: Fixed-R 2L (rho2, mu4)",fixed_r_d2_mu4,3,896x128;896x4864;896x896,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25025775,0.40341390249999987,0.6815308499999984,4.225577140469869,0.0,0.4609375,5.450485436134902,0.5416666666666666,-2.949767474208329,0.3020833333333333,5.766666965197561,1.4747346577720144,0.8984375,0.2942708333333333,0.006920916542916339,0.019754750000000015,0.2109375,8.0,442.0208333333333,0.0,0.0,0.5
cuda,hybrid_fixed_r_mu4,"Shape hybrid: Fixed-R 2L (rho1, mu4)",fixed_r_mu4,3,896x128;896x4864;896x896,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.231901,0.36246579249999983,0.5600922499999991,-4.039213399076093,0.0,0.3203125,-2.896613208635033,0.3958333333333333,1.2659038556707145,0.4973958333333333,-35.296752021578556,-2.498896546582907,0.6510416666666666,0.3046875,-0.011727299115903658,0.0,0.3411458333333333,4.0,215.13802083333334,0.0,0.0,0.5
cuda,hybrid_fixed_r_d2_mu4,"Shape hybrid: Fixed-R 2L (rho2, mu4)",fixed_r_d2_mu4,3,896x128;896x4864;896x896,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.31633374999999997,0.49626440499999985,0.7453569499999998,4.225577140469869,0.0,0.4609375,5.450485436134902,0.5416666666666666,-2.949767474208329,0.3020833333333333,5.766666965197561,1.4747346577720144,0.8984375,0.2942708333333333,0.006920916542916339,0.07330950000000006,0.041666666666666664,8.0,442.0208333333333,0.0,0.0,0.5
