method,method_label,cases,coverage_success_rate,row_budget_success_rate,paper_row_budget_success_rate,valid_and_deadline_pass_rate,row_budget_valid_and_deadline_pass_rate,deadline_pass_rate,cpu_deadline_pass_rate,gpu_faster_case_rate,deterministic_rate,legacy_mask_match_rate,legacy_two_line_max_abs_delta_ms,runtime_wall_median_ms,runtime_wall_case_p95_ms,runtime_wall_worst_case_p95_ms,runtime_event_median_ms,runtime_event_case_p95_ms,runtime_event_worst_case_p95_ms,runtime_cpu_legacy_median_ms,runtime_cpu_legacy_case_p95_ms,runtime_cpu_legacy_worst_case_p95_ms,gpu_wall_over_cpu_median_ratio,lookup_saving_pct_mean,lookup_saving_pct_median,lookup_saving_pct_weighted,lookup_nonregression_rate,two_line_saving_pct_mean,two_line_saving_pct_weighted,rows_mean,chunks_mean,importance_overshoot_mean
tiles_half_s,Tiles (s/2),384,1.0,0.010416666666666666,0.018229166666666668,1.0,0.010416666666666666,1.0,1.0,0.0,1.0,0.984375,0.0061037296395761,0.711605,0.84250952,1.4727403,0.6988800168037415,0.8223334330320358,1.453823971748352,0.07764024999999995,0.145048985,0.1869671499999999,10.04692131673714,1.9717657942604607,0.0,0.07510793623994871,0.5078125,3.3637415765275382,1.4028021200262586,1289.9895833333333,7.776041666666667,0.026193543010361777
tiles_s,Tiles (s),384,1.0,0.0026041666666666665,0.018229166666666668,1.0,0.0026041666666666665,1.0,1.0,0.0,1.0,0.9270833333333334,2.220446049250313e-16,0.7081435,0.8679585974999998,1.3923670499999998,0.6963199973106384,0.8551270283758639,1.3691840291023254,0.055386000000000005,0.0978800774999999,0.1437505499999999,13.566131656519385,-0.6512454752023312,-0.9022838653820586,-0.584384784147951,0.3697916666666667,1.4941058893237653,1.4714445648280505,1334.3645833333333,4.283854166666667,0.05051830090711152
tiles_2s,Tiles (2s),384,1.0,0.0026041666666666665,0.018229166666666668,1.0,0.0026041666666666665,1.0,1.0,0.0,1.0,0.9713541666666666,2.220446049250313e-16,0.70834375,0.8826253174999996,1.5623706999999996,0.6957839876413345,0.8633471110463138,1.5422319769859305,0.044548500000000005,0.07820496499999989,0.1071885999999999,16.780729350476687,-3.8500730346294962,-3.368026228544907,-3.280615157762612,0.25,-1.5530460190919373,-1.182649012206305,1362.65625,2.515625,0.0633234491608753
