shape,n,d,row_size_kib,method,method_label,tile_length,cases,coverage_success_rate,row_budget_success_rate,paper_row_budget_success_rate,valid_and_deadline_pass_rate,row_budget_valid_and_deadline_pass_rate,deadline_pass_rate,cpu_deadline_pass_rate,gpu_faster_case_rate,deterministic_rate,legacy_mask_match_rate,legacy_two_line_max_abs_delta_ms,runtime_wall_median_ms,runtime_wall_case_p95_ms,runtime_wall_worst_case_p95_ms,runtime_event_median_ms,runtime_event_case_p95_ms,runtime_event_worst_case_p95_ms,runtime_cpu_legacy_median_ms,runtime_cpu_legacy_case_p95_ms,runtime_cpu_legacy_worst_case_p95_ms,gpu_wall_over_cpu_median_ratio,lookup_saving_pct_mean,lookup_saving_pct_median,lookup_saving_pct_weighted,lookup_nonregression_rate,two_line_saving_pct_mean,two_line_saving_pct_weighted,rows_mean,chunks_mean,importance_overshoot_mean
896x896,896,896,1.75,tiles_half_s,Tiles (s/2),68,96,1.0,0.041666666666666664,0.07291666666666667,1.0,0.041666666666666664,1.0,1.0,0.0,1.0,1.0,0.0,0.70830625,0.8470391125,1.4727403,0.6955519914627075,0.8296192072331905,1.453823971748352,0.04528699999999995,0.05694332499999993,0.07782465,15.552279999848075,0.17346630661094917,0.23489457963445365,0.4619404157957918,0.5104166666666666,2.28205284205887,2.4775932253300215,575.625,2.46875,0.022213552029784384
896x896,896,896,1.75,tiles_s,Tiles (s),135,96,1.0,0.010416666666666666,0.07291666666666667,1.0,0.010416666666666666,1.0,1.0,0.0,1.0,0.96875,2.775557561562892e-17,0.70568875,0.8627664749999998,1.1882117499999998,0.6929920017719269,0.8470304071903227,1.16792317032814,0.03863975,0.0499725249999999,0.0763385999999999,18.21376708554682,-4.441988947053407,-2.692833060801192,-3.487324232140465,0.3020833333333333,-1.6373008096724304,-0.9162506005018445,607.2395833333334,1.6458333333333333,0.04099144923591249
896x896,896,896,1.75,tiles_2s,Tiles (2s),270,96,1.0,0.010416666666666666,0.07291666666666667,1.0,0.010416666666666666,1.0,1.0,0.0,1.0,1.0,0.0,0.7088295,0.9191857874999999,1.5623706999999996,0.6960639953613281,0.9018880136311053,1.5402496397495264,0.035106,0.042891512499999895,0.0645688499999999,20.20842235189429,-11.893080546660949,-7.847827439999088,-9.334587470467625,0.19791666666666666,-8.547924491974948,-6.38989597058639,643.4583333333334,1.2604166666666667,0.07061112216177833
896x128,896,128,0.25,tiles_half_s,Tiles (s/2),472,96,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.707217,0.8152815374999999,0.8915824499999997,0.6952959895133972,0.8005887925624847,0.8749056041240689,0.033503000000000005,0.0426814249999999,0.0592963999999999,21.000127725611186,8.673230016212663,-2.7387578648341515,8.387321807406945,0.46875,9.715141300934382,9.452649808824908,690.0,1.0,0.07261659460003402
896x128,896,128,0.25,tiles_s,Tiles (s),896,96,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7044842499999999,0.8812382999999999,1.0665027499999995,0.6922240257263184,0.8673952177166937,1.0439679682254788,0.032551,0.0403383874999999,0.0548469499999999,21.62039566403994,3.0337883367565426,-2.9789608926579447,2.984148965812994,0.3958333333333333,4.475532578623814,4.3673635192671645,746.6666666666666,1.0,0.13870669705714436
896x128,896,128,0.25,tiles_2s,Tiles (2s),896,96,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.702713,0.8202519374999999,1.5577455499999993,0.6901759952306747,0.8053504027426243,1.5422319769859305,0.03238549999999995,0.0405277874999999,0.0483458999999999,21.609487515566197,3.0337883367565426,-2.9789608926579447,2.984148965812994,0.3958333333333333,4.475532578623814,4.3673635192671645,746.6666666666666,1.0,0.13870669705714436
896x4864,896,4864,9.5,tiles_half_s,Tiles (s/2),12,96,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.96875,0.0061037296395761,0.71615075,0.8337763624999999,0.9879141499999998,0.7029759883880615,0.8186747893691062,0.9739776134490966,0.113855,0.1377913999999999,0.16034115,6.176461156380094,-0.7031328744140689,-0.0481166086914564,-0.32662268689138685,0.5,1.2137193990881812,1.5785666715165902,595.9583333333334,14.354166666666666,0.0054032785911188805
896x4864,896,4864,9.5,tiles_s,Tiles (s),25,96,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8125,0.0,0.712717,0.8585957124999999,1.2700948999999997,0.7004160284996033,0.8457727923989296,1.25790239572525,0.06914424999999999,0.09101493749999998,0.1391865499999999,10.239314742623392,-0.625910317607813,-0.0828514558412707,-0.325082502734797,0.4375,2.4061790609900995,2.450007670726473,608.4166666666666,7.677083333333333,0.009202416905148034
896x4864,896,4864,9.5,tiles_2s,Tiles (2s),50,96,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.90625,2.220446049250313e-16,0.7108785,0.8638336999999999,1.1938190499999997,0.6983680129051208,0.8511208079755305,1.1717519879341125,0.0504015,0.0652960874999999,0.0803922999999999,14.054636741367029,-4.216394566413773,-4.3101473312669665,-3.5153512517794194,0.20833333333333334,-1.2409300634259681,-0.791735948563077,628.6666666666666,3.9583333333333335,0.022918902289379567
4864x896,4864,896,1.75,tiles_half_s,Tiles (s/2),68,96,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.96875,2.220446049250313e-16,0.7153095,0.8557405499999999,0.8950881499999999,0.7019519954919815,0.8378751888871192,0.8829951912164686,0.12716724999999995,0.17878906249999982,0.1869671499999999,5.507011731791064,-0.2565002713677007,0.3127141243893794,0.11514434062847023,0.5520833333333334,0.24405276402872134,0.7554856585616831,3298.375,13.28125,0.004540746820509825
4864x896,4864,896,1.75,tiles_s,Tiles (s),135,96,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9270833333333334,2.220446049250313e-16,0.71139675,0.8563386749999999,1.3923670499999998,0.6993920058012009,0.8430591925978661,1.3691840291023254,0.08661450000000001,0.1071121,0.1437505499999999,8.153150993057059,-0.5708709729046478,-0.7256120193215643,-0.45332794754640027,0.34375,0.7320127273535803,0.8209379261259087,3375.1354166666665,6.8125,0.013172640430241203
4864x896,4864,896,1.75,tiles_2s,Tiles (2s),270,96,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9791666666666666,1.1102230246251563e-16,0.711507,0.8933397999999999,1.0865384,0.6998720169067383,0.8698623925447463,1.0671471774578094,0.06789424999999999,0.0830466124999999,0.1071885999999999,10.420565156454984,-2.324605362199802,-1.9847174568840888,-2.205272661876956,0.19791666666666666,-0.8988620995906486,-0.8402013496028982,3431.8333333333335,3.84375,0.02105707513519894
