spatial_mode,method,method_label,cases,coverage_success_rate,row_budget_success_rate,paper_row_budget_success_rate,valid_and_deadline_pass_rate,row_budget_valid_and_deadline_pass_rate,deadline_pass_rate,cpu_deadline_pass_rate,gpu_faster_case_rate,deterministic_rate,legacy_mask_match_rate,legacy_two_line_max_abs_delta_ms,runtime_wall_median_ms,runtime_wall_case_p95_ms,runtime_wall_worst_case_p95_ms,runtime_event_median_ms,runtime_event_case_p95_ms,runtime_event_worst_case_p95_ms,runtime_cpu_legacy_median_ms,runtime_cpu_legacy_case_p95_ms,runtime_cpu_legacy_worst_case_p95_ms,gpu_wall_over_cpu_median_ratio,lookup_saving_pct_mean,lookup_saving_pct_median,lookup_saving_pct_weighted,lookup_nonregression_rate,two_line_saving_pct_mean,two_line_saving_pct_weighted,rows_mean,chunks_mean,importance_overshoot_mean
random,tiles_half_s,Tiles (s/2),144,1.0,0.4027777777777778,0.6458333333333334,1.0,0.4027777777777778,1.0,1.0,0.25,1.0,0.9861111111111112,0.0054464049091578,0.71696275,0.9418737824999996,1.3086639,0.704255998134613,0.9219405008852478,1.2954111993312831,0.18651849999999998,1.5231850724999998,1.7428424999999996,3.942799175083251,-5.0876433122348566,-5.233921824143495,-5.800601736898692,0.24305555555555555,-3.29854439072853,-3.896191553802164,2450.0138888888887,68.76388888888889,0.012352845071662642
random,tiles_s,Tiles (s),144,1.0,0.2152777777777778,0.6458333333333334,1.0,0.2152777777777778,1.0,1.0,0.06944444444444445,1.0,1.0,0.0,0.71746875,0.9449531824999997,1.2126829999999995,0.7045120000839233,0.9248537670075889,1.1975023984909057,0.11420849999999995,0.7799268625,0.84557625,6.494018008384037,-15.428576820052772,-11.210906656956421,-16.14089343733054,0.09722222222222222,-11.022745845745224,-11.89022031717688,2705.902777777778,35.81944444444444,0.023776691066973325
random,tiles_2s,Tiles (2s),144,1.0,0.10416666666666667,0.6458333333333334,1.0,0.10416666666666667,1.0,1.0,0.0,1.0,0.9791666666666666,0.0,0.7147057499999999,0.9380007149999998,1.36530935,0.7019519805908203,0.9252556802332399,1.3481631875038147,0.07993425,0.4169592899999995,0.6509098999999994,9.107909669838165,-27.722491808580173,-21.09649867304011,-28.112620355097185,0.0625,-23.074288993028212,-23.52159169892243,2910.9861111111113,18.34027777777778,0.031071209813947342
local,tiles_half_s,Tiles (s/2),144,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,0.25,1.0,0.9930555555555556,0.0054933566756183,0.71638425,0.8887811874999999,1.5358806,0.7027199864387512,0.8754662430286406,1.5150239825248717,0.167706,1.2782789174999998,1.5561832999999994,4.4942927673312285,-5.619571021579071,-3.9323966276049944,-3.2956840143108845,0.18055555555555555,-4.105767584017162,-1.9125220155630673,1261.7430555555557,27.680555555555557,0.016496270467330865
local,tiles_s,Tiles (s),144,1.0,0.8541666666666666,1.0,1.0,0.8541666666666666,1.0,1.0,0.020833333333333332,1.0,0.9930555555555556,0.0,0.71816725,0.9083862274999999,1.7542616499999997,0.7055360078811646,0.8913744883239267,1.7373647987842555,0.1029525,0.6731406175,0.76978505,6.56104017986919,-22.179397618215077,-20.012928713681553,-13.319236592056427,0.041666666666666664,-17.633944075848863,-10.364220115693644,1484.9722222222222,18.65277777777778,0.024995128481568638
local,tiles_2s,Tiles (2s),144,1.0,0.7430555555555556,1.0,1.0,0.7430555555555556,1.0,1.0,0.0,1.0,0.9791666666666666,0.0,0.718255,0.8658770474999998,0.9832954499999996,0.7055360078811646,0.8484402990341184,0.9700864255428312,0.07464699999999999,0.3742153774999999,0.4996642499999998,9.027189649835908,-48.18939998408573,-42.75392386344631,-31.50731279846419,0.034722222222222224,-42.52626864364052,-28.137763768106883,1760.5416666666667,12.180555555555555,0.03075293388984357
hot-cold,tiles_half_s,Tiles (s/2),144,1.0,0.9722222222222222,1.0,1.0,0.9722222222222222,1.0,1.0,0.25,1.0,1.0,0.0,0.71753625,0.938342639999999,1.42849795,0.7047680020332336,0.910758368074893,1.4087760031223295,0.16143174999999996,1.3132315699999997,1.75216665,4.672825454001931,2.8210727191308953,1.466074720602789,0.3044532243647091,0.6458333333333334,5.211602352939234,2.0445649962363754,1376.5347222222222,20.65972222222222,0.015646360383957707
hot-cold,tiles_s,Tiles (s),144,1.0,0.9513888888888888,1.0,1.0,0.9513888888888888,1.0,1.0,0.0,1.0,1.0,0.0,0.7186334999999999,0.9124077049999992,1.05688795,0.7057919949293137,0.8972466953098768,1.0434848189353942,0.10121675,0.684325455,0.7969565499999998,6.761651384761747,-2.729280259694839,-1.4399947630864163,-2.5563337908063977,0.4375,0.5904202096652325,0.06198890298871884,1433.7847222222222,8.902777777777779,0.029478630372196626
hot-cold,tiles_2s,Tiles (2s),144,1.0,0.9305555555555556,1.0,1.0,0.9305555555555556,1.0,1.0,0.0,1.0,0.9930555555555556,0.0,0.7173912499999999,0.8696518449999998,1.5586228999999987,0.7047680020332336,0.8539519943296907,1.5358752250671373,0.07260825,0.3610416099999999,0.6166186,10.39680840630314,-7.826681628717811,-5.053497430361209,-6.054971396373854,0.3055555555555556,-4.3365715138574865,-3.3856097989367617,1472.9305555555557,3.9722222222222223,0.03609019449056808
