projection,method,method_label,cases,coverage_success_rate,row_budget_success_rate,paper_row_budget_success_rate,valid_and_deadline_pass_rate,row_budget_valid_and_deadline_pass_rate,deadline_pass_rate,cpu_deadline_pass_rate,gpu_faster_case_rate,deterministic_rate,legacy_mask_match_rate,legacy_two_line_max_abs_delta_ms,runtime_wall_median_ms,runtime_wall_case_p95_ms,runtime_wall_worst_case_p95_ms,runtime_event_median_ms,runtime_event_case_p95_ms,runtime_event_worst_case_p95_ms,runtime_cpu_legacy_median_ms,runtime_cpu_legacy_case_p95_ms,runtime_cpu_legacy_worst_case_p95_ms,gpu_wall_over_cpu_median_ratio,lookup_saving_pct_mean,lookup_saving_pct_median,lookup_saving_pct_weighted,lookup_nonregression_rate,two_line_saving_pct_mean,two_line_saving_pct_weighted,rows_mean,chunks_mean,importance_overshoot_mean
q_proj,tiles_half_s,Tiles (s/2),45,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.705729,0.9440268399999994,1.4727403,0.6932479739189148,0.9210675334930415,1.453823971748352,0.0455804999999999,0.06693961999999988,0.07782465,15.349419741540553,-1.398179941863527,-1.26600709486151,-0.9479287703980432,0.37777777777777777,0.38716052007985435,0.8328916551871957,618.5777777777778,2.7111111111111112,0.023045525555983916
q_proj,tiles_s,Tiles (s),45,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9333333333333333,2.775557561562892e-17,0.7067665000000001,0.86547137,1.1882117499999998,0.6927359998226166,0.8521113491058349,1.16792317032814,0.038978,0.05862287999999992,0.0763385999999999,18.11159025571191,-6.254435474797138,-3.4442663057224543,-4.566602119796248,0.26666666666666666,-3.5833763633035645,-2.1581133733682423,650.8444444444444,1.6666666666666667,0.04534124601926624
q_proj,tiles_2s,Tiles (2s),45,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7094754999999999,1.2646605899999996,1.5623706999999996,0.696832001209259,1.2480095911026,1.5402496397495264,0.035181,0.0434686799999999,0.0645688499999999,20.274142861187396,-8.853780940147637,-3.4442663057224543,-6.45672687835539,0.2222222222222222,-5.717096378101111,-3.690970978803776,666.0222222222222,1.3777777777777778,0.05835962679641341
k_proj,tiles_half_s,Tiles (s/2),45,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.707878,0.8437415599999999,0.8915824499999997,0.6952959895133972,0.814008336663246,0.8749056041240689,0.033448,0.042102649999999894,0.0466510999999999,21.16764771626556,8.923892431980596,-2.7387578648341515,8.683803159079407,0.4666666666666667,9.90197958394753,9.669973467477078,689.8666666666667,1.0,0.07230440930550681
k_proj,tiles_s,Tiles (s),45,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.704592,0.9049610499999999,1.0665027499999995,0.6922240257263184,0.8906751942634581,1.0439679682254788,0.032576,0.0399037799999999,0.0548469499999999,21.63732502455796,3.29293480118802,-2.9789608926579447,3.2828098737501032,0.4,4.666850395626634,4.584283717914984,746.6666666666666,1.0,0.1383936898087914
k_proj,tiles_2s,Tiles (2s),45,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.704326,0.8200601799999998,1.5577455499999993,0.6912000179290771,0.8049663859605788,1.5422319769859305,0.0323704999999999,0.042883499999999894,0.0483458999999999,21.75437137002973,3.29293480118802,-2.9789608926579447,3.2828098737501032,0.4,4.666850395626634,4.584283717914984,746.6666666666666,1.0,0.1383936898087914
gate_proj,tiles_half_s,Tiles (s/2),45,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9777777777777777,0.0061037296395761,0.7162185,0.8597716899999999,0.9879141499999998,0.7029759883880615,0.8439705550670622,0.9739776134490966,0.114323,0.14245502999999993,0.16034115,6.211199026171638,-0.5363380959244644,0.4061068345869278,-0.1372555399249853,0.5777777777777777,1.413632680581191,1.8144266601542336,596.2666666666667,14.222222222222221,0.005737321016611004
gate_proj,tiles_s,Tiles (s),45,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8222222222222222,0.0,0.715457,0.8946792599999999,1.2700948999999997,0.7034879922866821,0.8550092828273771,1.25790239572525,0.0691845,0.0921950099999999,0.1391865499999999,10.266146769208651,-0.5877368414933507,-0.0988467588012964,-0.2485689104124722,0.4666666666666667,2.4629029356521315,2.5579680183588804,608.9333333333333,7.5777777777777775,0.009426915546048407
gate_proj,tiles_2s,Tiles (2s),45,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8444444444444444,2.220446049250313e-16,0.7093455,0.8935835499999997,1.1938190499999997,0.696832001209259,0.8794726282358166,1.1717519879341125,0.0505899999999999,0.06923123999999989,0.0803922999999999,13.96424977804084,-4.164522440790547,-4.738838655503574,-3.440559351506378,0.2222222222222222,-1.1727578204174418,-0.6851021348014852,629.2444444444444,3.8666666666666667,0.023175678214292214
down_proj,tiles_half_s,Tiles (s/2),96,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.96875,2.220446049250313e-16,0.7153095,0.8557405499999999,0.8950881499999999,0.7019519954919815,0.8378751888871192,0.8829951912164686,0.12716724999999995,0.17878906249999982,0.1869671499999999,5.507011731791064,-0.2565002713677007,0.3127141243893794,0.11514434062847023,0.5520833333333334,0.24405276402872134,0.7554856585616831,3298.375,13.28125,0.004540746820509825
