model,prompt,situation,policy,family,target,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,selected_fraction_min,selected_fraction_max,search_attempts_mean,feasible_rate,fallback_calls
qwen05,test_medium_code,medium,raw_calibrated,raw,0.0,1.2703180313110352,0.6234776973724365,10.316349983215332,0.03846153989434242,4.315040588378906,13.44607162475586,9.131031036376953,168,0.6368136790077874,0.40008223684210525,0.8504464285714286,1.2261904761904763,1.0,0
qwen05,test_medium_code,medium,raw_t0.9,raw,0.9,0.9597695469856262,0.5110809803009033,3.8571174144744873,0.19230769574642181,4.315040588378906,7.400284290313721,3.0852437019348145,168,0.9402580110991766,0.8499177631578947,0.9500411184210527,1.0416666666666667,1.0,0
qwen05,test_medium_code,medium,bound_calibrated,bound,0.0,1.390481948852539,0.7294704914093018,9.678956985473633,0.012820512987673283,4.315040588378906,12.292189598083496,7.97714900970459,168,0.6295120124530075,0.45004111842105265,0.8504464285714286,1.1785714285714286,1.0,0
qwen05,test_medium_code,medium,bound_t0.9,bound,0.9,1.1296169757843018,0.5019250512123108,5.275114059448242,0.20512820780277252,4.315040588378906,8.599846839904785,4.284806251525879,168,0.9456292796723954,0.8995535714285714,0.9500411184210527,1.0238095238095237,1.0,0
qwen05,test_medium_code,medium,diag_calibrated,diag,0.0,1.4421085119247437,0.7845844626426697,11.153647422790527,0.0,4.315040588378906,13.996122360229492,9.681081771850586,168,0.5669181323845327,0.25,0.8504464285714286,1.3869047619047619,1.0,0
qwen05,test_medium_code,medium,diag_t0.9,diag,0.9,0.7122552990913391,0.28271377086639404,1.9147268533706665,0.4743589758872986,4.315040588378906,5.656743049621582,1.3417024612426758,168,0.9236580220081455,0.6500822368421053,0.9500411184210527,1.0,1.0,0
qwen05,test_long_structured,long,paper_fixed,raw,,2.768023729324341,0.757213294506073,10.011316299438477,0.02380952425301075,4.793145656585693,13.951589584350586,9.158443450927734,168,0.49994125939849626,0.4995888157894737,0.5,1.0,1.0,0
qwen05,test_long_structured,long,cell_fixed,raw,,1.8670296669006348,0.6940922737121582,9.467385292053223,0.0476190485060215,4.793145656585693,13.150811195373535,8.357666015625,168,0.5,0.5,0.5,1.0,1.0,0
qwen05,test_long_structured,long,raw_calibrated,raw,0.0,2.3372199535369873,0.7151669263839722,11.078886985778809,0.02380952425301075,4.793145656585693,14.774858474731445,9.981712341308594,168,0.5962489230889725,0.45004111842105265,0.8504464285714286,1.4464285714285714,1.0,0
qwen05,test_long_structured,long,raw_t0.9,raw,0.9,0.9207193851470947,0.45234787464141846,3.484180450439453,0.1607142835855484,4.793145656585693,7.4536452293396,2.6604995727539062,168,0.9423474982098105,0.8499177631578947,0.9500411184210527,1.0535714285714286,1.0,0
qwen05,test_long_structured,long,bound_calibrated,bound,0.0,1.7717301845550537,0.813701331615448,11.688039779663086,0.01785714365541935,4.793145656585693,14.977119445800781,10.18397331237793,168,0.6262597761143931,0.45004111842105265,0.8504464285714286,1.1964285714285714,1.0,0
qwen05,test_long_structured,long,bound_t0.9,bound,0.9,0.4158710539340973,0.08539855480194092,0.4552673101425171,0.6785714626312256,4.793145656585693,4.827003479003906,0.03385782241821289,168,0.9495155998254565,0.8995535714285714,0.9500411184210527,1.0,1.0,0
qwen05,test_long_structured,long,diag_calibrated,diag,0.0,1.6664741039276123,0.6467463374137878,10.039934158325195,0.0476190485060215,4.793145656585693,13.87295913696289,9.079813003540039,168,0.5713962291331006,0.25,0.8504464285714286,1.3214285714285714,1.0,0
qwen05,test_long_structured,long,diag_t0.9,diag,0.9,0.5700666904449463,0.169538676738739,1.3895689249038696,0.4464285671710968,4.793145656585693,5.685779094696045,0.8926334381103516,168,0.9188856977824025,0.5999177631578947,0.9500411184210527,1.0,1.0,0
smol360,test_short_korean,short,paper_fixed,raw,,1.4669774770736694,0.7042027115821838,14.236993789672852,0.0,2.2992043495178223,15.639744758605957,13.340539932250977,224,0.5,0.5,0.5,1.0,1.0,0
smol360,test_short_korean,short,cell_fixed,raw,,2.0734667778015137,0.6780343055725098,20.054222106933594,0.05050504952669144,2.2992043495178223,21.469402313232422,19.170198440551758,224,0.5,0.5,0.5,1.0,1.0,0
smol360,test_short_korean,short,raw_calibrated,raw,0.0,1.1959148645401,0.6575416326522827,11.257070541381836,0.020202020183205605,2.2992043495178223,12.924344062805176,10.625139236450195,224,0.6426339285714285,0.4,0.85,1.1339285714285714,1.0,0
smol360,test_short_korean,short,raw_t0.9,raw,0.9,0.49257034063339233,0.123862624168396,0.7334800362586975,0.5555555820465088,2.2992043495178223,2.4221150875091553,0.12291073799133301,224,0.9488839285714283,0.9,0.95,1.0,1.0,0
smol360,test_short_korean,short,bound_calibrated,bound,0.0,1.1878947019577026,0.7066047191619873,10.693381309509277,0.0,2.2992043495178223,11.928911209106445,9.629707336425781,224,0.6158482142857142,0.35,0.8,1.0669642857142858,1.0,0
smol360,test_short_korean,short,bound_t0.9,bound,0.9,0.5070791840553284,0.1282605528831482,0.7089019417762756,0.5454545617103577,2.2992043495178223,2.3945839405059814,0.09537959098815918,224,0.9486607142857141,0.8,0.95,1.0,1.0,0
smol360,test_short_korean,short,diag_calibrated,diag,0.0,1.3620285987854004,0.9254696369171143,14.592557907104492,0.0,2.2992043495178223,16.302988052368164,14.0037841796875,224,0.5685267857142857,0.35,0.8,1.3973214285714286,1.0,0
smol360,test_short_korean,short,diag_t0.9,diag,0.9,0.8014057874679565,0.34434574842453003,3.451517105102539,0.1818181872367859,2.2992043495178223,5.061300754547119,2.762096405029297,224,0.9093749999999999,0.4,0.95,1.0133928571428572,1.0,0
smol360,test_medium_code,medium,paper_fixed,raw,,1.2977832555770874,0.9840437769889832,8.061030387878418,0.012500000186264515,3.893587112426758,10.475419044494629,6.581831932067871,224,0.5,0.5,0.5,1.0,1.0,0
smol360,test_medium_code,medium,cell_fixed,raw,,1.323121428489685,0.7220081090927124,11.057568550109863,0.05000000074505806,3.893587112426758,14.60561752319336,10.712030410766602,224,0.5,0.5,0.5,1.0,1.0,0
smol360,test_medium_code,medium,raw_calibrated,raw,0.0,1.1319876909255981,0.6306548118591309,8.16358470916748,0.012500000186264515,3.893587112426758,11.44028091430664,7.546693801879883,224,0.6334821428571429,0.4,0.8,1.125,1.0,0
smol360,test_medium_code,medium,raw_t0.9,raw,0.9,0.39800766110420227,0.08141207695007324,0.44846102595329285,0.7125000357627869,3.893587112426758,3.9184508323669434,0.024863719940185547,224,0.9495535714285712,0.9,0.95,1.0,1.0,0
smol360,test_medium_code,medium,bound_calibrated,bound,0.0,1.2373260259628296,0.8510185480117798,12.328214645385742,0.0,3.893587112426758,14.88363265991211,10.990045547485352,224,0.5975446428571428,0.35,0.8,1.2321428571428572,1.0,0
smol360,test_medium_code,medium,bound_t0.9,bound,0.9,0.4236912429332733,0.09017693996429443,0.6275713443756104,0.637499988079071,3.893587112426758,3.8530654907226562,-0.04052162170410156,224,0.9477678571428569,0.75,0.95,1.0,1.0,0
smol360,test_medium_code,medium,diag_calibrated,diag,0.0,1.3329545259475708,0.8467337489128113,11.667201042175293,0.0,3.893587112426758,13.724993705749512,9.831406593322754,224,0.5629464285714285,0.25,0.85,1.0044642857142858,1.0,0
smol360,test_medium_code,medium,diag_t0.9,diag,0.9,0.8944438099861145,0.4465574026107788,4.423896312713623,0.21250000596046448,3.893587112426758,7.0423431396484375,3.1487560272216797,224,0.9129464285714285,0.15,0.95,1.0178571428571428,1.0,0
smol360,test_long_structured,long,paper_fixed,raw,,1.0653847455978394,0.7357277274131775,7.324801445007324,0.05780346691608429,4.5072455406188965,10.907987594604492,6.400742053985596,224,0.5,0.5,0.5,1.0,1.0,0
smol360,test_long_structured,long,cell_fixed,raw,,1.3152530193328857,0.9444339871406555,13.517569541931152,0.0,4.5072455406188965,16.521188735961914,12.01394271850586,224,0.5,0.5,0.5,1.0,1.0,0
smol360,test_long_structured,long,raw_calibrated,raw,0.0,1.1362885236740112,0.7647756338119507,7.242283344268799,0.005780346691608429,4.5072455406188965,10.886090278625488,6.378844738006592,224,0.6524553571428572,0.45,0.85,1.0982142857142858,1.0,0
smol360,test_long_structured,long,raw_t0.9,raw,0.9,0.4086779057979584,0.07655197381973267,0.547838032245636,0.6011560559272766,4.5072455406188965,4.6544671058654785,0.14722156524658203,224,0.9493303571428571,0.85,0.95,1.0,1.0,0
smol360,test_long_structured,long,bound_calibrated,bound,0.0,1.3820856809616089,0.9898045659065247,11.896484375,0.0,4.5072455406188965,14.899635314941406,10.392389297485352,224,0.5968749999999999,0.35,0.8,1.1964285714285714,1.0,0
smol360,test_long_structured,long,bound_t0.9,bound,0.9,0.37675416469573975,0.06653141975402832,0.43921205401420593,0.6820809245109558,4.5072455406188965,4.604100227355957,0.09685468673706055,224,0.9484374999999997,0.8,0.95,1.0,1.0,0
smol360,test_long_structured,long,diag_calibrated,diag,0.0,1.3090089559555054,0.9436344504356384,10.11976146697998,0.0,4.5072455406188965,13.223357200622559,8.71611213684082,224,0.5616071428571427,0.25,0.8,1.2366071428571428,1.0,0
smol360,test_long_structured,long,diag_t0.9,diag,0.9,0.7796162366867065,0.3571997880935669,3.979048252105713,0.16763004660606384,4.5072455406188965,7.422971725463867,2.9157261848449707,224,0.9064732142857143,0.15,0.95,1.0267857142857142,0.9955357142857143,0
tiny11,test_short_korean,short,paper_fixed,raw,,1.1358997821807861,0.6792001724243164,10.305603981018066,0.0,1.5688916444778442,11.15735912322998,9.588467597961426,154,0.5,0.5,0.5,1.0,1.0,0
tiny11,test_short_korean,short,cell_fixed,raw,,1.1058541536331177,0.6518505811691284,11.328606605529785,0.0,1.5688916444778442,12.239029884338379,10.670138359069824,154,0.5,0.5,0.5,1.0,1.0,0
tiny11,test_short_korean,short,raw_calibrated,raw,0.0,1.0684269666671753,0.6832922101020813,9.793169021606445,0.0,1.5688916444778442,10.843018531799316,9.274127006530762,154,0.5198327507010035,0.25,0.6500355113636364,1.1103896103896105,1.0,0
tiny11,test_short_korean,short,raw_t0.9,raw,0.9,0.37618398666381836,0.07096171379089355,0.2494843304157257,0.739130437374115,1.5688916444778442,1.4831023216247559,-0.08578932285308838,154,0.9469009993912337,0.7998046875,0.9501953125,1.0,1.0,0
tiny11,test_short_korean,short,bound_calibrated,bound,0.0,1.094802975654602,0.6556282043457031,10.787721633911133,0.0,1.5688916444778442,11.73167896270752,10.162787437438965,154,0.5483845211961333,0.2001953125,0.7998046875,1.1103896103896105,1.0,0
tiny11,test_short_korean,short,bound_t0.9,bound,0.9,0.35420769453048706,0.06423509120941162,0.23224695026874542,0.7971014380455017,1.5688916444778442,1.5725892782211304,0.003697633743286133,154,0.9443074015827922,0.5,0.9501953125,1.0,1.0,0
tiny11,test_short_korean,short,diag_calibrated,diag,0.0,1.0452024936676025,0.6234484910964966,7.693568229675293,0.028985507786273956,1.5688916444778442,8.470327377319336,6.901435852050781,154,0.5370113728600945,0.2001953125,0.8000710227272727,1.0649350649350648,1.0,0
tiny11,test_short_korean,short,diag_t0.9,diag,0.9,0.5057176351547241,0.12925410270690918,0.7093309760093689,0.5942029356956482,1.5688916444778442,1.94680917263031,0.3779175281524658,154,0.925475713916765,0.40003551136363635,0.9501953125,1.0,1.0,0
tiny11,test_medium_code,medium,paper_fixed,raw,,0.7494696378707886,0.2803667187690735,8.022196769714355,0.014084506779909134,2.891526460647583,9.805267333984375,6.913741111755371,154,0.5,0.5,0.5,1.0,1.0,0
tiny11,test_medium_code,medium,cell_fixed,raw,,0.7696642279624939,0.2371959686279297,7.057587623596191,0.056338027119636536,2.891526460647583,9.027933120727539,6.136406898498535,154,0.5,0.5,0.5,1.0,1.0,0
tiny11,test_medium_code,medium,raw_calibrated,raw,0.0,0.7093236446380615,0.242165207862854,6.750434875488281,0.056338027119636536,2.891526460647583,8.792722702026367,5.901196479797363,154,0.5175749543425324,0.25,0.6500355113636364,1.1948051948051948,1.0,0
tiny11,test_medium_code,medium,raw_t0.9,raw,0.9,0.2081729918718338,0.021478474140167236,0.15355880558490753,0.8450704216957092,2.891526460647583,2.844780206680298,-0.046746253967285156,154,0.9472275771103896,0.7998046875,0.9501953125,1.0,1.0,0
tiny11,test_medium_code,medium,bound_calibrated,bound,0.0,0.7310989499092102,0.2587037682533264,9.853277206420898,0.0422535203397274,2.891526460647583,11.903084754943848,9.011558532714844,154,0.5386580970520957,0.2001953125,0.7998046875,1.1623376623376624,1.0,0
tiny11,test_medium_code,medium,bound_t0.9,bound,0.9,0.20394809544086456,0.02097111940383911,0.16570010781288147,0.8873239159584045,2.891526460647583,2.8984134197235107,0.006886959075927734,154,0.9446308086444806,0.5498046875,0.9501953125,1.0,1.0,0
tiny11,test_medium_code,medium,diag_calibrated,diag,0.0,0.7526742219924927,0.245860755443573,8.06911849975586,0.056338027119636536,2.891526460647583,10.22722053527832,7.335694313049316,154,0.5158800938053424,0.2001953125,0.7998046875,1.4285714285714286,1.0,0
tiny11,test_medium_code,medium,diag_t0.9,diag,0.9,0.2550324499607086,0.03301328420639038,0.26926562190055847,0.7323943376541138,2.891526460647583,2.9705936908721924,0.07906723022460938,154,0.9245026103158206,0.40003551136363635,0.9501953125,1.0,1.0,0
tiny11,test_long_structured,long,paper_fixed,raw,,0.6264262795448303,0.21930760145187378,6.297571659088135,0.05027932673692703,3.7254116535186768,9.047591209411621,5.322179794311523,154,0.5,0.5,0.5,1.0,1.0,0
tiny11,test_long_structured,long,cell_fixed,raw,,0.75734543800354,0.3468288779258728,7.19068717956543,0.005586592014878988,3.7254116535186768,10.054374694824219,6.328963279724121,154,0.5,0.5,0.5,1.0,1.0,0
tiny11,test_long_structured,long,raw_calibrated,raw,0.0,0.6594619154930115,0.2387598156929016,5.865653038024902,0.05586592108011246,3.7254116535186768,8.696264266967773,4.970852851867676,154,0.5175743778593566,0.25,0.6999289772727273,1.2142857142857142,1.0,0
tiny11,test_long_structured,long,raw_t0.9,raw,0.9,0.16327223181724548,0.013296663761138916,0.16196875274181366,0.8044692277908325,3.7254116535186768,3.8092877864837646,0.08387613296508789,154,0.9478807325487013,0.7998046875,0.9501953125,1.0,1.0,0
tiny11,test_long_structured,long,bound_calibrated,bound,0.0,0.6226560473442078,0.19690769910812378,6.596870422363281,0.05027932673692703,3.7254116535186768,9.434815406799316,5.709403991699219,154,0.5305216135072315,0.2001953125,0.7998046875,1.4415584415584415,1.0,0
tiny11,test_long_structured,long,bound_t0.9,bound,0.9,0.162254199385643,0.013082385063171387,0.15048199892044067,0.7988826632499695,3.7254116535186768,3.789515733718872,0.06410408020019531,154,0.9449573863636364,0.5498046875,0.9501953125,1.0,1.0,0
tiny11,test_long_structured,long,diag_calibrated,diag,0.0,0.8909298777580261,0.5434051156044006,8.21452522277832,0.0,3.7254116535186768,10.899210929870605,7.173799514770508,154,0.5275498427353896,0.25,0.8499644886363636,1.4090909090909092,1.0,0
tiny11,test_long_structured,long,diag_t0.9,diag,0.9,0.19052140414714813,0.01831430196762085,0.25481435656547546,0.7374301552772522,3.7254116535186768,3.9017460346221924,0.17633438110351562,154,0.9248283233102127,0.40003551136363635,0.9501953125,1.0,1.0,0
