model,prompt,situation,policy,family,target,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,selected_fraction_min,selected_fraction_max,search_attempts_mean,feasible_rate,fallback_calls
qwen05,test_short_korean,short,paper_fixed,raw,,1.4352912902832031,0.6132923364639282,11.421250343322754,0.0,4.304563045501709,13.245039939880371,8.94047737121582,168,0.49994125939849626,0.4995888157894737,0.5,1.0,1.0,0
qwen05,test_short_korean,short,cell_fixed,raw,,2.341042995452881,0.5832377076148987,15.974987983703613,0.0,4.304563045501709,18.706710815429688,14.40214729309082,168,0.5,0.5,0.5,1.0,1.0,0
qwen05,test_short_korean,short,raw_calibrated,raw,0.0,1.3803632259368896,0.627257227897644,13.21378231048584,0.03703703731298447,4.304563045501709,15.426663398742676,11.122100830078125,168,0.6344075870479772,0.45004111842105265,0.8504464285714286,1.255952380952381,1.0,0
qwen05,test_short_korean,short,raw_t0.9,raw,0.9,0.8099214434623718,0.3632286787033081,4.004274845123291,0.18518519401550293,4.304563045501709,6.849809169769287,2.545246124267578,168,0.9393643148048693,0.8499177631578947,0.9500411184210527,1.0476190476190477,1.0,0
qwen05,test_short_korean,short,bound_calibrated,bound,0.0,1.4416770935058594,0.5955182313919067,14.551020622253418,0.03703703731298447,4.304563045501709,16.89478302001953,12.590219497680664,168,0.6381439088793412,0.45004111842105265,0.8504464285714286,1.0892857142857142,1.0,0
qwen05,test_short_korean,short,bound_t0.9,bound,0.9,0.43113502860069275,0.09401637315750122,1.2059950828552246,0.6111111044883728,4.304563045501709,4.969507694244385,0.6649446487426758,168,0.9492182255303437,0.8995535714285714,0.9500411184210527,1.0,1.0,0
qwen05,test_short_korean,short,diag_calibrated,diag,0.0,1.1521655321121216,0.6709586381912231,14.381257057189941,0.0,4.304563045501709,16.66318702697754,12.358623504638672,168,0.5508321235566596,0.25,0.8504464285714286,1.2678571428571428,1.0,0
qwen05,test_short_korean,short,diag_t0.9,diag,0.9,0.5748457312583923,0.1702471375465393,1.5999374389648438,0.31481480598449707,4.304563045501709,4.817727565765381,0.5131645202636719,168,0.9180059873455961,0.5999177631578947,0.9500411184210527,1.0,1.0,0
qwen05,test_medium_code,medium,paper_fixed,raw,,1.5973432064056396,0.687191903591156,12.16174030303955,0.05128205195069313,4.315040588378906,15.543710708618164,11.228670120239258,168,0.49994125939849626,0.4995888157894737,0.5,1.0,1.0,0
qwen05,test_medium_code,medium,cell_fixed,raw,,2.1589725017547607,0.6918255686759949,9.271602630615234,0.0,4.315040588378906,12.435555458068848,8.120514869689941,168,0.5,0.5,0.5,1.0,1.0,0
