family,target,actual_total_ms,relative_l2_error,selected_fraction,search_attempts,feasible_rate
bound,0.5,0.7863332248760039,0.37932452000184824,0.575422192775635,1.0,1.0
bound,0.55,0.8558470529014695,0.3291846614370428,0.6434478712196934,1.0,1.0
bound,0.6,0.9046219126071986,0.27672956663395754,0.7114155193036479,1.0,1.0
bound,0.65,0.9490992199202123,0.2462418004993605,0.7531944302466801,1.0,1.0
bound,0.7,0.9913997276274653,0.21420039096847174,0.8000057366738229,1.0,1.0
bound,0.75,1.057374034627905,0.18417822686147198,0.8354810771913097,1.0,1.0
bound,0.8,1.1303468728863335,0.1531634553601699,0.8786165975934832,1.0,1.0
bound,0.85,1.1618165604972366,0.1305817740602251,0.9083997640373933,1.0052910052910053,1.0
bound,0.9,1.1813275053412267,0.1115962639968428,0.9319869360224154,1.0,1.0
bound,0.925,1.1858898545406464,0.10776766113414568,0.941252694820452,1.0,1.0
bound,0.95,1.1871581587632358,0.10733154797729436,0.944430398193468,1.0,0.9788359788359788
bound,0.975,1.1912294577333646,0.1070358526015841,0.9484017523601347,1.0,0.14285714285714285
diag,0.5,0.6603545925728325,0.455141096947488,0.4465300190467601,1.0,1.0
diag,0.55,0.6854853544515958,0.42263250877321873,0.4832903699092609,1.0,1.0
diag,0.6,0.7517561456887233,0.3751839322466699,0.5452360464512427,1.0,1.0
diag,0.65,0.8013550685935932,0.3308123428123219,0.6035046139626439,1.0,1.0
diag,0.7,0.844375444430682,0.29912889702738354,0.6511047255782629,1.0,1.0
diag,0.75,0.9327607064654899,0.26535727345093924,0.6966080350559615,1.0,1.0
diag,0.8,0.9970556744585084,0.21192608396498058,0.763204922182689,1.0,1.0
diag,0.85,1.0434998858615365,0.17047664513269425,0.8230101426992581,1.0052910052910053,1.0
diag,0.9,1.1115163937961545,0.13845716955672413,0.8671796668602649,1.0,0.9947089947089947
diag,0.925,1.1301592433303151,0.12366024269007891,0.8904537516511788,1.0158730158730158,0.9894179894179894
diag,0.95,1.157726764174635,0.11533262784883534,0.9049984645930076,1.0211640211640212,0.9788359788359788
diag,0.975,1.1666447139240121,0.10968494402717736,0.9190298082699986,1.0052910052910053,0.6455026455026455
raw,0.5,0.8226589681379313,0.38352330557745756,0.5767773111163326,1.0,1.0
raw,0.55,0.8853209178024968,0.33603393612675875,0.6407385414999666,1.0,1.0
raw,0.6,0.9304743917441386,0.29652150657530574,0.6989886540366745,1.0,1.0
raw,0.65,1.000098127061315,0.25406047942550486,0.7542437961985365,1.0,1.0
raw,0.7,1.0317631002199257,0.2214157783386923,0.8016325790350696,1.0,1.0
raw,0.75,1.0924462298678324,0.1898614325333958,0.8413445684834607,1.0105820105820107,1.0
raw,0.8,1.149331410183903,0.16293965148365014,0.8760312701594128,1.0,1.0
raw,0.85,1.194549836124558,0.1324455207669565,0.914218754167503,1.0,1.0
raw,0.9,1.2108244205690843,0.1109203628200308,0.9420365322040897,1.0,1.0
raw,0.925,1.2133146718356504,0.1091395316426223,0.9473406686613043,1.0,1.0
raw,0.95,1.2138695369752615,0.10844372347411178,0.9491923029553727,1.0,1.0
raw,0.975,1.2132718384952947,0.10842902977364478,0.9499906040466426,1.0,0.1111111111111111
