policy,cases,dense_to_sparse_kl,top1_agreement,nll_delta,logit_relative_l2_error,selected_fraction,feasible_rate
bound_calibrated,9,10.897107442220053,0.017805282336970145,9.627470440334744,1.206639289855957,0.5913053095938955,1.0
bound_t0.9,9,1.0289434277349048,0.6492393629418479,0.5788900057474772,0.4449508488178253,0.9470138636719638,1.0
cell_fixed,9,11.657801946004232,0.02333874643469848,10.656889809502495,1.5235278010368347,0.5,1.0
diag_calibrated,9,10.659063445197212,0.014771398156881324,9.453527874416775,1.2170607580078974,0.5514075724019974,1.0
diag_t0.9,9,1.999122871292962,0.4290642241636912,1.356377575132582,0.5871005604664484,0.9182389997262317,0.9995039682539684
paper_fixed,9,9.760278330908882,0.023306541869209843,8.60834370719062,1.3491777115397983,0.49998041979949875,1.0
raw_calibrated,9,9.297912756601969,0.027777157413462768,8.325744258032906,1.2099227574136522,0.5945581889576732,1.0
raw_t0.9,9,1.515595965915256,0.5328987704383003,0.948591775364346,0.526366165942616,0.9457496655896708,1.0
