policy,cases,actual_total_ms,selector_search_ms,read_wall_ms,gather_ms,gemm_ms,relative_l2_error,cosine_error,selected_fraction,search_attempts,feasible_rate
bound_calibrated,189,0.8381352781350204,0.2137194735449735,0.54153191005291,0.01533138620415846,0.06755250833297843,0.36036122168990825,0.07824663226566614,0.600799045590957,1.0,1.0
cell_fixed,189,0.6843358411071997,0.1327887116402116,0.48469642063492063,0.01494975660055399,0.0519009522315134,0.4409397885636993,0.11650057034517719,0.5,1.0,1.0
diag_calibrated,189,0.8012521824932656,0.20152551058201054,0.5232934021164021,0.015259089938823153,0.06117417985602972,0.3815102331271326,0.07789932136182429,0.5404389358248616,1.0,1.0
paper_fixed,189,0.9007836956777235,0.33887250529100527,0.4945823439153439,0.014874751324809693,0.05245409514656453,0.4138078459947513,0.10745297064856874,0.49998041979949875,1.0,1.0
raw_calibrated,189,0.8573530394750483,0.2374641111111111,0.5370429603174603,0.015223195771415673,0.06762277227506115,0.36112895397045625,0.07874882063537675,0.6056016039913772,1.0,1.0
